"trial_type","trial_index","time_elapsed","internal_node_id","participant","rt","stimulus","response","exp_name","exp_stage","test_part","subjectID","databaseID","counterbal","choice_stimuli_1","choice_stimuli_2","pattern_stimuli","rewarded_answer","correct_answer","feedback_duration_times","stim_left","stim_right","pair","leftright_counter","trial","response_correct","response_rewarded","chosen_stim","counter","displayed_choice","feedback_durations","ITI_duration","labels","rest_warning"
"pavlovia","0","530","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","1","3550","0.0-1.0","","null","<div style=""font-size:100px;"">+</div>","null","delaylearn","learning","pre_fixation","5f1caff8d9003412a7748b0e","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","2","6564","0.0-2.0-0.0","","null","<div style=""display: flex; flex-direction: column; align-items: center; margin-top: -40px;""><img src=""images/demo_images/pattern_1.png"" style=""width: 234px; height: 230px; margin-top: -50px;""><div style=""display: flex; justify-content: space-between; margin-top: 33px;""><img src=""images/demo_images/choice_trial_2.png"" style=""width: 408px; height: 417px; margin-right: 200px;""><img src=""images/demo_images/choice_trial_1.png"" style=""width: 408px; height: 417px;""></div></div>","null","delaylearn","learning","trial","5f1caff8d9003412a7748b0e","Eo0yoheKUUYejDv5nTsUPnvZ5aC3","2","images/demo_images/choice_trial_2.png","images/demo_images/choice_trial_1.png","images/demo_images/pattern_1.png","j","j","3000","2","1","20","1","1","0","0","0","0","","","","",""
"html-keyboard-response","3","7569","0.0-2.0-1.0","","null","<div style='font-weight: bold; font-size: 75px; color: red;'>Missed Trial <br><br><br><br> Please respond faster</div>","null","delaylearn","learning","display_response","5f1caff8d9003412a7748b0e","Eo0yoheKUUYejDv5nTsUPnvZ5aC3","","","","","","","","","","","","","","","","","Missed trial","","","",""
"html-keyboard-response","4","7573","0.0-2.0-2.0","","null","","null","delaylearn","learning","feedback_duration_window","5f1caff8d9003412a7748b0e","Eo0yoheKUUYejDv5nTsUPnvZ5aC3","","","","","","","","","","","","","","","","","","0","","",""
"html-keyboard-response","5","7580","0.0-2.0-3.0","","null","","null","delaylearn","learning","feedback_image_window","5f1caff8d9003412a7748b0e","Eo0yoheKUUYejDv5nTsUPnvZ5aC3","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","6","9128","0.0-3.0","","null","<div style=""font-size:100px;"">+</div>","null","delaylearn","learning","ITI","5f1caff8d9003412a7748b0e","Eo0yoheKUUYejDv5nTsUPnvZ5aC3","","","","","","","","","","","","","","","","","","","1545","",""
"html-keyboard-response","7","9534","0.0-4.0-0.0","","402","<div style=""display: flex; flex-direction: column; align-items: center; margin-top: -40px;""><img src=""images/demo_images/pattern_1.png"" style=""width: 234px; height: 230px; margin-top: -50px;""><div style=""display: flex; justify-content: space-between; margin-top: 33px;""><img src=""images/demo_images/choice_trial_2.png"" style=""width: 408px; height: 417px; margin-right: 200px;""><img src=""images/demo_images/choice_trial_1.png"" style=""width: 408px; height: 417px;""></div></div>","f","delaylearn","learning","trial","5f1caff8d9003412a7748b0e","Eo0yoheKUUYejDv5nTsUPnvZ5aC3","2","images/demo_images/choice_trial_2.png","images/demo_images/choice_trial_1.png","images/demo_images/pattern_1.png","j","j","3000","2","1","20","1","2","0","0","2","0","","","","",""
"html-keyboard-response","8","10549","0.0-4.0-1.0","","null","<div style=""display: flex; flex-direction: column; align-items: center; margin-top: -40px;""><img src=""images/demo_images/pattern_1.png"" style=""width: 234px; height: 230px; margin-top: -50px;""><div style=""display: flex; justify-content: space-between; margin-top: 33px;""><img src=""images/demo_images/choice_trial_2.png"" style=""width: 408px; height: 417px; margin-right: 608px;""></div></div>","null","delaylearn","learning","display_response","5f1caff8d9003412a7748b0e","Eo0yoheKUUYejDv5nTsUPnvZ5aC3","","","","","","","","","","","","","","","","","chosen stimuli: images/demo_images/choice_trial_2.png","","","",""
"html-keyboard-response","9","13566","0.0-4.0-2.0","","null","","null","delaylearn","learning","feedback_duration_window","5f1caff8d9003412a7748b0e","Eo0yoheKUUYejDv5nTsUPnvZ5aC3","","","","","","","","","","","","","","","","","","3000","","",""
"html-keyboard-response","10","15075","0.0-4.0-3.0","","null","<div style='margin:auto;width: auto; font-size: 150%'><span style='font-weight: bold; font-size: 100px; color: red;'>0 points!</span><br><br></div>","null","delaylearn","learning","feedback_image_window","5f1caff8d9003412a7748b0e","Eo0yoheKUUYejDv5nTsUPnvZ5aC3","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","11","17250","0.0-5.0","","null","<div style=""font-size:100px;"">+</div>","null","delaylearn","learning","ITI","5f1caff8d9003412a7748b0e","Eo0yoheKUUYejDv5nTsUPnvZ5aC3","","","","","","","","","","","","","","","","","","","2167","",""
"html-keyboard-response","12","18834","0.0-6.0-0.0","","1580.699999999255","<div style=""display: flex; flex-direction: column; align-items: center; margin-top: -40px;""><img src=""images/demo_images/pattern_1.png"" style=""width: 234px; height: 230px; margin-top: -50px;""><div style=""display: flex; justify-content: space-between; margin-top: 33px;""><img src=""images/demo_images/choice_trial_1.png"" style=""width: 408px; height: 417px; margin-right: 200px;""><img src=""images/demo_images/choice_trial_2.png"" style=""width: 408px; height: 417px;""></div></div>","j","delaylearn","learning","trial","5f1caff8d9003412a7748b0e","Eo0yoheKUUYejDv5nTsUPnvZ5aC3","2","images/demo_images/choice_trial_1.png","images/demo_images/choice_trial_2.png","images/demo_images/pattern_1.png","j","f","3000","1","2","20","0","3","0","1","2","10","","","","",""
"html-keyboard-response","13","19846","0.0-6.0-1.0","","null","<div style=""display: flex; flex-direction: column; align-items: center; margin-top: -40px;""><img src=""images/demo_images/pattern_1.png"" style=""width: 234px; height: 230px; margin-top: -50px;""><div style=""display: flex; justify-content: space-between; margin-top: 33px;""><img src=""images/demo_images/choice_trial_2.png"" style=""width: 408px; height: 417px; margin-left:608px;""></div></div>","null","delaylearn","learning","display_response","5f1caff8d9003412a7748b0e","Eo0yoheKUUYejDv5nTsUPnvZ5aC3","","","","","","","","","","","","","","","","","chosen stimuli: images/demo_images/choice_trial_2.png","","","",""
"html-keyboard-response","14","22861","0.0-6.0-2.0","","null","","null","delaylearn","learning","feedback_duration_window","5f1caff8d9003412a7748b0e","Eo0yoheKUUYejDv5nTsUPnvZ5aC3","","","","","","","","","","","","","","","","","","3000","","",""
"html-keyboard-response","15","24369","0.0-6.0-3.0","","null","<div style='margin:auto;width: auto; font-size: 150%'><span style='font-weight: bold; font-size: 100px; color: green;'>+10 points!</span><br><br></div>","null","delaylearn","learning","feedback_image_window","5f1caff8d9003412a7748b0e","Eo0yoheKUUYejDv5nTsUPnvZ5aC3","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","16","25928","0.0-7.0","","null","<div style=""font-size:100px;"">+</div>","null","delaylearn","learning","ITI","5f1caff8d9003412a7748b0e","Eo0yoheKUUYejDv5nTsUPnvZ5aC3","","","","","","","","","","","","","","","","","","","1556","",""
"html-keyboard-response","17","28329","0.0-8.0-0.0","","2397.39999999851","<div style=""display: flex; flex-direction: column; align-items: center; margin-top: -40px;""><img src=""images/demo_images/pattern_1.png"" style=""width: 234px; height: 230px; margin-top: -50px;""><div style=""display: flex; justify-content: space-between; margin-top: 33px;""><img src=""images/demo_images/choice_trial_1.png"" style=""width: 408px; height: 417px; margin-right: 200px;""><img src=""images/demo_images/choice_trial_2.png"" style=""width: 408px; height: 417px;""></div></div>","f","delaylearn","learning","trial","5f1caff8d9003412a7748b0e","Eo0yoheKUUYejDv5nTsUPnvZ5aC3","2","images/demo_images/choice_trial_1.png","images/demo_images/choice_trial_2.png","images/demo_images/pattern_1.png","f","f","3000","1","2","20","0","4","1","1","1","20","","","","",""
"html-keyboard-response","18","29343","0.0-8.0-1.0","","null","<div style=""display: flex; flex-direction: column; align-items: center; margin-top: -40px;""><img src=""images/demo_images/pattern_1.png"" style=""width: 234px; height: 230px; margin-top: -50px;""><div style=""display: flex; justify-content: space-between; margin-top: 33px;""><img src=""images/demo_images/choice_trial_1.png"" style=""width: 408px; height: 417px; margin-right: 608px;""></div></div>","null","delaylearn","learning","display_response","5f1caff8d9003412a7748b0e","Eo0yoheKUUYejDv5nTsUPnvZ5aC3","","","","","","","","","","","","","","","","","chosen stimuli: images/demo_images/choice_trial_1.png","","","",""
"html-keyboard-response","19","32360","0.0-8.0-2.0","","null","","null","delaylearn","learning","feedback_duration_window","5f1caff8d9003412a7748b0e","Eo0yoheKUUYejDv5nTsUPnvZ5aC3","","","","","","","","","","","","","","","","","","3000","","",""
"html-keyboard-response","20","33866","0.0-8.0-3.0","","null","<div style='margin:auto;width: auto; font-size: 150%'><span style='font-weight: bold; font-size: 100px; color: green;'>+10 points!</span><br><br></div>","null","delaylearn","learning","feedback_image_window","5f1caff8d9003412a7748b0e","Eo0yoheKUUYejDv5nTsUPnvZ5aC3","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","21","34369","0.0-9.0-0.0","","null","","null","","","mood_trial_fixation","","","","","","","","","","","","","","","","","","","","","","",""
"lmdlab-html-vas-response","22","41178","0.0-9.0-1.0","","5783","How happy are you right now?","0.5617524694865441","delaylearn","learning","mood_trial","5f1caff8d9003412a7748b0e","Eo0yoheKUUYejDv5nTsUPnvZ5aC3","","","","","","","","","","","","","","","","","","","","[""Very unhappy"",""Very happy""]",""
"html-keyboard-response","23","43285","0.0-10.0","","null","<div style=""font-size:100px;"">+</div>","null","delaylearn","learning","ITI","5f1caff8d9003412a7748b0e","Eo0yoheKUUYejDv5nTsUPnvZ5aC3","","","","","","","","","","","","","","","","","","","2094","",""
"html-keyboard-response","24","44276","0.0-11.0-0.0","","987.5999999977648","<div style=""display: flex; flex-direction: column; align-items: center; margin-top: -40px;""><img src=""images/demo_images/pattern_1.png"" style=""width: 234px; height: 230px; margin-top: -50px;""><div style=""display: flex; justify-content: space-between; margin-top: 33px;""><img src=""images/demo_images/choice_trial_2.png"" style=""width: 408px; height: 417px; margin-right: 200px;""><img src=""images/demo_images/choice_trial_1.png"" style=""width: 408px; height: 417px;""></div></div>","j","delaylearn","learning","trial","5f1caff8d9003412a7748b0e","Eo0yoheKUUYejDv5nTsUPnvZ5aC3","2","images/demo_images/choice_trial_2.png","images/demo_images/choice_trial_1.png","images/demo_images/pattern_1.png","j","j","3000","2","1","20","1","5","1","1","1","30","","","","",""
"html-keyboard-response","25","45295","0.0-11.0-1.0","","null","<div style=""display: flex; flex-direction: column; align-items: center; margin-top: -40px;""><img src=""images/demo_images/pattern_1.png"" style=""width: 234px; height: 230px; margin-top: -50px;""><div style=""display: flex; justify-content: space-between; margin-top: 33px;""><img src=""images/demo_images/choice_trial_1.png"" style=""width: 408px; height: 417px; margin-left:608px;""></div></div>","null","delaylearn","learning","display_response","5f1caff8d9003412a7748b0e","Eo0yoheKUUYejDv5nTsUPnvZ5aC3","","","","","","","","","","","","","","","","","chosen stimuli: images/demo_images/choice_trial_1.png","","","",""
"html-keyboard-response","26","48309","0.0-11.0-2.0","","null","","null","delaylearn","learning","feedback_duration_window","5f1caff8d9003412a7748b0e","Eo0yoheKUUYejDv5nTsUPnvZ5aC3","","","","","","","","","","","","","","","","","","3000","","",""
"html-keyboard-response","27","49814","0.0-11.0-3.0","","null","<div style='margin:auto;width: auto; font-size: 150%'><span style='font-weight: bold; font-size: 100px; color: green;'>+10 points!</span><br><br></div>","null","delaylearn","learning","feedback_image_window","5f1caff8d9003412a7748b0e","Eo0yoheKUUYejDv5nTsUPnvZ5aC3","","","","","","","","","","","","","","","","","","","","",""
