rt,stimulus,response,exp_name,exp_stage,subjectID,trial_type,trial_index,time_elapsed,internal_node_id,span,answer,correct,correct_full,span_history,databaseID,prolificID,start_time,date
5329.899999999907,"<p style=""font-size:4rem""><br><br>In the next part today, we have a completely different short task.<br><br><br>This part involves keeping numbers in you mind. Participation takes around 5 minutes.<br><br><br></p>",0,fwdspan,instruct,CZQkZD6MOiaopjuwuPhgEaLGPz93,html-button-response,19,379000,0.0-7.0-0.0,,,,,,,57144a4cc9fbf700124c0ed5,11:20:14 AM,1/15/2024
10039.899999999907,"<p style=""font-size:5rem"">Welcome to the <b>digit span task</b>!<br><br></p><p style=""font-size:3.4rem""><br>On each trial, you will see a sequence of digits, followed by a delay.</p><p style=""font-size:3.4rem""><br>Then you will be asked to type them back in the same order in which they were seen.</p><p style=""font-size:3.4rem""><br><br><br>For example, if you saw the digits <b style=""color:blue;"">1</b>, <b style=""color:blue;"">2</b>, <b style=""color:blue;"">3</b>, you would respond with <b style=""color:blue;"">1</b>, <b style=""color:blue;"">2</b>, <b style=""color:blue;"">3</b></p><p style=""font-size:3.4rem""><br><br><br>To ensure the best measure of true performance for our study,<br><br>it is very important that you do not use any memory aid (e.g., pen and paper).<br><br>Please do the task solely in your head.</p><p style=""font-size:3.4rem""><br><br><br>There will be 12 total trials. Participation takes around 5 minutes.</p><br><br><br>",0,fwdspan,instruct,CZQkZD6MOiaopjuwuPhgEaLGPz93,html-button-response,20,389041,0.0-7.0-1.0,,,,,,,57144a4cc9fbf700124c0ed5,11:20:14 AM,1/15/2024
1582.8000000002794,"<p style=""font-size:3rem"">Trial 1 of 12</p><br><br><br>",0,fwdspan,start_trial,CZQkZD6MOiaopjuwuPhgEaLGPz93,html-button-response,21,390625,0.0-7.0-2.0-0.0-0.0,,,,,,,57144a4cc9fbf700124c0ed5,11:20:14 AM,1/15/2024
,"<p style=""font-size:14rem;font-weight:400;"">5</p>",,fwdspan,number,CZQkZD6MOiaopjuwuPhgEaLGPz93,html-keyboard-response,22,391633,0.0-7.0-2.0-0.0-1.0-0.0,,,,,,,57144a4cc9fbf700124c0ed5,11:20:14 AM,1/15/2024
,"<p style=""font-size:14rem;font-weight:400;"">7</p>",,fwdspan,number,CZQkZD6MOiaopjuwuPhgEaLGPz93,html-keyboard-response,23,392647,0.0-7.0-2.0-0.0-1.1-0.1,,,,,,,57144a4cc9fbf700124c0ed5,11:20:14 AM,1/15/2024
,"<p style=""font-size:14rem;font-weight:400;"">9</p>",,fwdspan,number,CZQkZD6MOiaopjuwuPhgEaLGPz93,html-keyboard-response,24,393665,0.0-7.0-2.0-0.0-1.2-0.2,,,,,,,57144a4cc9fbf700124c0ed5,11:20:14 AM,1/15/2024
,[],,fwdspan,delay,CZQkZD6MOiaopjuwuPhgEaLGPz93,html-keyboard-response,25,394233,0.0-7.0-2.0-0.0-2.0,,,,,,,57144a4cc9fbf700124c0ed5,11:20:14 AM,1/15/2024
3972.600000000093,"<div class = numbox><p style=""font-size:2.5rem"">What were the numbers <b>in order</b>?<br>(When you are ready to lock in your answer, press <b>ENTER</b>)</p><button id = button_1 class = ""square num-button"" onclick = ""recordClick(this)""><div class = content><div class = numbers>1</div></div></button><button id = button_2 class = ""square num-button"" onclick = ""recordClick(this)""><div class = content><div class = numbers>2</div></div></button><button id = button_3 class = ""square num-button"" onclick = ""recordClick(this)""><div class = content><div class = numbers>3</div></div></button><button id = button_4 class = ""square num-button"" onclick = ""recordClick(this)""><div class = content><div class = numbers>4</div></div></button><button id = button_5 class = ""square num-button"" onclick = ""recordClick(this)""><div class = content><div class = numbers>5</div></div></button><button id = button_6 class = ""square num-button"" onclick = ""recordClick(this)""><div class = content><div class = numbers>6</div></div></button><button id = button_7 class = ""square num-button"" onclick = ""recordClick(this)""><div class = content><div class = numbers>7</div></div></button><button id = button_8 class = ""square num-button"" onclick = ""recordClick(this)""><div class = content><div class = numbers>8</div></div></button><button id = button_9 class = ""square num-button"" onclick = ""recordClick(this)""><div class = content><div class = numbers>9</div></div></button><button class = clear_button id = ""ClearButton"" onclick = ""clearResponse()"">Clear</button><p><u><b>Current Answer:</b></u></p><div id=echoed_txt style=""font-size: 6rem; color:blue;""><b></b></div></div><br><br><br><br><br><br><br>",enter,fwdspan,response,CZQkZD6MOiaopjuwuPhgEaLGPz93,html-keyboard-response,26,398208,0.0-7.0-2.0-0.0-3.0,3.0,"[5,7,9]","[5,7,9]",1.0,"[3, 4, 5, 6, 7, 7, 6, 7, 8, 8, 7, 8]",,57144a4cc9fbf700124c0ed5,11:20:14 AM,1/15/2024
,,,fwdspan,update_span,CZQkZD6MOiaopjuwuPhgEaLGPz93,call-function,27,398467,0.0-7.0-2.0-0.0-4.0,,,,,,,57144a4cc9fbf700124c0ed5,11:20:14 AM,1/15/2024
1301.6999999997206,"<p style=""font-size:3rem"">Trial 2 of 12</p><br><br><br>",0,fwdspan,start_trial,CZQkZD6MOiaopjuwuPhgEaLGPz93,html-button-response,28,399770,0.0-7.0-2.1-0.1-0.1,,,,,,,57144a4cc9fbf700124c0ed5,11:20:14 AM,1/15/2024
,"<p style=""font-size:14rem;font-weight:400;"">3</p>",,fwdspan,number,CZQkZD6MOiaopjuwuPhgEaLGPz93,html-keyboard-response,29,400773,0.0-7.0-2.1-0.1-1.3-0.3,,,,,,,57144a4cc9fbf700124c0ed5,11:20:14 AM,1/15/2024
,"<p style=""font-size:14rem;font-weight:400;"">5</p>",,fwdspan,number,CZQkZD6MOiaopjuwuPhgEaLGPz93,html-keyboard-response,30,401788,0.0-7.0-2.1-0.1-1.4-0.4,,,,,,,57144a4cc9fbf700124c0ed5,11:20:14 AM,1/15/2024
,"<p style=""font-size:14rem;font-weight:400;"">6</p>",,fwdspan,number,CZQkZD6MOiaopjuwuPhgEaLGPz93,html-keyboard-response,31,402802,0.0-7.0-2.1-0.1-1.5-0.5,,,,,,,57144a4cc9fbf700124c0ed5,11:20:14 AM,1/15/2024
,"<p style=""font-size:14rem;font-weight:400;"">8</p>",,fwdspan,number,CZQkZD6MOiaopjuwuPhgEaLGPz93,html-keyboard-response,32,403817,0.0-7.0-2.1-0.1-1.6-0.6,,,,,,,57144a4cc9fbf700124c0ed5,11:20:14 AM,1/15/2024
,[],,fwdspan,delay,CZQkZD6MOiaopjuwuPhgEaLGPz93,html-keyboard-response,33,404377,0.0-7.0-2.1-0.1-2.1,,,,,,,57144a4cc9fbf700124c0ed5,11:20:14 AM,1/15/2024
4597.300000000279,"<div class = numbox><p style=""font-size:2.5rem"">What were the numbers <b>in order</b>?<br>(When you are ready to lock in your answer, press <b>ENTER</b>)</p><button id = button_1 class = ""square num-button"" onclick = ""recordClick(this)""><div class = content><div class = numbers>1</div></div></button><button id = button_2 class = ""square num-button"" onclick = ""recordClick(this)""><div class = content><div class = numbers>2</div></div></button><button id = button_3 class = ""square num-button"" onclick = ""recordClick(this)""><div class = content><div class = numbers>3</div></div></button><button id = button_4 class = ""square num-button"" onclick = ""recordClick(this)""><div class = content><div class = numbers>4</div></div></button><button id = button_5 class = ""square num-button"" onclick = ""recordClick(this)""><div class = content><div class = numbers>5</div></div></button><button id = button_6 class = ""square num-button"" onclick = ""recordClick(this)""><div class = content><div class = numbers>6</div></div></button><button id = button_7 class = ""square num-button"" onclick = ""recordClick(this)""><div class = content><div class = numbers>7</div></div></button><button id = button_8 class = ""square num-button"" onclick = ""recordClick(this)""><div class = content><div class = numbers>8</div></div></button><button id = button_9 class = ""square num-button"" onclick = ""recordClick(this)""><div class = content><div class = numbers>9</div></div></button><button class = clear_button id = ""ClearButton"" onclick = ""clearResponse()"">Clear</button><p><u><b>Current Answer:</b></u></p><div id=echoed_txt style=""font-size: 6rem; color:blue;""><b></b></div></div><br><br><br><br><br><br><br>",enter,fwdspan,response,CZQkZD6MOiaopjuwuPhgEaLGPz93,html-keyboard-response,34,408975,0.0-7.0-2.1-0.1-3.1,4.0,"[3,5,6,8]","[3,5,6,8]",1.0,"[3, 4, 5, 6, 7, 7, 6, 7, 8, 8, 7, 8]",,57144a4cc9fbf700124c0ed5,11:20:14 AM,1/15/2024
,,,fwdspan,update_span,CZQkZD6MOiaopjuwuPhgEaLGPz93,call-function,35,409235,0.0-7.0-2.1-0.1-4.1,,,,,,,57144a4cc9fbf700124c0ed5,11:20:14 AM,1/15/2024
1325.2000000001863,"<p style=""font-size:3rem"">Trial 3 of 12</p><br><br><br>",0,fwdspan,start_trial,CZQkZD6MOiaopjuwuPhgEaLGPz93,html-button-response,36,410561,0.0-7.0-2.2-0.2-0.2,,,,,,,57144a4cc9fbf700124c0ed5,11:20:14 AM,1/15/2024
,"<p style=""font-size:14rem;font-weight:400;"">4</p>",,fwdspan,number,CZQkZD6MOiaopjuwuPhgEaLGPz93,html-keyboard-response,37,411564,0.0-7.0-2.2-0.2-1.7-0.7,,,,,,,57144a4cc9fbf700124c0ed5,11:20:14 AM,1/15/2024
,"<p style=""font-size:14rem;font-weight:400;"">6</p>",,fwdspan,number,CZQkZD6MOiaopjuwuPhgEaLGPz93,html-keyboard-response,38,412588,0.0-7.0-2.2-0.2-1.8-0.8,,,,,,,57144a4cc9fbf700124c0ed5,11:20:14 AM,1/15/2024
,"<p style=""font-size:14rem;font-weight:400;"">9</p>",,fwdspan,number,CZQkZD6MOiaopjuwuPhgEaLGPz93,html-keyboard-response,39,413606,0.0-7.0-2.2-0.2-1.9-0.9,,,,,,,57144a4cc9fbf700124c0ed5,11:20:14 AM,1/15/2024
,"<p style=""font-size:14rem;font-weight:400;"">2</p>",,fwdspan,number,CZQkZD6MOiaopjuwuPhgEaLGPz93,html-keyboard-response,40,414620,0.0-7.0-2.2-0.2-1.10-0.10,,,,,,,57144a4cc9fbf700124c0ed5,11:20:14 AM,1/15/2024
,"<p style=""font-size:14rem;font-weight:400;"">7</p>",,fwdspan,number,CZQkZD6MOiaopjuwuPhgEaLGPz93,html-keyboard-response,41,415635,0.0-7.0-2.2-0.2-1.11-0.11,,,,,,,57144a4cc9fbf700124c0ed5,11:20:14 AM,1/15/2024
,[],,fwdspan,delay,CZQkZD6MOiaopjuwuPhgEaLGPz93,html-keyboard-response,42,416205,0.0-7.0-2.2-0.2-2.2,,,,,,,57144a4cc9fbf700124c0ed5,11:20:14 AM,1/15/2024
