trial_type,trial_index,time_elapsed,internal_node_id,rt,stimulus,response,exp_name,exp_stage,test_part,subjectID,databaseID,counterbal,choice_stimuli_1,choice_stimuli_2,pattern_stimuli,rewarded_answer,correct_answer,feedback_duration_times,stim_left,stim_right,pair,trial,response_correct,response_rewarded,chosen_stim,counter,displayed_choice,feedback_durations,ITI_duration,labels,rest_warning,prolificID,start_time,date
pavlovia,0,475,0.0-0.0,,,,,,,53xkCfSbMjZm2NGFmclMRIda0R42,,,,,,,,,,,,,,,,,,,,,,5e85f667db8aa41f74436a9f,09:17:41,26/02/2024
html-keyboard-response,1,3479,0.0-1.0,,"<div style=""font-size:100px;"">+</div>",,delaylearn,learning,pre_fixation,53xkCfSbMjZm2NGFmclMRIda0R42,,,,,,,,,,,,,,,,,,,,,,5e85f667db8aa41f74436a9f,09:17:41,26/02/2024
html-keyboard-response,2,5325,0.0-2.0-0.0,1843.3999999985099,"<div style=""display: flex; flex-direction: column; align-items: center; margin-top: -40px;""><img src=""images/demo_images/pattern_1.png"" style=""width: 234px; height: 230px; margin-top: -50px;""><div style=""display: flex; justify-content: space-between; margin-top: 33px;""><img src=""images/demo_images/choice_trial_2.png"" style=""width: 408px; height: 417px; margin-right: 200px;""><img src=""images/demo_images/choice_trial_1.png"" style=""width: 408px; height: 417px;""></div></div>",f,delaylearn,learning,trial,53xkCfSbMjZm2NGFmclMRIda0R42,53xkCfSbMjZm2NGFmclMRIda0R42,3.0,images/demo_images/choice_trial_2.png,images/demo_images/choice_trial_1.png,images/demo_images/pattern_1.png,j,j,3000.0,2.0,1.0,20.0,1.0,0.0,0.0,2.0,0.0,,,,,,5e85f667db8aa41f74436a9f,09:17:41,26/02/2024
html-keyboard-response,3,6328,0.0-2.0-1.0,,"<div style=""display: flex; flex-direction: column; align-items: center; margin-top: -40px;""><img src=""images/demo_images/pattern_1.png"" style=""width: 234px; height: 230px; margin-top: -50px;""><div style=""display: flex; justify-content: space-between; margin-top: 33px;""><img src=""images/demo_images/choice_trial_2.png"" style=""width: 408px; height: 417px; margin-right: 608px;""></div></div>",,delaylearn,learning,display_response,53xkCfSbMjZm2NGFmclMRIda0R42,53xkCfSbMjZm2NGFmclMRIda0R42,,,,,,,,,,,,,,,,chosen stimuli: images/demo_images/choice_trial_2.png,,,,,5e85f667db8aa41f74436a9f,09:17:41,26/02/2024
html-keyboard-response,4,9330,0.0-2.0-2.0,,,,delaylearn,learning,feedback_duration_window,53xkCfSbMjZm2NGFmclMRIda0R42,53xkCfSbMjZm2NGFmclMRIda0R42,,,,,,,,,,,,,,,,,3000.0,,,,5e85f667db8aa41f74436a9f,09:17:41,26/02/2024
html-keyboard-response,5,10837,0.0-2.0-3.0,,<div style='margin:auto;width: auto; font-size: 150%'><span style='font-weight: bold; font-size: 100px; color: red;'>0 points!</span><br><br></div>,,delaylearn,learning,feedback_image_window,53xkCfSbMjZm2NGFmclMRIda0R42,53xkCfSbMjZm2NGFmclMRIda0R42,,,,,,,,,,,,,,,,,,,,,5e85f667db8aa41f74436a9f,09:17:41,26/02/2024
html-keyboard-response,6,12806,0.0-3.0,,"<div style=""font-size:100px;"">+</div>",,delaylearn,learning,ITI,53xkCfSbMjZm2NGFmclMRIda0R42,53xkCfSbMjZm2NGFmclMRIda0R42,,,,,,,,,,,,,,,,,,1963.0,,,5e85f667db8aa41f74436a9f,09:17:41,26/02/2024
html-keyboard-response,7,15734,0.0-4.0-0.0,2925.0,"<div style=""display: flex; flex-direction: column; align-items: center; margin-top: -40px;""><img src=""images/demo_images/pattern_1.png"" style=""width: 234px; height: 230px; margin-top: -50px;""><div style=""display: flex; justify-content: space-between; margin-top: 33px;""><img src=""images/demo_images/choice_trial_2.png"" style=""width: 408px; height: 417px; margin-right: 200px;""><img src=""images/demo_images/choice_trial_1.png"" style=""width: 408px; height: 417px;""></div></div>",f,delaylearn,learning,trial,53xkCfSbMjZm2NGFmclMRIda0R42,53xkCfSbMjZm2NGFmclMRIda0R42,3.0,images/demo_images/choice_trial_2.png,images/demo_images/choice_trial_1.png,images/demo_images/pattern_1.png,j,j,3000.0,2.0,1.0,20.0,2.0,0.0,0.0,2.0,0.0,,,,,,5e85f667db8aa41f74436a9f,09:17:41,26/02/2024
html-keyboard-response,8,16736,0.0-4.0-1.0,,"<div style=""display: flex; flex-direction: column; align-items: center; margin-top: -40px;""><img src=""images/demo_images/pattern_1.png"" style=""width: 234px; height: 230px; margin-top: -50px;""><div style=""display: flex; justify-content: space-between; margin-top: 33px;""><img src=""images/demo_images/choice_trial_2.png"" style=""width: 408px; height: 417px; margin-right: 608px;""></div></div>",,delaylearn,learning,display_response,53xkCfSbMjZm2NGFmclMRIda0R42,53xkCfSbMjZm2NGFmclMRIda0R42,,,,,,,,,,,,,,,,chosen stimuli: images/demo_images/choice_trial_2.png,,,,,5e85f667db8aa41f74436a9f,09:17:41,26/02/2024
html-keyboard-response,9,19740,0.0-4.0-2.0,,,,delaylearn,learning,feedback_duration_window,53xkCfSbMjZm2NGFmclMRIda0R42,53xkCfSbMjZm2NGFmclMRIda0R42,,,,,,,,,,,,,,,,,3000.0,,,,5e85f667db8aa41f74436a9f,09:17:41,26/02/2024
html-keyboard-response,10,21242,0.0-4.0-3.0,,<div style='margin:auto;width: auto; font-size: 150%'><span style='font-weight: bold; font-size: 100px; color: red;'>0 points!</span><br><br></div>,,delaylearn,learning,feedback_image_window,53xkCfSbMjZm2NGFmclMRIda0R42,53xkCfSbMjZm2NGFmclMRIda0R42,,,,,,,,,,,,,,,,,,,,,5e85f667db8aa41f74436a9f,09:17:41,26/02/2024
