trial_type,trial_index,time_elapsed,internal_node_id,rt,stimulus,response,exp_name,exp_stage,test_part,subjectID,databaseID,counterbal,choice_stimuli_1,choice_stimuli_2,pattern_stimuli,rewarded_answer,correct_answer,feedback_duration_times,stim_left,stim_right,pair,trial,response_correct,response_rewarded,chosen_stim,counter,displayed_choice,feedback_durations,ITI_duration,labels,rest_warning,prolificID,start_time,date
pavlovia,0,592,0.0-0.0,,,,,,,97vIdAwT2fVRnNfVX2kajhXTR6L2,,,,,,,,,,,,,,,,,,,,,,641373f8117053037093d10a,09:20:01,26/02/2024
html-keyboard-response,1,3602,0.0-1.0,,"<div style=""font-size:100px;"">+</div>",,delaylearn,learning,pre_fixation,97vIdAwT2fVRnNfVX2kajhXTR6L2,,,,,,,,,,,,,,,,,,,,,,641373f8117053037093d10a,09:20:01,26/02/2024
html-keyboard-response,2,6356,0.0-2.0-0.0,2749.300000011921,"<div style=""display: flex; flex-direction: column; align-items: center; margin-top: -40px;""><img src=""images/demo_images/pattern_1.png"" style=""width: 234px; height: 230px; margin-top: -50px;""><div style=""display: flex; justify-content: space-between; margin-top: 33px;""><img src=""images/demo_images/choice_trial_2.png"" style=""width: 408px; height: 417px; margin-right: 200px;""><img src=""images/demo_images/choice_trial_1.png"" style=""width: 408px; height: 417px;""></div></div>",f,delaylearn,learning,trial,97vIdAwT2fVRnNfVX2kajhXTR6L2,97vIdAwT2fVRnNfVX2kajhXTR6L2,3.0,images/demo_images/choice_trial_2.png,images/demo_images/choice_trial_1.png,images/demo_images/pattern_1.png,j,j,3000.0,2.0,1.0,20.0,1.0,0.0,0.0,2.0,0.0,,,,,,641373f8117053037093d10a,09:20:01,26/02/2024
html-keyboard-response,3,7367,0.0-2.0-1.0,,"<div style=""display: flex; flex-direction: column; align-items: center; margin-top: -40px;""><img src=""images/demo_images/pattern_1.png"" style=""width: 234px; height: 230px; margin-top: -50px;""><div style=""display: flex; justify-content: space-between; margin-top: 33px;""><img src=""images/demo_images/choice_trial_2.png"" style=""width: 408px; height: 417px; margin-right: 608px;""></div></div>",,delaylearn,learning,display_response,97vIdAwT2fVRnNfVX2kajhXTR6L2,97vIdAwT2fVRnNfVX2kajhXTR6L2,,,,,,,,,,,,,,,,chosen stimuli: images/demo_images/choice_trial_2.png,,,,,641373f8117053037093d10a,09:20:01,26/02/2024
html-keyboard-response,4,10384,0.0-2.0-2.0,,,,delaylearn,learning,feedback_duration_window,97vIdAwT2fVRnNfVX2kajhXTR6L2,97vIdAwT2fVRnNfVX2kajhXTR6L2,,,,,,,,,,,,,,,,,3000.0,,,,641373f8117053037093d10a,09:20:01,26/02/2024
html-keyboard-response,5,11898,0.0-2.0-3.0,,<div style='margin:auto;width: auto; font-size: 150%'><span style='font-weight: bold; font-size: 100px; color: red;'>0 points!</span><br><br></div>,,delaylearn,learning,feedback_image_window,97vIdAwT2fVRnNfVX2kajhXTR6L2,97vIdAwT2fVRnNfVX2kajhXTR6L2,,,,,,,,,,,,,,,,,,,,,641373f8117053037093d10a,09:20:01,26/02/2024
html-keyboard-response,6,13905,0.0-3.0,,"<div style=""font-size:100px;"">+</div>",,delaylearn,learning,ITI,97vIdAwT2fVRnNfVX2kajhXTR6L2,97vIdAwT2fVRnNfVX2kajhXTR6L2,,,,,,,,,,,,,,,,,,1995.0,,,641373f8117053037093d10a,09:20:01,26/02/2024
html-keyboard-response,7,15352,0.0-4.0-0.0,1440.5,"<div style=""display: flex; flex-direction: column; align-items: center; margin-top: -40px;""><img src=""images/demo_images/pattern_1.png"" style=""width: 234px; height: 230px; margin-top: -50px;""><div style=""display: flex; justify-content: space-between; margin-top: 33px;""><img src=""images/demo_images/choice_trial_2.png"" style=""width: 408px; height: 417px; margin-right: 200px;""><img src=""images/demo_images/choice_trial_1.png"" style=""width: 408px; height: 417px;""></div></div>",j,delaylearn,learning,trial,97vIdAwT2fVRnNfVX2kajhXTR6L2,97vIdAwT2fVRnNfVX2kajhXTR6L2,3.0,images/demo_images/choice_trial_2.png,images/demo_images/choice_trial_1.png,images/demo_images/pattern_1.png,j,j,3000.0,2.0,1.0,20.0,2.0,1.0,1.0,1.0,10.0,,,,,,641373f8117053037093d10a,09:20:01,26/02/2024
html-keyboard-response,8,16358,0.0-4.0-1.0,,"<div style=""display: flex; flex-direction: column; align-items: center; margin-top: -40px;""><img src=""images/demo_images/pattern_1.png"" style=""width: 234px; height: 230px; margin-top: -50px;""><div style=""display: flex; justify-content: space-between; margin-top: 33px;""><img src=""images/demo_images/choice_trial_1.png"" style=""width: 408px; height: 417px; margin-left:608px;""></div></div>",,delaylearn,learning,display_response,97vIdAwT2fVRnNfVX2kajhXTR6L2,97vIdAwT2fVRnNfVX2kajhXTR6L2,,,,,,,,,,,,,,,,chosen stimuli: images/demo_images/choice_trial_1.png,,,,,641373f8117053037093d10a,09:20:01,26/02/2024
html-keyboard-response,9,19365,0.0-4.0-2.0,,,,delaylearn,learning,feedback_duration_window,97vIdAwT2fVRnNfVX2kajhXTR6L2,97vIdAwT2fVRnNfVX2kajhXTR6L2,,,,,,,,,,,,,,,,,3000.0,,,,641373f8117053037093d10a,09:20:01,26/02/2024
