trial_type,trial_index,time_elapsed,internal_node_id,rt,stimulus,response,exp_name,exp_stage,test_part,subjectID,databaseID,counterbal,choice_stimuli_1,choice_stimuli_2,pattern_stimuli,rewarded_answer,correct_answer,feedback_duration_times,stim_left,stim_right,pair,leftright_counter,trial,response_correct,response_rewarded,chosen_stim,counter,displayed_choice,feedback_durations,ITI_duration,labels,rest_warning,prolificID,start_time,date
pavlovia,0,522,0.0-0.0,,,,,,,pIIB6MwlhTghXp7F27OxRhHbSGY2,,,,,,,,,,,,,,,,,,,,,,,65bfb41fd7a1911a6a7db2c3,09:07:23,27/02/2024
html-keyboard-response,1,3553,0.0-1.0,,"<div style=""font-size:100px;"">+</div>",,delaylearn,learning,pre_fixation,pIIB6MwlhTghXp7F27OxRhHbSGY2,,,,,,,,,,,,,,,,,,,,,,,65bfb41fd7a1911a6a7db2c3,09:07:23,27/02/2024
html-keyboard-response,2,6069,0.0-2.0-0.0,2512.0,"<div style=""display: flex; flex-direction: column; align-items: center; margin-top: -40px;""><img src=""images/demo_images/pattern_1.png"" style=""width: 234px; height: 230px; margin-top: -50px;""><div style=""display: flex; justify-content: space-between; margin-top: 33px;""><img src=""images/demo_images/choice_trial_2.png"" style=""width: 408px; height: 417px; margin-right: 200px;""><img src=""images/demo_images/choice_trial_1.png"" style=""width: 408px; height: 417px;""></div></div>",f,delaylearn,learning,trial,pIIB6MwlhTghXp7F27OxRhHbSGY2,pIIB6MwlhTghXp7F27OxRhHbSGY2,2.0,images/demo_images/choice_trial_2.png,images/demo_images/choice_trial_1.png,images/demo_images/pattern_1.png,j,j,3000.0,2.0,1.0,20.0,1.0,1.0,0.0,0.0,2.0,0.0,,,,,,65bfb41fd7a1911a6a7db2c3,09:07:23,27/02/2024
html-keyboard-response,3,7090,0.0-2.0-1.0,,"<div style=""display: flex; flex-direction: column; align-items: center; margin-top: -40px;""><img src=""images/demo_images/pattern_1.png"" style=""width: 234px; height: 230px; margin-top: -50px;""><div style=""display: flex; justify-content: space-between; margin-top: 33px;""><img src=""images/demo_images/choice_trial_2.png"" style=""width: 408px; height: 417px; margin-right: 608px;""></div></div>",,delaylearn,learning,display_response,pIIB6MwlhTghXp7F27OxRhHbSGY2,pIIB6MwlhTghXp7F27OxRhHbSGY2,,,,,,,,,,,,,,,,,chosen stimuli: images/demo_images/choice_trial_2.png,,,,,65bfb41fd7a1911a6a7db2c3,09:07:23,27/02/2024
html-keyboard-response,4,10107,0.0-2.0-2.0,,,,delaylearn,learning,feedback_duration_window,pIIB6MwlhTghXp7F27OxRhHbSGY2,pIIB6MwlhTghXp7F27OxRhHbSGY2,,,,,,,,,,,,,,,,,,3000.0,,,,65bfb41fd7a1911a6a7db2c3,09:07:23,27/02/2024
html-keyboard-response,5,11625,0.0-2.0-3.0,,<div style='margin:auto;width: auto; font-size: 150%'><span style='font-weight: bold; font-size: 100px; color: red;'>0 points!</span><br><br></div>,,delaylearn,learning,feedback_image_window,pIIB6MwlhTghXp7F27OxRhHbSGY2,pIIB6MwlhTghXp7F27OxRhHbSGY2,,,,,,,,,,,,,,,,,,,,,,65bfb41fd7a1911a6a7db2c3,09:07:23,27/02/2024
html-keyboard-response,6,13529,0.0-3.0,,"<div style=""font-size:100px;"">+</div>",,delaylearn,learning,ITI,pIIB6MwlhTghXp7F27OxRhHbSGY2,pIIB6MwlhTghXp7F27OxRhHbSGY2,,,,,,,,,,,,,,,,,,,1884.0,,,65bfb41fd7a1911a6a7db2c3,09:07:23,27/02/2024
html-keyboard-response,7,16548,0.0-4.0-0.0,,"<div style=""display: flex; flex-direction: column; align-items: center; margin-top: -40px;""><img src=""images/demo_images/pattern_1.png"" style=""width: 234px; height: 230px; margin-top: -50px;""><div style=""display: flex; justify-content: space-between; margin-top: 33px;""><img src=""images/demo_images/choice_trial_2.png"" style=""width: 408px; height: 417px; margin-right: 200px;""><img src=""images/demo_images/choice_trial_1.png"" style=""width: 408px; height: 417px;""></div></div>",,delaylearn,learning,trial,pIIB6MwlhTghXp7F27OxRhHbSGY2,pIIB6MwlhTghXp7F27OxRhHbSGY2,2.0,images/demo_images/choice_trial_2.png,images/demo_images/choice_trial_1.png,images/demo_images/pattern_1.png,j,j,3000.0,2.0,1.0,20.0,1.0,2.0,0.0,0.0,0.0,0.0,,,,,,65bfb41fd7a1911a6a7db2c3,09:07:23,27/02/2024
html-keyboard-response,8,17555,0.0-4.0-1.0,,<div style='font-weight: bold; font-size: 75px; color: red;'>Missed Trial <br><br><br><br> Please respond faster</div>,,delaylearn,learning,display_response,pIIB6MwlhTghXp7F27OxRhHbSGY2,pIIB6MwlhTghXp7F27OxRhHbSGY2,,,,,,,,,,,,,,,,,Missed trial,,,,,65bfb41fd7a1911a6a7db2c3,09:07:23,27/02/2024
html-keyboard-response,9,17563,0.0-4.0-2.0,,,,delaylearn,learning,feedback_duration_window,pIIB6MwlhTghXp7F27OxRhHbSGY2,pIIB6MwlhTghXp7F27OxRhHbSGY2,,,,,,,,,,,,,,,,,,0.0,,,,65bfb41fd7a1911a6a7db2c3,09:07:23,27/02/2024
html-keyboard-response,10,17571,0.0-4.0-3.0,,,,delaylearn,learning,feedback_image_window,pIIB6MwlhTghXp7F27OxRhHbSGY2,pIIB6MwlhTghXp7F27OxRhHbSGY2,,,,,,,,,,,,,,,,,,,,,,65bfb41fd7a1911a6a7db2c3,09:07:23,27/02/2024
html-keyboard-response,11,19308,0.0-5.0,,"<div style=""font-size:100px;"">+</div>",,delaylearn,learning,ITI,pIIB6MwlhTghXp7F27OxRhHbSGY2,pIIB6MwlhTghXp7F27OxRhHbSGY2,,,,,,,,,,,,,,,,,,,1729.0,,,65bfb41fd7a1911a6a7db2c3,09:07:23,27/02/2024
html-keyboard-response,12,20668,0.0-6.0-0.0,1356.9000000953674,"<div style=""display: flex; flex-direction: column; align-items: center; margin-top: -40px;""><img src=""images/demo_images/pattern_1.png"" style=""width: 234px; height: 230px; margin-top: -50px;""><div style=""display: flex; justify-content: space-between; margin-top: 33px;""><img src=""images/demo_images/choice_trial_1.png"" style=""width: 408px; height: 417px; margin-right: 200px;""><img src=""images/demo_images/choice_trial_2.png"" style=""width: 408px; height: 417px;""></div></div>",f,delaylearn,learning,trial,pIIB6MwlhTghXp7F27OxRhHbSGY2,pIIB6MwlhTghXp7F27OxRhHbSGY2,2.0,images/demo_images/choice_trial_1.png,images/demo_images/choice_trial_2.png,images/demo_images/pattern_1.png,j,f,3000.0,1.0,2.0,20.0,0.0,3.0,1.0,0.0,1.0,0.0,,,,,,65bfb41fd7a1911a6a7db2c3,09:07:23,27/02/2024
html-keyboard-response,13,21680,0.0-6.0-1.0,,"<div style=""display: flex; flex-direction: column; align-items: center; margin-top: -40px;""><img src=""images/demo_images/pattern_1.png"" style=""width: 234px; height: 230px; margin-top: -50px;""><div style=""display: flex; justify-content: space-between; margin-top: 33px;""><img src=""images/demo_images/choice_trial_1.png"" style=""width: 408px; height: 417px; margin-right: 608px;""></div></div>",,delaylearn,learning,display_response,pIIB6MwlhTghXp7F27OxRhHbSGY2,pIIB6MwlhTghXp7F27OxRhHbSGY2,,,,,,,,,,,,,,,,,chosen stimuli: images/demo_images/choice_trial_1.png,,,,,65bfb41fd7a1911a6a7db2c3,09:07:23,27/02/2024
html-keyboard-response,14,24691,0.0-6.0-2.0,,,,delaylearn,learning,feedback_duration_window,pIIB6MwlhTghXp7F27OxRhHbSGY2,pIIB6MwlhTghXp7F27OxRhHbSGY2,,,,,,,,,,,,,,,,,,3000.0,,,,65bfb41fd7a1911a6a7db2c3,09:07:23,27/02/2024
html-keyboard-response,15,26194,0.0-6.0-3.0,,<div style='margin:auto;width: auto; font-size: 150%'><span style='font-weight: bold; font-size: 100px; color: red;'>0 points!</span><br><br></div>,,delaylearn,learning,feedback_image_window,pIIB6MwlhTghXp7F27OxRhHbSGY2,pIIB6MwlhTghXp7F27OxRhHbSGY2,,,,,,,,,,,,,,,,,,,,,,65bfb41fd7a1911a6a7db2c3,09:07:23,27/02/2024
html-keyboard-response,16,28251,0.0-7.0,,"<div style=""font-size:100px;"">+</div>",,delaylearn,learning,ITI,pIIB6MwlhTghXp7F27OxRhHbSGY2,pIIB6MwlhTghXp7F27OxRhHbSGY2,,,,,,,,,,,,,,,,,,,2046.0,,,65bfb41fd7a1911a6a7db2c3,09:07:23,27/02/2024
