trial_type,trial_index,time_elapsed,internal_node_id,rt,stimulus,response,exp_name,exp_stage,test_part,subjectID,databaseID,counterbal,choice_stimuli_1,choice_stimuli_2,pattern_stimuli,rewarded_answer,correct_answer,feedback_duration_times,stim_left,stim_right,pair,leftright_counter,trial,response_correct,response_rewarded,chosen_stim,counter,displayed_choice,feedback_durations,ITI_duration,labels,rest_warning,prolificID,start_time,date
pavlovia,0,661,0.0-0.0,,,,,,,exB9lm4JDiU6vEG8nNRSXaowpVI2,,,,,,,,,,,,,,,,,,,,,,,63d8267294c685a091016df0,09:11:34,27/02/2024
html-keyboard-response,1,3667,0.0-1.0,,"<div style=""font-size:100px;"">+</div>",,delaylearn,learning,pre_fixation,exB9lm4JDiU6vEG8nNRSXaowpVI2,,,,,,,,,,,,,,,,,,,,,,,63d8267294c685a091016df0,09:11:34,27/02/2024
html-keyboard-response,2,4991,0.0-2.0-0.0,1321.0999999940395,"<div style=""display: flex; flex-direction: column; align-items: center; margin-top: -40px;""><img src=""images/demo_images/pattern_1.png"" style=""width: 234px; height: 230px; margin-top: -50px;""><div style=""display: flex; justify-content: space-between; margin-top: 33px;""><img src=""images/demo_images/choice_trial_2.png"" style=""width: 408px; height: 417px; margin-right: 200px;""><img src=""images/demo_images/choice_trial_1.png"" style=""width: 408px; height: 417px;""></div></div>",f,delaylearn,learning,trial,exB9lm4JDiU6vEG8nNRSXaowpVI2,exB9lm4JDiU6vEG8nNRSXaowpVI2,4.0,images/demo_images/choice_trial_2.png,images/demo_images/choice_trial_1.png,images/demo_images/pattern_1.png,j,j,3000.0,2.0,1.0,20.0,1.0,1.0,0.0,0.0,2.0,0.0,,,,,,63d8267294c685a091016df0,09:11:34,27/02/2024
html-keyboard-response,3,6007,0.0-2.0-1.0,,"<div style=""display: flex; flex-direction: column; align-items: center; margin-top: -40px;""><img src=""images/demo_images/pattern_1.png"" style=""width: 234px; height: 230px; margin-top: -50px;""><div style=""display: flex; justify-content: space-between; margin-top: 33px;""><img src=""images/demo_images/choice_trial_2.png"" style=""width: 408px; height: 417px; margin-right: 608px;""></div></div>",,delaylearn,learning,display_response,exB9lm4JDiU6vEG8nNRSXaowpVI2,exB9lm4JDiU6vEG8nNRSXaowpVI2,,,,,,,,,,,,,,,,,chosen stimuli: images/demo_images/choice_trial_2.png,,,,,63d8267294c685a091016df0,09:11:34,27/02/2024
html-keyboard-response,4,9020,0.0-2.0-2.0,,,,delaylearn,learning,feedback_duration_window,exB9lm4JDiU6vEG8nNRSXaowpVI2,exB9lm4JDiU6vEG8nNRSXaowpVI2,,,,,,,,,,,,,,,,,,3000.0,,,,63d8267294c685a091016df0,09:11:34,27/02/2024
html-keyboard-response,5,10534,0.0-2.0-3.0,,<div style='margin:auto;width: auto; font-size: 150%'><span style='font-weight: bold; font-size: 100px; color: red;'>0 points!</span><br><br></div>,,delaylearn,learning,feedback_image_window,exB9lm4JDiU6vEG8nNRSXaowpVI2,exB9lm4JDiU6vEG8nNRSXaowpVI2,,,,,,,,,,,,,,,,,,,,,,63d8267294c685a091016df0,09:11:34,27/02/2024
html-keyboard-response,6,12733,0.0-3.0,,"<div style=""font-size:100px;"">+</div>",,delaylearn,learning,ITI,exB9lm4JDiU6vEG8nNRSXaowpVI2,exB9lm4JDiU6vEG8nNRSXaowpVI2,,,,,,,,,,,,,,,,,,,2194.0,,,63d8267294c685a091016df0,09:11:34,27/02/2024
html-keyboard-response,7,14140,0.0-4.0-0.0,1404.2000000029802,"<div style=""display: flex; flex-direction: column; align-items: center; margin-top: -40px;""><img src=""images/demo_images/pattern_1.png"" style=""width: 234px; height: 230px; margin-top: -50px;""><div style=""display: flex; justify-content: space-between; margin-top: 33px;""><img src=""images/demo_images/choice_trial_2.png"" style=""width: 408px; height: 417px; margin-right: 200px;""><img src=""images/demo_images/choice_trial_1.png"" style=""width: 408px; height: 417px;""></div></div>",f,delaylearn,learning,trial,exB9lm4JDiU6vEG8nNRSXaowpVI2,exB9lm4JDiU6vEG8nNRSXaowpVI2,4.0,images/demo_images/choice_trial_2.png,images/demo_images/choice_trial_1.png,images/demo_images/pattern_1.png,j,j,3000.0,2.0,1.0,20.0,1.0,2.0,0.0,0.0,2.0,0.0,,,,,,63d8267294c685a091016df0,09:11:34,27/02/2024
html-keyboard-response,8,15142,0.0-4.0-1.0,,"<div style=""display: flex; flex-direction: column; align-items: center; margin-top: -40px;""><img src=""images/demo_images/pattern_1.png"" style=""width: 234px; height: 230px; margin-top: -50px;""><div style=""display: flex; justify-content: space-between; margin-top: 33px;""><img src=""images/demo_images/choice_trial_2.png"" style=""width: 408px; height: 417px; margin-right: 608px;""></div></div>",,delaylearn,learning,display_response,exB9lm4JDiU6vEG8nNRSXaowpVI2,exB9lm4JDiU6vEG8nNRSXaowpVI2,,,,,,,,,,,,,,,,,chosen stimuli: images/demo_images/choice_trial_2.png,,,,,63d8267294c685a091016df0,09:11:34,27/02/2024
html-keyboard-response,9,18151,0.0-4.0-2.0,,,,delaylearn,learning,feedback_duration_window,exB9lm4JDiU6vEG8nNRSXaowpVI2,exB9lm4JDiU6vEG8nNRSXaowpVI2,,,,,,,,,,,,,,,,,,3000.0,,,,63d8267294c685a091016df0,09:11:34,27/02/2024
html-keyboard-response,10,19667,0.0-4.0-3.0,,<div style='margin:auto;width: auto; font-size: 150%'><span style='font-weight: bold; font-size: 100px; color: red;'>0 points!</span><br><br></div>,,delaylearn,learning,feedback_image_window,exB9lm4JDiU6vEG8nNRSXaowpVI2,exB9lm4JDiU6vEG8nNRSXaowpVI2,,,,,,,,,,,,,,,,,,,,,,63d8267294c685a091016df0,09:11:34,27/02/2024
html-keyboard-response,11,21587,0.0-5.0,,"<div style=""font-size:100px;"">+</div>",,delaylearn,learning,ITI,exB9lm4JDiU6vEG8nNRSXaowpVI2,exB9lm4JDiU6vEG8nNRSXaowpVI2,,,,,,,,,,,,,,,,,,,1913.0,,,63d8267294c685a091016df0,09:11:34,27/02/2024
