trial_type,trial_index,time_elapsed,internal_node_id,rt,stimulus,response,exp_name,exp_stage,test_part,subjectID,databaseID,counterbal,choice_stimuli_1,choice_stimuli_2,pattern_stimuli,rewarded_answer,correct_answer,feedback_duration_times,stim_left,stim_right,pair,leftright_counter,trial,response_correct,response_rewarded,chosen_stim,counter,displayed_choice,feedback_durations,ITI_duration,prolificID,start_time,date
pavlovia,0,738,0.0-0.0,,,,,,,DZa6hafVoIejvafLge8phjn5E2h1,,,,,,,,,,,,,,,,,,,,,5d472bfe2f8f6500011c8e2e,16:45:17,27/03/2024
html-keyboard-response,1,3746,0.0-1.0,,"<div style=""font-size:100px;"">+</div>",,delaylearn,learning,pre_fixation,DZa6hafVoIejvafLge8phjn5E2h1,,,,,,,,,,,,,,,,,,,,,5d472bfe2f8f6500011c8e2e,16:45:17,27/03/2024
html-keyboard-response,2,6757,0.0-2.0-0.0,,"<div style=""display: flex; flex-direction: column; align-items: center; margin-top: -40px;""><img src=""images/demo_images/pattern_1.png"" style=""width: 234px; height: 230px; margin-top: -50px;""><div style=""display: flex; justify-content: space-between; margin-top: 33px;""><img src=""images/demo_images/choice_trial_2.png"" style=""width: 408px; height: 417px; margin-right: 200px;""><img src=""images/demo_images/choice_trial_1.png"" style=""width: 408px; height: 417px;""></div></div>",,delaylearn,learning,trial,DZa6hafVoIejvafLge8phjn5E2h1,DZa6hafVoIejvafLge8phjn5E2h1,2.0,images/demo_images/choice_trial_2.png,images/demo_images/choice_trial_1.png,images/demo_images/pattern_1.png,j,j,3000.0,2.0,1.0,20.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,5d472bfe2f8f6500011c8e2e,16:45:17,27/03/2024
html-keyboard-response,3,7765,0.0-2.0-1.0,,<div style='font-weight: bold; font-size: 75px; color: red;'>Missed Trial <br><br><br><br> Please respond faster</div>,,delaylearn,learning,display_response,DZa6hafVoIejvafLge8phjn5E2h1,DZa6hafVoIejvafLge8phjn5E2h1,,,,,,,,,,,,,,,,,Missed trial,,,5d472bfe2f8f6500011c8e2e,16:45:17,27/03/2024
html-keyboard-response,4,7771,0.0-2.0-2.0,,,,delaylearn,learning,feedback_duration_window,DZa6hafVoIejvafLge8phjn5E2h1,DZa6hafVoIejvafLge8phjn5E2h1,,,,,,,,,,,,,,,,,,0.0,,5d472bfe2f8f6500011c8e2e,16:45:17,27/03/2024
html-keyboard-response,5,7775,0.0-2.0-3.0,,,,delaylearn,learning,feedback_image_window,DZa6hafVoIejvafLge8phjn5E2h1,DZa6hafVoIejvafLge8phjn5E2h1,,,,,,,,,,,,,,,,,,,,5d472bfe2f8f6500011c8e2e,16:45:17,27/03/2024
html-keyboard-response,6,10173,0.0-3.0,,"<div style=""font-size:100px;"">+</div>",,delaylearn,learning,ITI,DZa6hafVoIejvafLge8phjn5E2h1,DZa6hafVoIejvafLge8phjn5E2h1,,,,,,,,,,,,,,,,,,,2393.0,5d472bfe2f8f6500011c8e2e,16:45:17,27/03/2024
html-keyboard-response,7,13185,0.0-4.0-0.0,,"<div style=""display: flex; flex-direction: column; align-items: center; margin-top: -40px;""><img src=""images/demo_images/pattern_1.png"" style=""width: 234px; height: 230px; margin-top: -50px;""><div style=""display: flex; justify-content: space-between; margin-top: 33px;""><img src=""images/demo_images/choice_trial_2.png"" style=""width: 408px; height: 417px; margin-right: 200px;""><img src=""images/demo_images/choice_trial_1.png"" style=""width: 408px; height: 417px;""></div></div>",,delaylearn,learning,trial,DZa6hafVoIejvafLge8phjn5E2h1,DZa6hafVoIejvafLge8phjn5E2h1,2.0,images/demo_images/choice_trial_2.png,images/demo_images/choice_trial_1.png,images/demo_images/pattern_1.png,j,j,3000.0,2.0,1.0,20.0,1.0,2.0,0.0,0.0,0.0,0.0,,,,5d472bfe2f8f6500011c8e2e,16:45:17,27/03/2024
html-keyboard-response,8,14190,0.0-4.0-1.0,,<div style='font-weight: bold; font-size: 75px; color: red;'>Missed Trial <br><br><br><br> Please respond faster</div>,,delaylearn,learning,display_response,DZa6hafVoIejvafLge8phjn5E2h1,DZa6hafVoIejvafLge8phjn5E2h1,,,,,,,,,,,,,,,,,Missed trial,,,5d472bfe2f8f6500011c8e2e,16:45:17,27/03/2024
html-keyboard-response,9,14196,0.0-4.0-2.0,,,,delaylearn,learning,feedback_duration_window,DZa6hafVoIejvafLge8phjn5E2h1,DZa6hafVoIejvafLge8phjn5E2h1,,,,,,,,,,,,,,,,,,0.0,,5d472bfe2f8f6500011c8e2e,16:45:17,27/03/2024
html-keyboard-response,10,14208,0.0-4.0-3.0,,,,delaylearn,learning,feedback_image_window,DZa6hafVoIejvafLge8phjn5E2h1,DZa6hafVoIejvafLge8phjn5E2h1,,,,,,,,,,,,,,,,,,,,5d472bfe2f8f6500011c8e2e,16:45:17,27/03/2024
html-keyboard-response,11,16309,0.0-5.0,,"<div style=""font-size:100px;"">+</div>",,delaylearn,learning,ITI,DZa6hafVoIejvafLge8phjn5E2h1,DZa6hafVoIejvafLge8phjn5E2h1,,,,,,,,,,,,,,,,,,,2089.0,5d472bfe2f8f6500011c8e2e,16:45:17,27/03/2024
html-keyboard-response,12,19341,0.0-6.0-0.0,,"<div style=""display: flex; flex-direction: column; align-items: center; margin-top: -40px;""><img src=""images/demo_images/pattern_1.png"" style=""width: 234px; height: 230px; margin-top: -50px;""><div style=""display: flex; justify-content: space-between; margin-top: 33px;""><img src=""images/demo_images/choice_trial_1.png"" style=""width: 408px; height: 417px; margin-right: 200px;""><img src=""images/demo_images/choice_trial_2.png"" style=""width: 408px; height: 417px;""></div></div>",,delaylearn,learning,trial,DZa6hafVoIejvafLge8phjn5E2h1,DZa6hafVoIejvafLge8phjn5E2h1,2.0,images/demo_images/choice_trial_1.png,images/demo_images/choice_trial_2.png,images/demo_images/pattern_1.png,j,f,3000.0,1.0,2.0,20.0,0.0,3.0,0.0,0.0,0.0,0.0,,,,5d472bfe2f8f6500011c8e2e,16:45:17,27/03/2024
html-keyboard-response,13,20359,0.0-6.0-1.0,,<div style='font-weight: bold; font-size: 75px; color: red;'>Missed Trial <br><br><br><br> Please respond faster</div>,,delaylearn,learning,display_response,DZa6hafVoIejvafLge8phjn5E2h1,DZa6hafVoIejvafLge8phjn5E2h1,,,,,,,,,,,,,,,,,Missed trial,,,5d472bfe2f8f6500011c8e2e,16:45:17,27/03/2024
html-keyboard-response,14,20391,0.0-6.0-2.0,,,,delaylearn,learning,feedback_duration_window,DZa6hafVoIejvafLge8phjn5E2h1,DZa6hafVoIejvafLge8phjn5E2h1,,,,,,,,,,,,,,,,,,0.0,,5d472bfe2f8f6500011c8e2e,16:45:17,27/03/2024
html-keyboard-response,15,20422,0.0-6.0-3.0,,,,delaylearn,learning,feedback_image_window,DZa6hafVoIejvafLge8phjn5E2h1,DZa6hafVoIejvafLge8phjn5E2h1,,,,,,,,,,,,,,,,,,,,5d472bfe2f8f6500011c8e2e,16:45:17,27/03/2024
html-keyboard-response,16,22191,0.0-7.0,,"<div style=""font-size:100px;"">+</div>",,delaylearn,learning,ITI,DZa6hafVoIejvafLge8phjn5E2h1,DZa6hafVoIejvafLge8phjn5E2h1,,,,,,,,,,,,,,,,,,,1755.0,5d472bfe2f8f6500011c8e2e,16:45:17,27/03/2024
