trial_type,trial_index,time_elapsed,internal_node_id,rt,stimulus,response,exp_name,exp_stage,test_part,subjectID,databaseID,counterbal,choice_stimuli_1,choice_stimuli_2,pattern_stimuli,rewarded_answer,correct_answer,feedback_duration_times,stim_left,stim_right,pair,leftright_counter,trial,response_correct,response_rewarded,chosen_stim,counter,displayed_choice,feedback_durations,ITI_duration,labels,prolificID,start_time,date
pavlovia,0,454,0.0-0.0,,,,,,,QFY2a2HEiXSx7SpeuKz3BQeuWh73,,,,,,,,,,,,,,,,,,,,,,5711089f52ab8e0011d08d03,16:45:40,27/03/2024
html-keyboard-response,1,3474,0.0-1.0,,"<div style=""font-size:100px;"">+</div>",,delaylearn,learning,pre_fixation,QFY2a2HEiXSx7SpeuKz3BQeuWh73,,,,,,,,,,,,,,,,,,,,,,5711089f52ab8e0011d08d03,16:45:40,27/03/2024
html-keyboard-response,2,5135,0.0-2.0-0.0,1611.0,"<div style=""display: flex; flex-direction: column; align-items: center; margin-top: -40px;""><img src=""images/demo_images/pattern_1.png"" style=""width: 234px; height: 230px; margin-top: -50px;""><div style=""display: flex; justify-content: space-between; margin-top: 33px;""><img src=""images/demo_images/choice_trial_2.png"" style=""width: 408px; height: 417px; margin-right: 200px;""><img src=""images/demo_images/choice_trial_1.png"" style=""width: 408px; height: 417px;""></div></div>",f,delaylearn,learning,trial,QFY2a2HEiXSx7SpeuKz3BQeuWh73,QFY2a2HEiXSx7SpeuKz3BQeuWh73,2.0,images/demo_images/choice_trial_2.png,images/demo_images/choice_trial_1.png,images/demo_images/pattern_1.png,j,j,3000.0,2.0,1.0,20.0,1.0,1.0,0.0,0.0,2.0,0.0,,,,,5711089f52ab8e0011d08d03,16:45:40,27/03/2024
html-keyboard-response,3,6166,0.0-2.0-1.0,,"<div style=""display: flex; flex-direction: column; align-items: center; margin-top: -40px;""><img src=""images/demo_images/pattern_1.png"" style=""width: 234px; height: 230px; margin-top: -50px;""><div style=""display: flex; justify-content: space-between; margin-top: 33px;""><img src=""images/demo_images/choice_trial_2.png"" style=""width: 408px; height: 417px; margin-right: 608px;""></div></div>",,delaylearn,learning,display_response,QFY2a2HEiXSx7SpeuKz3BQeuWh73,QFY2a2HEiXSx7SpeuKz3BQeuWh73,,,,,,,,,,,,,,,,,chosen stimuli: images/demo_images/choice_trial_2.png,,,,5711089f52ab8e0011d08d03,16:45:40,27/03/2024
html-keyboard-response,4,9224,0.0-2.0-2.0,,,,delaylearn,learning,feedback_duration_window,QFY2a2HEiXSx7SpeuKz3BQeuWh73,QFY2a2HEiXSx7SpeuKz3BQeuWh73,,,,,,,,,,,,,,,,,,3000.0,,,5711089f52ab8e0011d08d03,16:45:40,27/03/2024
html-keyboard-response,5,10730,0.0-2.0-3.0,,<div style='margin:auto;width: auto; font-size: 150%'><span style='font-weight: bold; font-size: 100px; color: red;'>0 points!</span><br><br></div>,,delaylearn,learning,feedback_image_window,QFY2a2HEiXSx7SpeuKz3BQeuWh73,QFY2a2HEiXSx7SpeuKz3BQeuWh73,,,,,,,,,,,,,,,,,,,,,5711089f52ab8e0011d08d03,16:45:40,27/03/2024
html-keyboard-response,6,12432,0.0-3.0,,"<div style=""font-size:100px;"">+</div>",,delaylearn,learning,ITI,QFY2a2HEiXSx7SpeuKz3BQeuWh73,QFY2a2HEiXSx7SpeuKz3BQeuWh73,,,,,,,,,,,,,,,,,,,1690.0,,5711089f52ab8e0011d08d03,16:45:40,27/03/2024
html-keyboard-response,7,13285,0.0-4.0-0.0,852.0,"<div style=""display: flex; flex-direction: column; align-items: center; margin-top: -40px;""><img src=""images/demo_images/pattern_1.png"" style=""width: 234px; height: 230px; margin-top: -50px;""><div style=""display: flex; justify-content: space-between; margin-top: 33px;""><img src=""images/demo_images/choice_trial_2.png"" style=""width: 408px; height: 417px; margin-right: 200px;""><img src=""images/demo_images/choice_trial_1.png"" style=""width: 408px; height: 417px;""></div></div>",j,delaylearn,learning,trial,QFY2a2HEiXSx7SpeuKz3BQeuWh73,QFY2a2HEiXSx7SpeuKz3BQeuWh73,2.0,images/demo_images/choice_trial_2.png,images/demo_images/choice_trial_1.png,images/demo_images/pattern_1.png,j,j,3000.0,2.0,1.0,20.0,1.0,2.0,1.0,1.0,1.0,10.0,,,,,5711089f52ab8e0011d08d03,16:45:40,27/03/2024
html-keyboard-response,8,14291,0.0-4.0-1.0,,"<div style=""display: flex; flex-direction: column; align-items: center; margin-top: -40px;""><img src=""images/demo_images/pattern_1.png"" style=""width: 234px; height: 230px; margin-top: -50px;""><div style=""display: flex; justify-content: space-between; margin-top: 33px;""><img src=""images/demo_images/choice_trial_1.png"" style=""width: 408px; height: 417px; margin-left:608px;""></div></div>",,delaylearn,learning,display_response,QFY2a2HEiXSx7SpeuKz3BQeuWh73,QFY2a2HEiXSx7SpeuKz3BQeuWh73,,,,,,,,,,,,,,,,,chosen stimuli: images/demo_images/choice_trial_1.png,,,,5711089f52ab8e0011d08d03,16:45:40,27/03/2024
html-keyboard-response,9,17298,0.0-4.0-2.0,,,,delaylearn,learning,feedback_duration_window,QFY2a2HEiXSx7SpeuKz3BQeuWh73,QFY2a2HEiXSx7SpeuKz3BQeuWh73,,,,,,,,,,,,,,,,,,3000.0,,,5711089f52ab8e0011d08d03,16:45:40,27/03/2024
