trial_type,trial_index,time_elapsed,internal_node_id,rt,stimulus,response,exp_name,exp_stage,test_part,subjectID,databaseID,counterbal,choice_stimuli_1,choice_stimuli_2,pattern_stimuli,rewarded_answer,correct_answer,feedback_duration_times,stim_left,stim_right,pair,leftright_counter,trial,response_correct,response_rewarded,chosen_stim,counter,displayed_choice,feedback_durations,ITI_duration,labels,rest_warning,prolificID,start_time,date
pavlovia,0,3353,0.0-0.0,,,,,,,muJ8ZgPLXSW0ladHZrfyk6RX81j2,,,,,,,,,,,,,,,,,,,,,,,5e7c55274f63942a04b08c29,16:58:12,27/03/2024
html-keyboard-response,1,6381,0.0-1.0,,"<div style=""font-size:100px;"">+</div>",,delaylearn,learning,pre_fixation,muJ8ZgPLXSW0ladHZrfyk6RX81j2,not found,,,,,,,,,,,,,,,,,,,,,,5e7c55274f63942a04b08c29,16:58:12,27/03/2024
html-keyboard-response,2,9387,0.0-2.0-0.0,,"<div style=""display: flex; flex-direction: column; align-items: center; margin-top: -40px;""><img src=""images/demo_images/pattern_1.png"" style=""width: 234px; height: 230px; margin-top: -50px;""><div style=""display: flex; justify-content: space-between; margin-top: 33px;""><img src=""images/demo_images/choice_trial_2.png"" style=""width: 408px; height: 417px; margin-right: 200px;""><img src=""images/demo_images/choice_trial_1.png"" style=""width: 408px; height: 417px;""></div></div>",,delaylearn,learning,trial,muJ8ZgPLXSW0ladHZrfyk6RX81j2,muJ8ZgPLXSW0ladHZrfyk6RX81j2,3.0,images/demo_images/choice_trial_2.png,images/demo_images/choice_trial_1.png,images/demo_images/pattern_1.png,j,j,3000.0,2.0,1.0,20.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,,5e7c55274f63942a04b08c29,16:58:12,27/03/2024
html-keyboard-response,3,10403,0.0-2.0-1.0,,<div style='font-weight: bold; font-size: 75px; color: red;'>Missed Trial <br><br><br><br> Please respond faster</div>,,delaylearn,learning,display_response,muJ8ZgPLXSW0ladHZrfyk6RX81j2,muJ8ZgPLXSW0ladHZrfyk6RX81j2,,,,,,,,,,,,,,,,,Missed trial,,,,,5e7c55274f63942a04b08c29,16:58:12,27/03/2024
html-keyboard-response,4,10405,0.0-2.0-2.0,,,,delaylearn,learning,feedback_duration_window,muJ8ZgPLXSW0ladHZrfyk6RX81j2,muJ8ZgPLXSW0ladHZrfyk6RX81j2,,,,,,,,,,,,,,,,,,0.0,,,,5e7c55274f63942a04b08c29,16:58:12,27/03/2024
html-keyboard-response,5,10411,0.0-2.0-3.0,,,,delaylearn,learning,feedback_image_window,muJ8ZgPLXSW0ladHZrfyk6RX81j2,muJ8ZgPLXSW0ladHZrfyk6RX81j2,,,,,,,,,,,,,,,,,,,,,,5e7c55274f63942a04b08c29,16:58:12,27/03/2024
html-keyboard-response,6,12503,0.0-3.0,,"<div style=""font-size:100px;"">+</div>",,delaylearn,learning,ITI,muJ8ZgPLXSW0ladHZrfyk6RX81j2,muJ8ZgPLXSW0ladHZrfyk6RX81j2,,,,,,,,,,,,,,,,,,,2077.0,,,5e7c55274f63942a04b08c29,16:58:12,27/03/2024
html-keyboard-response,7,13024,0.0-4.0-0.0,519.5,"<div style=""display: flex; flex-direction: column; align-items: center; margin-top: -40px;""><img src=""images/demo_images/pattern_1.png"" style=""width: 234px; height: 230px; margin-top: -50px;""><div style=""display: flex; justify-content: space-between; margin-top: 33px;""><img src=""images/demo_images/choice_trial_2.png"" style=""width: 408px; height: 417px; margin-right: 200px;""><img src=""images/demo_images/choice_trial_1.png"" style=""width: 408px; height: 417px;""></div></div>",f,delaylearn,learning,trial,muJ8ZgPLXSW0ladHZrfyk6RX81j2,muJ8ZgPLXSW0ladHZrfyk6RX81j2,3.0,images/demo_images/choice_trial_2.png,images/demo_images/choice_trial_1.png,images/demo_images/pattern_1.png,j,j,3000.0,2.0,1.0,20.0,1.0,2.0,0.0,0.0,2.0,0.0,,,,,,5e7c55274f63942a04b08c29,16:58:12,27/03/2024
html-keyboard-response,8,14039,0.0-4.0-1.0,,"<div style=""display: flex; flex-direction: column; align-items: center; margin-top: -40px;""><img src=""images/demo_images/pattern_1.png"" style=""width: 234px; height: 230px; margin-top: -50px;""><div style=""display: flex; justify-content: space-between; margin-top: 33px;""><img src=""images/demo_images/choice_trial_2.png"" style=""width: 408px; height: 417px; margin-right: 608px;""></div></div>",,delaylearn,learning,display_response,muJ8ZgPLXSW0ladHZrfyk6RX81j2,muJ8ZgPLXSW0ladHZrfyk6RX81j2,,,,,,,,,,,,,,,,,chosen stimuli: images/demo_images/choice_trial_2.png,,,,,5e7c55274f63942a04b08c29,16:58:12,27/03/2024
html-keyboard-response,9,17056,0.0-4.0-2.0,,,,delaylearn,learning,feedback_duration_window,muJ8ZgPLXSW0ladHZrfyk6RX81j2,muJ8ZgPLXSW0ladHZrfyk6RX81j2,,,,,,,,,,,,,,,,,,3000.0,,,,5e7c55274f63942a04b08c29,16:58:12,27/03/2024
html-keyboard-response,10,18570,0.0-4.0-3.0,,<div style='margin:auto;width: auto; font-size: 150%'><span style='font-weight: bold; font-size: 100px; color: red;'>0 points!</span><br><br></div>,,delaylearn,learning,feedback_image_window,muJ8ZgPLXSW0ladHZrfyk6RX81j2,muJ8ZgPLXSW0ladHZrfyk6RX81j2,,,,,,,,,,,,,,,,,,,,,,5e7c55274f63942a04b08c29,16:58:12,27/03/2024
html-keyboard-response,11,20135,0.0-5.0,,"<div style=""font-size:100px;"">+</div>",,delaylearn,learning,ITI,muJ8ZgPLXSW0ladHZrfyk6RX81j2,muJ8ZgPLXSW0ladHZrfyk6RX81j2,,,,,,,,,,,,,,,,,,,1554.0,,,5e7c55274f63942a04b08c29,16:58:12,27/03/2024
html-keyboard-response,12,21659,0.0-6.0-0.0,1523.2000000476837,"<div style=""display: flex; flex-direction: column; align-items: center; margin-top: -40px;""><img src=""images/demo_images/pattern_1.png"" style=""width: 234px; height: 230px; margin-top: -50px;""><div style=""display: flex; justify-content: space-between; margin-top: 33px;""><img src=""images/demo_images/choice_trial_1.png"" style=""width: 408px; height: 417px; margin-right: 200px;""><img src=""images/demo_images/choice_trial_2.png"" style=""width: 408px; height: 417px;""></div></div>",f,delaylearn,learning,trial,muJ8ZgPLXSW0ladHZrfyk6RX81j2,muJ8ZgPLXSW0ladHZrfyk6RX81j2,3.0,images/demo_images/choice_trial_1.png,images/demo_images/choice_trial_2.png,images/demo_images/pattern_1.png,j,f,3000.0,1.0,2.0,20.0,0.0,3.0,1.0,0.0,1.0,0.0,,,,,,5e7c55274f63942a04b08c29,16:58:12,27/03/2024
html-keyboard-response,13,22672,0.0-6.0-1.0,,"<div style=""display: flex; flex-direction: column; align-items: center; margin-top: -40px;""><img src=""images/demo_images/pattern_1.png"" style=""width: 234px; height: 230px; margin-top: -50px;""><div style=""display: flex; justify-content: space-between; margin-top: 33px;""><img src=""images/demo_images/choice_trial_1.png"" style=""width: 408px; height: 417px; margin-right: 608px;""></div></div>",,delaylearn,learning,display_response,muJ8ZgPLXSW0ladHZrfyk6RX81j2,muJ8ZgPLXSW0ladHZrfyk6RX81j2,,,,,,,,,,,,,,,,,chosen stimuli: images/demo_images/choice_trial_1.png,,,,,5e7c55274f63942a04b08c29,16:58:12,27/03/2024
html-keyboard-response,14,25686,0.0-6.0-2.0,,,,delaylearn,learning,feedback_duration_window,muJ8ZgPLXSW0ladHZrfyk6RX81j2,muJ8ZgPLXSW0ladHZrfyk6RX81j2,,,,,,,,,,,,,,,,,,3000.0,,,,5e7c55274f63942a04b08c29,16:58:12,27/03/2024
html-keyboard-response,15,27203,0.0-6.0-3.0,,<div style='margin:auto;width: auto; font-size: 150%'><span style='font-weight: bold; font-size: 100px; color: red;'>0 points!</span><br><br></div>,,delaylearn,learning,feedback_image_window,muJ8ZgPLXSW0ladHZrfyk6RX81j2,muJ8ZgPLXSW0ladHZrfyk6RX81j2,,,,,,,,,,,,,,,,,,,,,,5e7c55274f63942a04b08c29,16:58:12,27/03/2024
html-keyboard-response,16,28838,0.0-7.0,,"<div style=""font-size:100px;"">+</div>",,delaylearn,learning,ITI,muJ8ZgPLXSW0ladHZrfyk6RX81j2,muJ8ZgPLXSW0ladHZrfyk6RX81j2,,,,,,,,,,,,,,,,,,,1627.0,,,5e7c55274f63942a04b08c29,16:58:12,27/03/2024
html-keyboard-response,17,29770,0.0-8.0-0.0,930.5,"<div style=""display: flex; flex-direction: column; align-items: center; margin-top: -40px;""><img src=""images/demo_images/pattern_1.png"" style=""width: 234px; height: 230px; margin-top: -50px;""><div style=""display: flex; justify-content: space-between; margin-top: 33px;""><img src=""images/demo_images/choice_trial_1.png"" style=""width: 408px; height: 417px; margin-right: 200px;""><img src=""images/demo_images/choice_trial_2.png"" style=""width: 408px; height: 417px;""></div></div>",j,delaylearn,learning,trial,muJ8ZgPLXSW0ladHZrfyk6RX81j2,muJ8ZgPLXSW0ladHZrfyk6RX81j2,3.0,images/demo_images/choice_trial_1.png,images/demo_images/choice_trial_2.png,images/demo_images/pattern_1.png,f,f,3000.0,1.0,2.0,20.0,0.0,4.0,0.0,0.0,2.0,0.0,,,,,,5e7c55274f63942a04b08c29,16:58:12,27/03/2024
