rt,response,choice_idxs,exp_name,exp_stage,q_name,subjectID,trial_type,trial_index,time_elapsed,internal_node_id,stimulus,labels,prolificID,start_time,date
7901.0,"{""Q0"":""Did not notice a pattern""}",[1],delaylearn,survey,delay1,BkowKjhmYtZaofs2Xg8KqIMXL2L2,lmdlab-evan-quiz,45,170903,0.0-22.0,,,60ec1dd7eaa54649ce2bdd3f,12:48:21,26/02/2024
4396.0,0.565646792878724,,delaylearn,survey,state_stress,BkowKjhmYtZaofs2Xg8KqIMXL2L2,lmdlab-html-vas-response,62,233500,0.0-28.0,"<p style='font-size: 2.2rem; line-height: 1.3'>How would you rate your current stress level?<br><br>Use the scale below, with 1 being the least<br>stressed and 10 being the most stressed:</p><br><br>","['1<br>Low<br>stress', '2', '3', '4', '5', '6', '7', '8', '9', '10<br>High<br>stress']",60ec1dd7eaa54649ce2bdd3f,12:48:21,26/02/2024
3989.0,"{""Q0"":""Average""}",[2],delaylearn,survey,sleep1,BkowKjhmYtZaofs2Xg8KqIMXL2L2,lmdlab-evan-quiz,63,238255,0.0-29.0,,,60ec1dd7eaa54649ce2bdd3f,12:48:21,26/02/2024
4844.0,"{""Q0"":""Average""}",[2],delaylearn,survey,sleep2,BkowKjhmYtZaofs2Xg8KqIMXL2L2,lmdlab-evan-quiz,64,243866,0.0-30.0,,,60ec1dd7eaa54649ce2bdd3f,12:48:21,26/02/2024
7664.0,"{""Q0"":""Poor""}",[3],delaylearn,survey,sleep3,BkowKjhmYtZaofs2Xg8KqIMXL2L2,lmdlab-evan-quiz,65,252296,0.0-31.0,,,60ec1dd7eaa54649ce2bdd3f,12:48:21,26/02/2024
9548.0,"{""Q0"":""Learned much better with with shorter delay""}",[0],delaylearn,survey,delay2,BkowKjhmYtZaofs2Xg8KqIMXL2L2,lmdlab-evan-quiz,67,265235,0.0-33.0,,,60ec1dd7eaa54649ce2bdd3f,12:48:21,26/02/2024
5013.0,0.9617922819535086,,delaylearn,survey,delay3,BkowKjhmYtZaofs2Xg8KqIMXL2L2,lmdlab-html-vas-response,68,271771,0.0-34.0,<p style='font-size: 2.2rem; line-height: 1.3'><br>Were you at all bothered or frustrated by<br>the longer delays to point feedback?</p><br>,"['Not at all frustrated by long feedback delays', 'Somewhat frustrated', 'Very frustrated by long feedback delays']",60ec1dd7eaa54649ce2bdd3f,12:48:21,26/02/2024
4774.0,0.8241868913287306,,delaylearn,survey,mood1,BkowKjhmYtZaofs2Xg8KqIMXL2L2,lmdlab-html-vas-response,69,278069,0.0-35.0,<p style='font-size: 2.2rem; line-height: 1.3'><br>Regarding the <b>happiness ratings</b>:<br>Were you at all bothered or frustrated by<br>the ratings?</p><br>,"['Not at all frustrated by mood ratings', 'Somewhat frustrated', 'Very frustrated by mood ratings']",60ec1dd7eaa54649ce2bdd3f,12:48:21,26/02/2024
5180.0,0.6948648767321044,,delaylearn,survey,engagement1,BkowKjhmYtZaofs2Xg8KqIMXL2L2,lmdlab-html-vas-response,70,284780,0.0-36.0,"<p style=""font-size: 1.8rem; line-height: 1.3;"">How engaged and focused were you during this task?</p>","['Not at all engaged', 'Very engaged']",60ec1dd7eaa54649ce2bdd3f,12:48:21,26/02/2024
4387.0,"{""Q0"":""Yes""}",[0],delaylearn,survey,engagement2,BkowKjhmYtZaofs2Xg8KqIMXL2L2,lmdlab-evan-quiz,71,289924,0.0-37.0,,,60ec1dd7eaa54649ce2bdd3f,12:48:21,26/02/2024
11282.700000017881,{'Q0': 'nothing'},,delaylearn,survey,engagement3,BkowKjhmYtZaofs2Xg8KqIMXL2L2,lmdlab-survey-text,72,301974,0.0-38.0,,,60ec1dd7eaa54649ce2bdd3f,12:48:21,26/02/2024
31035.40000000596,"{'Q0': ""I was getting frustrated by the confidence and mood ratings because I wasn't noticing any patterns at all ""}",,delaylearn,survey,comment1,BkowKjhmYtZaofs2Xg8KqIMXL2L2,lmdlab-survey-text,73,333774,0.0-39.0,,,60ec1dd7eaa54649ce2bdd3f,12:48:21,26/02/2024
