rt,response,choice_idxs,exp_name,exp_stage,q_name,subjectID,trial_type,trial_index,time_elapsed,internal_node_id,stimulus,labels,prolificID,start_time,date
8452.0,"{""Q0"":""Did not notice a pattern""}",[1],delaylearn,survey,delay1,rOzc3jkFM9PktkBMNeXaAb7sdns1,lmdlab-evan-quiz,45,273349,0.0-22.0,,,65b7b0e4e6fa7d632205b4b6,14:19:30,26/02/2024
8386.0,0.11418920329678524,,delaylearn,survey,state_stress,rOzc3jkFM9PktkBMNeXaAb7sdns1,lmdlab-html-vas-response,62,347654,0.0-28.0,"<p style='font-size: 2.2rem; line-height: 1.3'>How would you rate your current stress level?<br><br>Use the scale below, with 1 being the least<br>stressed and 10 being the most stressed:</p><br><br>","['1<br>Low<br>stress', '2', '3', '4', '5', '6', '7', '8', '9', '10<br>High<br>stress']",65b7b0e4e6fa7d632205b4b6,14:19:30,26/02/2024
9822.0,"{""Q0"":""Poor""}",[3],delaylearn,survey,sleep1,rOzc3jkFM9PktkBMNeXaAb7sdns1,lmdlab-evan-quiz,63,358237,0.0-29.0,,,65b7b0e4e6fa7d632205b4b6,14:19:30,26/02/2024
4015.0,"{""Q0"":""Less""}",[3],delaylearn,survey,sleep2,rOzc3jkFM9PktkBMNeXaAb7sdns1,lmdlab-evan-quiz,64,363021,0.0-30.0,,,65b7b0e4e6fa7d632205b4b6,14:19:30,26/02/2024
6198.0,"{""Q0"":""Poor""}",[3],delaylearn,survey,sleep3,rOzc3jkFM9PktkBMNeXaAb7sdns1,lmdlab-evan-quiz,65,369979,0.0-31.0,,,65b7b0e4e6fa7d632205b4b6,14:19:30,26/02/2024
8047.0,"{""Q0"":""Shorter delay""}",[1],delaylearn,survey,delay2,rOzc3jkFM9PktkBMNeXaAb7sdns1,lmdlab-evan-quiz,67,384013,0.0-33.0,,,65b7b0e4e6fa7d632205b4b6,14:19:30,26/02/2024
6878.0,0.023148148148148147,,delaylearn,survey,delay3,rOzc3jkFM9PktkBMNeXaAb7sdns1,lmdlab-html-vas-response,68,392416,0.0-34.0,<p style='font-size: 2.2rem; line-height: 1.3'><br>Were you at all bothered or frustrated by<br>the longer delays to point feedback?</p><br>,"['Not at all frustrated by long feedback delays', 'Somewhat frustrated', 'Very frustrated by long feedback delays']",65b7b0e4e6fa7d632205b4b6,14:19:30,26/02/2024
5761.0,0.009259259259259259,,delaylearn,survey,mood1,rOzc3jkFM9PktkBMNeXaAb7sdns1,lmdlab-html-vas-response,69,399696,0.0-35.0,<p style='font-size: 2.2rem; line-height: 1.3'><br>Regarding the <b>happiness ratings</b>:<br>Were you at all bothered or frustrated by<br>the ratings?</p><br>,"['Not at all frustrated by mood ratings', 'Somewhat frustrated', 'Very frustrated by mood ratings']",65b7b0e4e6fa7d632205b4b6,14:19:30,26/02/2024
5622.0,0.9271194669935439,,delaylearn,survey,engagement1,rOzc3jkFM9PktkBMNeXaAb7sdns1,lmdlab-html-vas-response,70,406841,0.0-36.0,"<p style=""font-size: 1.8rem; line-height: 1.3;"">How engaged and focused were you during this task?</p>","['Not at all engaged', 'Very engaged']",65b7b0e4e6fa7d632205b4b6,14:19:30,26/02/2024
5018.0,"{""Q0"":""Yes""}",[0],delaylearn,survey,engagement2,rOzc3jkFM9PktkBMNeXaAb7sdns1,lmdlab-evan-quiz,71,412619,0.0-37.0,,,65b7b0e4e6fa7d632205b4b6,14:19:30,26/02/2024
10677.899999976158,{'Q0': 'No I did not.'},,delaylearn,survey,engagement3,rOzc3jkFM9PktkBMNeXaAb7sdns1,lmdlab-survey-text,72,424057,0.0-38.0,,,65b7b0e4e6fa7d632205b4b6,14:19:30,26/02/2024
22382.400000035763,{'Q0': 'I never managed to learn any pattern to the lucky images at all.'},,delaylearn,survey,comment1,rOzc3jkFM9PktkBMNeXaAb7sdns1,lmdlab-survey-text,73,447199,0.0-39.0,,,65b7b0e4e6fa7d632205b4b6,14:19:30,26/02/2024
