rt,response,choice_idxs,exp_name,exp_stage,q_name,subjectID,trial_type,trial_index,time_elapsed,internal_node_id,stimulus,labels,prolificID,start_time,date
11352.0,"{""Q0"":""Did not notice a pattern""}",[1],delaylearn,survey,delay1,ln2J0IC3HSdApZoRvrszqvreSo12,lmdlab-evan-quiz,45,235376,0.0-22.0,,,5ba91985c4da2d00015d4a11,09:05:27,27/02/2024
3244.0,0.6689995659722222,,delaylearn,survey,state_stress,ln2J0IC3HSdApZoRvrszqvreSo12,lmdlab-html-vas-response,62,284448,0.0-28.0,"<p style='font-size: 2.2rem; line-height: 1.3'>How would you rate your current stress level?<br><br>Use the scale below, with 1 being the least<br>stressed and 10 being the most stressed:</p><br><br>","['1<br>Low<br>stress', '2', '3', '4', '5', '6', '7', '8', '9', '10<br>High<br>stress']",5ba91985c4da2d00015d4a11,09:05:27,27/02/2024
3552.0,"{""Q0"":""Average""}",[2],delaylearn,survey,sleep1,ln2J0IC3HSdApZoRvrszqvreSo12,lmdlab-evan-quiz,63,288758,0.0-29.0,,,5ba91985c4da2d00015d4a11,09:05:27,27/02/2024
3846.0,"{""Q0"":""Average""}",[2],delaylearn,survey,sleep2,ln2J0IC3HSdApZoRvrszqvreSo12,lmdlab-evan-quiz,64,293365,0.0-30.0,,,5ba91985c4da2d00015d4a11,09:05:27,27/02/2024
4020.0,"{""Q0"":""Average""}",[2],delaylearn,survey,sleep3,ln2J0IC3HSdApZoRvrszqvreSo12,lmdlab-evan-quiz,65,298141,0.0-31.0,,,5ba91985c4da2d00015d4a11,09:05:27,27/02/2024
6630.0,"{""Q0"":""Learned much better with with shorter delay""}",[0],delaylearn,survey,delay2,ln2J0IC3HSdApZoRvrszqvreSo12,lmdlab-evan-quiz,67,309076,0.0-33.0,,,5ba91985c4da2d00015d4a11,09:05:27,27/02/2024
9887.0,0.006266276041666667,,delaylearn,survey,delay3,ln2J0IC3HSdApZoRvrszqvreSo12,lmdlab-html-vas-response,68,320488,0.0-34.0,<p style='font-size: 2.2rem; line-height: 1.3'><br>Were you at all bothered or frustrated by<br>the longer delays to point feedback?</p><br>,"['Not at all frustrated by long feedback delays', 'Somewhat frustrated', 'Very frustrated by long feedback delays']",5ba91985c4da2d00015d4a11,09:05:27,27/02/2024
8813.0,0.002099609375,,delaylearn,survey,mood1,ln2J0IC3HSdApZoRvrszqvreSo12,lmdlab-html-vas-response,69,330821,0.0-35.0,<p style='font-size: 2.2rem; line-height: 1.3'><br>Regarding the <b>happiness ratings</b>:<br>Were you at all bothered or frustrated by<br>the ratings?</p><br>,"['Not at all frustrated by mood ratings', 'Somewhat frustrated', 'Very frustrated by mood ratings']",5ba91985c4da2d00015d4a11,09:05:27,27/02/2024
3918.0,0.371875,,delaylearn,survey,engagement1,ln2J0IC3HSdApZoRvrszqvreSo12,lmdlab-html-vas-response,70,336259,0.0-36.0,"<p style=""font-size: 1.8rem; line-height: 1.3;"">How engaged and focused were you during this task?</p>","['Not at all engaged', 'Very engaged']",5ba91985c4da2d00015d4a11,09:05:27,27/02/2024
3354.0,"{""Q0"":""Yes""}",[0],delaylearn,survey,engagement2,ln2J0IC3HSdApZoRvrszqvreSo12,lmdlab-evan-quiz,71,340380,0.0-37.0,,,5ba91985c4da2d00015d4a11,09:05:27,27/02/2024
36305.59999999404,"{'Q0': ""No, I'm just exhausted today, but I did my best to follow the study. It was hard to stick up with it, since I was following a set pattern, but it's sort of like the pattern kept changing, so it was quite frustrating.""}",,delaylearn,survey,engagement3,ln2J0IC3HSdApZoRvrszqvreSo12,lmdlab-survey-text,72,377455,0.0-38.0,,,5ba91985c4da2d00015d4a11,09:05:27,27/02/2024
5514.799999982119,{'Q0': 'As before.'},,delaylearn,survey,comment1,ln2J0IC3HSdApZoRvrszqvreSo12,lmdlab-survey-text,73,383727,0.0-39.0,,,5ba91985c4da2d00015d4a11,09:05:27,27/02/2024
