rt,response,choice_idxs,exp_name,exp_stage,q_name,subjectID,trial_type,trial_index,time_elapsed,internal_node_id,stimulus,labels,prolificID,start_time,date
5941.0,"{""Q0"":""Did not notice a pattern""}",[1],delaylearn,survey,delay1,DZVOo0AA4lTmWVxv6XoOgE5gLH63,lmdlab-evan-quiz,45,185823,0.0-22.0,,,65562141ae0a6660324ce572,09:06:07,27/02/2024
4507.0,0.33603345640871074,,delaylearn,survey,state_stress,DZVOo0AA4lTmWVxv6XoOgE5gLH63,lmdlab-html-vas-response,62,244561,0.0-28.0,"<p style='font-size: 2.2rem; line-height: 1.3'>How would you rate your current stress level?<br><br>Use the scale below, with 1 being the least<br>stressed and 10 being the most stressed:</p><br><br>","['1<br>Low<br>stress', '2', '3', '4', '5', '6', '7', '8', '9', '10<br>High<br>stress']",65562141ae0a6660324ce572,09:06:07,27/02/2024
3593.0,"{""Q0"":""Poor""}",[3],delaylearn,survey,sleep1,DZVOo0AA4lTmWVxv6XoOgE5gLH63,lmdlab-evan-quiz,63,248915,0.0-29.0,,,65562141ae0a6660324ce572,09:06:07,27/02/2024
3119.0,"{""Q0"":""Less""}",[3],delaylearn,survey,sleep2,DZVOo0AA4lTmWVxv6XoOgE5gLH63,lmdlab-evan-quiz,64,252796,0.0-30.0,,,65562141ae0a6660324ce572,09:06:07,27/02/2024
3403.0,"{""Q0"":""Poor""}",[3],delaylearn,survey,sleep3,DZVOo0AA4lTmWVxv6XoOgE5gLH63,lmdlab-evan-quiz,65,256959,0.0-31.0,,,65562141ae0a6660324ce572,09:06:07,27/02/2024
5674.0,"{""Q0"":""Shorter delay""}",[1],delaylearn,survey,delay2,DZVOo0AA4lTmWVxv6XoOgE5gLH63,lmdlab-evan-quiz,67,266953,0.0-33.0,,,65562141ae0a6660324ce572,09:06:07,27/02/2024
4886.0,0.5369095656301922,,delaylearn,survey,delay3,DZVOo0AA4lTmWVxv6XoOgE5gLH63,lmdlab-html-vas-response,68,273352,0.0-34.0,<p style='font-size: 2.2rem; line-height: 1.3'><br>Were you at all bothered or frustrated by<br>the longer delays to point feedback?</p><br>,"['Not at all frustrated by long feedback delays', 'Somewhat frustrated', 'Very frustrated by long feedback delays']",65562141ae0a6660324ce572,09:06:07,27/02/2024
3527.0,0.3090434369807738,,delaylearn,survey,mood1,DZVOo0AA4lTmWVxv6XoOgE5gLH63,lmdlab-html-vas-response,69,278396,0.0-35.0,<p style='font-size: 2.2rem; line-height: 1.3'><br>Regarding the <b>happiness ratings</b>:<br>Were you at all bothered or frustrated by<br>the ratings?</p><br>,"['Not at all frustrated by mood ratings', 'Somewhat frustrated', 'Very frustrated by mood ratings']",65562141ae0a6660324ce572,09:06:07,27/02/2024
2686.0,0.9329603255340794,,delaylearn,survey,engagement1,DZVOo0AA4lTmWVxv6XoOgE5gLH63,lmdlab-html-vas-response,70,282590,0.0-36.0,"<p style=""font-size: 1.8rem; line-height: 1.3;"">How engaged and focused were you during this task?</p>","['Not at all engaged', 'Very engaged']",65562141ae0a6660324ce572,09:06:07,27/02/2024
3727.0,"{""Q0"":""Yes""}",[0],delaylearn,survey,engagement2,DZVOo0AA4lTmWVxv6XoOgE5gLH63,lmdlab-evan-quiz,71,287075,0.0-37.0,,,65562141ae0a6660324ce572,09:06:07,27/02/2024
20247.5,{'Q0': 'No I did not'},,delaylearn,survey,engagement3,DZVOo0AA4lTmWVxv6XoOgE5gLH63,lmdlab-survey-text,72,308078,0.0-38.0,,,65562141ae0a6660324ce572,09:06:07,27/02/2024
13303.5,{'Q0': 'I thought it was a fun experiment'},,delaylearn,survey,comment1,DZVOo0AA4lTmWVxv6XoOgE5gLH63,lmdlab-survey-text,73,322135,0.0-39.0,,,65562141ae0a6660324ce572,09:06:07,27/02/2024
