rt,response,choice_idxs,exp_name,exp_stage,q_name,subjectID,trial_type,trial_index,time_elapsed,internal_node_id,stimulus,labels,prolificID,start_time,date
12038.0,"{""Q0"":""Sometimes noticed a pattern""}",[2],delaylearn,survey,delay1,vAAyoEmesTVkcaP7p4fzpa4cNy03,lmdlab-evan-quiz,45,215262,0.0-22.0,,,5c63363b935c87000118a78a,09:06:13,27/02/2024
3808.0,0.5637860082304527,,delaylearn,survey,state_stress,vAAyoEmesTVkcaP7p4fzpa4cNy03,lmdlab-html-vas-response,62,272259,0.0-28.0,"<p style='font-size: 2.2rem; line-height: 1.3'>How would you rate your current stress level?<br><br>Use the scale below, with 1 being the least<br>stressed and 10 being the most stressed:</p><br><br>","['1<br>Low<br>stress', '2', '3', '4', '5', '6', '7', '8', '9', '10<br>High<br>stress']",5c63363b935c87000118a78a,09:06:13,27/02/2024
3497.0,"{""Q0"":""Average""}",[2],delaylearn,survey,sleep1,vAAyoEmesTVkcaP7p4fzpa4cNy03,lmdlab-evan-quiz,63,276513,0.0-29.0,,,5c63363b935c87000118a78a,09:06:13,27/02/2024
5970.0,"{""Q0"":""Less""}",[3],delaylearn,survey,sleep2,vAAyoEmesTVkcaP7p4fzpa4cNy03,lmdlab-evan-quiz,64,283243,0.0-30.0,,,5c63363b935c87000118a78a,09:06:13,27/02/2024
2913.0,"{""Q0"":""Average""}",[2],delaylearn,survey,sleep3,vAAyoEmesTVkcaP7p4fzpa4cNy03,lmdlab-evan-quiz,65,286917,0.0-31.0,,,5c63363b935c87000118a78a,09:06:13,27/02/2024
6254.0,"{""Q0"":""Shorter delay""}",[2],delaylearn,survey,delay2,vAAyoEmesTVkcaP7p4fzpa4cNy03,lmdlab-evan-quiz,67,295362,0.0-33.0,,,5c63363b935c87000118a78a,09:06:13,27/02/2024
7329.0,0.9815104166666667,,delaylearn,survey,delay3,vAAyoEmesTVkcaP7p4fzpa4cNy03,lmdlab-html-vas-response,68,304200,0.0-34.0,<p style='font-size: 2.2rem; line-height: 1.3'><br>Were you at all bothered or frustrated by<br>the longer delays to point feedback?</p><br>,"['Not at all frustrated by long feedback delays', 'Somewhat frustrated', 'Very frustrated by long feedback delays']",5c63363b935c87000118a78a,09:06:13,27/02/2024
4146.0,0.5000289351851852,,delaylearn,survey,mood1,vAAyoEmesTVkcaP7p4fzpa4cNy03,lmdlab-html-vas-response,69,309857,0.0-35.0,<p style='font-size: 2.2rem; line-height: 1.3'><br>Regarding the <b>happiness ratings</b>:<br>Were you at all bothered or frustrated by<br>the ratings?</p><br>,"['Not at all frustrated by mood ratings', 'Somewhat frustrated', 'Very frustrated by mood ratings']",5c63363b935c87000118a78a,09:06:13,27/02/2024
5110.0,0.9944444444444445,,delaylearn,survey,engagement1,vAAyoEmesTVkcaP7p4fzpa4cNy03,lmdlab-html-vas-response,70,316475,0.0-36.0,"<p style=""font-size: 1.8rem; line-height: 1.3;"">How engaged and focused were you during this task?</p>","['Not at all engaged', 'Very engaged']",5c63363b935c87000118a78a,09:06:13,27/02/2024
3379.0,"{""Q0"":""Yes""}",[0],delaylearn,survey,engagement2,vAAyoEmesTVkcaP7p4fzpa4cNy03,lmdlab-evan-quiz,71,320612,0.0-37.0,,,5c63363b935c87000118a78a,09:06:13,27/02/2024
11975.100000000093,{'Q0': 'no i did not'},,delaylearn,survey,engagement3,vAAyoEmesTVkcaP7p4fzpa4cNy03,lmdlab-survey-text,72,333342,0.0-38.0,,,5c63363b935c87000118a78a,09:06:13,27/02/2024
9010.700000000186,{'Q0': 'Hated the delays'},,delaylearn,survey,comment1,vAAyoEmesTVkcaP7p4fzpa4cNy03,lmdlab-survey-text,73,343107,0.0-39.0,,,5c63363b935c87000118a78a,09:06:13,27/02/2024
