rt,response,choice_idxs,exp_name,exp_stage,q_name,subjectID,trial_type,trial_index,time_elapsed,internal_node_id,stimulus,labels,prolificID,start_time,date
8619.0,"{""Q0"":""Did not notice a pattern""}",[1],delaylearn,survey,delay1,13tegHUn27W5eqKoo56ZxVRwt4E2,lmdlab-evan-quiz,45,221619,0.0-22.0,,,5c7c0337a1b1360011c481fb,09:06:20,27/02/2024
7146.0,0.22015866216101998,,delaylearn,survey,state_stress,13tegHUn27W5eqKoo56ZxVRwt4E2,lmdlab-html-vas-response,62,295268,0.0-28.0,"<p style='font-size: 2.2rem; line-height: 1.3'>How would you rate your current stress level?<br><br>Use the scale below, with 1 being the least<br>stressed and 10 being the most stressed:</p><br><br>","['1<br>Low<br>stress', '2', '3', '4', '5', '6', '7', '8', '9', '10<br>High<br>stress']",5c7c0337a1b1360011c481fb,09:06:20,27/02/2024
5807.0,"{""Q0"":""Average""}",[2],delaylearn,survey,sleep1,13tegHUn27W5eqKoo56ZxVRwt4E2,lmdlab-evan-quiz,63,301849,0.0-29.0,,,5c7c0337a1b1360011c481fb,09:06:20,27/02/2024
3821.0,"{""Q0"":""More sleep""}",[1],delaylearn,survey,sleep2,13tegHUn27W5eqKoo56ZxVRwt4E2,lmdlab-evan-quiz,64,306431,0.0-30.0,,,5c7c0337a1b1360011c481fb,09:06:20,27/02/2024
3614.0,"{""Q0"":""Good""}",[1],delaylearn,survey,sleep3,13tegHUn27W5eqKoo56ZxVRwt4E2,lmdlab-evan-quiz,65,310814,0.0-31.0,,,5c7c0337a1b1360011c481fb,09:06:20,27/02/2024
7621.0,"{""Q0"":""Shorter delay""}",[2],delaylearn,survey,delay2,13tegHUn27W5eqKoo56ZxVRwt4E2,lmdlab-evan-quiz,67,323677,0.0-33.0,,,5c7c0337a1b1360011c481fb,09:06:20,27/02/2024
5248.0,0.5000241880063657,,delaylearn,survey,delay3,13tegHUn27W5eqKoo56ZxVRwt4E2,lmdlab-html-vas-response,68,330458,0.0-34.0,<p style='font-size: 2.2rem; line-height: 1.3'><br>Were you at all bothered or frustrated by<br>the longer delays to point feedback?</p><br>,"['Not at all frustrated by long feedback delays', 'Somewhat frustrated', 'Very frustrated by long feedback delays']",5c7c0337a1b1360011c481fb,09:06:20,27/02/2024
6820.0,2.4188006365740742e-05,,delaylearn,survey,mood1,13tegHUn27W5eqKoo56ZxVRwt4E2,lmdlab-html-vas-response,69,338823,0.0-35.0,<p style='font-size: 2.2rem; line-height: 1.3'><br>Regarding the <b>happiness ratings</b>:<br>Were you at all bothered or frustrated by<br>the ratings?</p><br>,"['Not at all frustrated by mood ratings', 'Somewhat frustrated', 'Very frustrated by mood ratings']",5c7c0337a1b1360011c481fb,09:06:20,27/02/2024
3680.0,0.9027777777777778,,delaylearn,survey,engagement1,13tegHUn27W5eqKoo56ZxVRwt4E2,lmdlab-html-vas-response,70,344039,0.0-36.0,"<p style=""font-size: 1.8rem; line-height: 1.3;"">How engaged and focused were you during this task?</p>","['Not at all engaged', 'Very engaged']",5c7c0337a1b1360011c481fb,09:06:20,27/02/2024
5468.0,"{""Q0"":""Yes""}",[0],delaylearn,survey,engagement2,13tegHUn27W5eqKoo56ZxVRwt4E2,lmdlab-evan-quiz,71,350270,0.0-37.0,,,5c7c0337a1b1360011c481fb,09:06:20,27/02/2024
8977.299999999814,{'Q0': 'None'},,delaylearn,survey,engagement3,13tegHUn27W5eqKoo56ZxVRwt4E2,lmdlab-survey-text,72,360019,0.0-38.0,,,5c7c0337a1b1360011c481fb,09:06:20,27/02/2024
14169.299999999814,{'Q0': 'Instructions were clear and easy to follow'},,delaylearn,survey,comment1,13tegHUn27W5eqKoo56ZxVRwt4E2,lmdlab-survey-text,73,374947,0.0-39.0,,,5c7c0337a1b1360011c481fb,09:06:20,27/02/2024
