rt,response,choice_idxs,exp_name,exp_stage,q_name,subjectID,trial_type,trial_index,time_elapsed,internal_node_id,stimulus,labels,prolificID,start_time,date
11354.0,"{""Q0"":""Definitely noticed a pattern in the feedback delays""}",[3],delaylearn,survey,delay1,JaiusMIRzJWjj6UpHNFAm3MU87l2,lmdlab-evan-quiz,45,319415,0.0-22.0,,,60fd2a117181bc22b970997d,09:06:26,27/02/2024
7822.0,0.4451559318401029,,delaylearn,survey,state_stress,JaiusMIRzJWjj6UpHNFAm3MU87l2,lmdlab-html-vas-response,62,397807,0.0-28.0,"<p style='font-size: 2.2rem; line-height: 1.3'>How would you rate your current stress level?<br><br>Use the scale below, with 1 being the least<br>stressed and 10 being the most stressed:</p><br><br>","['1<br>Low<br>stress', '2', '3', '4', '5', '6', '7', '8', '9', '10<br>High<br>stress']",60fd2a117181bc22b970997d,09:06:26,27/02/2024
5268.0,"{""Q0"":""Good""}",[1],delaylearn,survey,sleep1,JaiusMIRzJWjj6UpHNFAm3MU87l2,lmdlab-evan-quiz,63,403841,0.0-29.0,,,60fd2a117181bc22b970997d,09:06:26,27/02/2024
6252.0,"{""Q0"":""More sleep""}",[1],delaylearn,survey,sleep2,JaiusMIRzJWjj6UpHNFAm3MU87l2,lmdlab-evan-quiz,64,410853,0.0-30.0,,,60fd2a117181bc22b970997d,09:06:26,27/02/2024
6669.0,"{""Q0"":""Good""}",[1],delaylearn,survey,sleep3,JaiusMIRzJWjj6UpHNFAm3MU87l2,lmdlab-evan-quiz,65,418282,0.0-31.0,,,60fd2a117181bc22b970997d,09:06:26,27/02/2024
12611.0,"{""Q0"":""Shorter delay""}",[2],delaylearn,survey,delay2,JaiusMIRzJWjj6UpHNFAm3MU87l2,lmdlab-evan-quiz,67,438619,0.0-33.0,,,60fd2a117181bc22b970997d,09:06:26,27/02/2024
8618.0,0.3889130015432099,,delaylearn,survey,delay3,JaiusMIRzJWjj6UpHNFAm3MU87l2,lmdlab-html-vas-response,68,448756,0.0-34.0,<p style='font-size: 2.2rem; line-height: 1.3'><br>Were you at all bothered or frustrated by<br>the longer delays to point feedback?</p><br>,"['Not at all frustrated by long feedback delays', 'Somewhat frustrated', 'Very frustrated by long feedback delays']",60fd2a117181bc22b970997d,09:06:26,27/02/2024
6787.0,0.0015673225308641976,,delaylearn,survey,mood1,JaiusMIRzJWjj6UpHNFAm3MU87l2,lmdlab-html-vas-response,69,457055,0.0-35.0,<p style='font-size: 2.2rem; line-height: 1.3'><br>Regarding the <b>happiness ratings</b>:<br>Were you at all bothered or frustrated by<br>the ratings?</p><br>,"['Not at all frustrated by mood ratings', 'Somewhat frustrated', 'Very frustrated by mood ratings']",60fd2a117181bc22b970997d,09:06:26,27/02/2024
5612.0,0.8611472800925926,,delaylearn,survey,engagement1,JaiusMIRzJWjj6UpHNFAm3MU87l2,lmdlab-html-vas-response,70,464187,0.0-36.0,"<p style=""font-size: 1.8rem; line-height: 1.3;"">How engaged and focused were you during this task?</p>","['Not at all engaged', 'Very engaged']",60fd2a117181bc22b970997d,09:06:26,27/02/2024
6414.0,"{""Q0"":""Yes""}",[0],delaylearn,survey,engagement2,JaiusMIRzJWjj6UpHNFAm3MU87l2,lmdlab-evan-quiz,71,471361,0.0-37.0,,,60fd2a117181bc22b970997d,09:06:26,27/02/2024
26931.299999999814,{'Q0': 'Didnt really experience ditractions'},,delaylearn,survey,engagement3,JaiusMIRzJWjj6UpHNFAm3MU87l2,lmdlab-survey-text,72,499052,0.0-38.0,,,60fd2a117181bc22b970997d,09:06:26,27/02/2024
73859.6000000001,"{'Q0': 'I liked that there was a good amount of time to make your decision, allowing you to think back to previous trials.'}",,delaylearn,survey,comment1,JaiusMIRzJWjj6UpHNFAm3MU87l2,lmdlab-survey-text,73,573678,0.0-39.0,,,60fd2a117181bc22b970997d,09:06:26,27/02/2024
