rt,response,choice_idxs,exp_name,exp_stage,q_name,subjectID,trial_type,trial_index,time_elapsed,internal_node_id,stimulus,labels,prolificID,start_time,date
16834.0,"{""Q0"":""Definitely noticed a pattern in the feedback delays""}",[3],delaylearn,survey,delay1,L5BiWRTWwlN5aqUcwJ2fULyUCly2,lmdlab-evan-quiz,45,305930,0.0-22.0,,,5aeabf2c15a9c300011acbc3,09:07:04,27/02/2024
9926.0,0.4426070601851852,,delaylearn,survey,state_stress,L5BiWRTWwlN5aqUcwJ2fULyUCly2,lmdlab-html-vas-response,62,447527,0.0-28.0,"<p style='font-size: 2.2rem; line-height: 1.3'>How would you rate your current stress level?<br><br>Use the scale below, with 1 being the least<br>stressed and 10 being the most stressed:</p><br><br>","['1<br>Low<br>stress', '2', '3', '4', '5', '6', '7', '8', '9', '10<br>High<br>stress']",5aeabf2c15a9c300011acbc3,09:07:04,27/02/2024
4765.0,"{""Q0"":""Average""}",[2],delaylearn,survey,sleep1,L5BiWRTWwlN5aqUcwJ2fULyUCly2,lmdlab-evan-quiz,63,453061,0.0-29.0,,,5aeabf2c15a9c300011acbc3,09:07:04,27/02/2024
3772.0,"{""Q0"":""Average""}",[2],delaylearn,survey,sleep2,L5BiWRTWwlN5aqUcwJ2fULyUCly2,lmdlab-evan-quiz,64,457596,0.0-30.0,,,5aeabf2c15a9c300011acbc3,09:07:04,27/02/2024
5040.0,"{""Q0"":""Average""}",[2],delaylearn,survey,sleep3,L5BiWRTWwlN5aqUcwJ2fULyUCly2,lmdlab-evan-quiz,65,463400,0.0-31.0,,,5aeabf2c15a9c300011acbc3,09:07:04,27/02/2024
12264.0,"{""Q0"":""Learned much better with with shorter delay""}",[0],delaylearn,survey,delay2,L5BiWRTWwlN5aqUcwJ2fULyUCly2,lmdlab-evan-quiz,67,480022,0.0-33.0,,,5aeabf2c15a9c300011acbc3,09:07:04,27/02/2024
11375.0,0.4250130208333333,,delaylearn,survey,delay3,L5BiWRTWwlN5aqUcwJ2fULyUCly2,lmdlab-html-vas-response,68,492924,0.0-34.0,<p style='font-size: 2.2rem; line-height: 1.3'><br>Were you at all bothered or frustrated by<br>the longer delays to point feedback?</p><br>,"['Not at all frustrated by long feedback delays', 'Somewhat frustrated', 'Very frustrated by long feedback delays']",5aeabf2c15a9c300011acbc3,09:07:04,27/02/2024
9830.0,0.005013020833333334,,delaylearn,survey,mood1,L5BiWRTWwlN5aqUcwJ2fULyUCly2,lmdlab-html-vas-response,69,504275,0.0-35.0,<p style='font-size: 2.2rem; line-height: 1.3'><br>Regarding the <b>happiness ratings</b>:<br>Were you at all bothered or frustrated by<br>the ratings?</p><br>,"['Not at all frustrated by mood ratings', 'Somewhat frustrated', 'Very frustrated by mood ratings']",5aeabf2c15a9c300011acbc3,09:07:04,27/02/2024
3087.0,0.9925,,delaylearn,survey,engagement1,L5BiWRTWwlN5aqUcwJ2fULyUCly2,lmdlab-html-vas-response,70,508875,0.0-36.0,"<p style=""font-size: 1.8rem; line-height: 1.3;"">How engaged and focused were you during this task?</p>","['Not at all engaged', 'Very engaged']",5aeabf2c15a9c300011acbc3,09:07:04,27/02/2024
3645.0,"{""Q0"":""Yes""}",[0],delaylearn,survey,engagement2,L5BiWRTWwlN5aqUcwJ2fULyUCly2,lmdlab-evan-quiz,71,513286,0.0-37.0,,,5aeabf2c15a9c300011acbc3,09:07:04,27/02/2024
6515.700000047684,{'Q0': 'no i did not.'},,delaylearn,survey,engagement3,L5BiWRTWwlN5aqUcwJ2fULyUCly2,lmdlab-survey-text,72,520568,0.0-38.0,,,5aeabf2c15a9c300011acbc3,09:07:04,27/02/2024
40150.30000001192,"{'Q0': 'it was fun to complete, i do not think anything could be improved it worked as intended even if certain choices felt hard to learn at points.'}",,delaylearn,survey,comment1,L5BiWRTWwlN5aqUcwJ2fULyUCly2,lmdlab-survey-text,73,561474,0.0-39.0,,,5aeabf2c15a9c300011acbc3,09:07:04,27/02/2024
