rt,response,choice_idxs,exp_name,exp_stage,q_name,subjectID,trial_type,trial_index,time_elapsed,internal_node_id,stimulus,labels,prolificID,start_time,date
28001.0,"{""Q0"":""Definitely noticed a pattern in the feedback delays""}",[3],delaylearn,survey,delay1,05fLMX3mo4NUYHG91PAMESsSlj92,lmdlab-evan-quiz,45,500226,0.0-22.0,,,656514f9443092badedb7003,09:07:17,27/02/2024
9608.0,0.674900780428395,,delaylearn,survey,state_stress,05fLMX3mo4NUYHG91PAMESsSlj92,lmdlab-html-vas-response,62,603872,0.0-28.0,"<p style='font-size: 2.2rem; line-height: 1.3'>How would you rate your current stress level?<br><br>Use the scale below, with 1 being the least<br>stressed and 10 being the most stressed:</p><br><br>","['1<br>Low<br>stress', '2', '3', '4', '5', '6', '7', '8', '9', '10<br>High<br>stress']",656514f9443092badedb7003,09:07:17,27/02/2024
7422.0,"{""Q0"":""Very good""}",[0],delaylearn,survey,sleep1,05fLMX3mo4NUYHG91PAMESsSlj92,lmdlab-evan-quiz,63,612056,0.0-29.0,,,656514f9443092badedb7003,09:07:17,27/02/2024
6204.0,"{""Q0"":""More sleep""}",[1],delaylearn,survey,sleep2,05fLMX3mo4NUYHG91PAMESsSlj92,lmdlab-evan-quiz,64,619018,0.0-30.0,,,656514f9443092badedb7003,09:07:17,27/02/2024
7374.0,"{""Q0"":""Good""}",[1],delaylearn,survey,sleep3,05fLMX3mo4NUYHG91PAMESsSlj92,lmdlab-evan-quiz,65,627148,0.0-31.0,,,656514f9443092badedb7003,09:07:17,27/02/2024
20285.0,"{""Q0"":""Learned much better with with longer delay""}",[0],delaylearn,survey,delay2,05fLMX3mo4NUYHG91PAMESsSlj92,lmdlab-evan-quiz,67,655567,0.0-33.0,,,656514f9443092badedb7003,09:07:17,27/02/2024
8412.0,0.4976851851851852,,delaylearn,survey,delay3,05fLMX3mo4NUYHG91PAMESsSlj92,lmdlab-html-vas-response,68,665491,0.0-34.0,<p style='font-size: 2.2rem; line-height: 1.3'><br>Were you at all bothered or frustrated by<br>the longer delays to point feedback?</p><br>,"['Not at all frustrated by long feedback delays', 'Somewhat frustrated', 'Very frustrated by long feedback delays']",656514f9443092badedb7003,09:07:17,27/02/2024
12754.0,0.6574074074074074,,delaylearn,survey,mood1,05fLMX3mo4NUYHG91PAMESsSlj92,lmdlab-html-vas-response,69,679775,0.0-35.0,<p style='font-size: 2.2rem; line-height: 1.3'><br>Regarding the <b>happiness ratings</b>:<br>Were you at all bothered or frustrated by<br>the ratings?</p><br>,"['Not at all frustrated by mood ratings', 'Somewhat frustrated', 'Very frustrated by mood ratings']",656514f9443092badedb7003,09:07:17,27/02/2024
6928.0,0.9826750225490994,,delaylearn,survey,engagement1,05fLMX3mo4NUYHG91PAMESsSlj92,lmdlab-html-vas-response,70,688211,0.0-36.0,"<p style=""font-size: 1.8rem; line-height: 1.3;"">How engaged and focused were you during this task?</p>","['Not at all engaged', 'Very engaged']",656514f9443092badedb7003,09:07:17,27/02/2024
8223.0,"{""Q0"":""Yes""}",[0],delaylearn,survey,engagement2,05fLMX3mo4NUYHG91PAMESsSlj92,lmdlab-evan-quiz,71,697193,0.0-37.0,,,656514f9443092badedb7003,09:07:17,27/02/2024
73902.80000001192,{'Q0': 'When I felt my eyes were being strained and looked away for a moment.'},,delaylearn,survey,engagement3,05fLMX3mo4NUYHG91PAMESsSlj92,lmdlab-survey-text,72,771858,0.0-38.0,,,656514f9443092badedb7003,09:07:17,27/02/2024
80136.90000003576,{'Q0': 'At some point I felt the lucky pictures were given feedback of 0 points making the trials a bit confusing and frustrating.'},,delaylearn,survey,comment1,05fLMX3mo4NUYHG91PAMESsSlj92,lmdlab-survey-text,73,852760,0.0-39.0,,,656514f9443092badedb7003,09:07:17,27/02/2024
