rt,response,choice_idxs,exp_name,exp_stage,q_name,subjectID,trial_type,trial_index,time_elapsed,internal_node_id,stimulus,labels,prolificID,start_time,date
8242.0,"{""Q0"":""Sometimes noticed a pattern""}",[2],delaylearn,survey,delay1,kFUJWrep1TZjcr9WTJE4iLonYul2,lmdlab-evan-quiz,45,166635,0.0-22.0,,,5cb59c9e4c39f300173efd41,09:09:00,27/02/2024
2840.0,0.6208872798790197,,delaylearn,survey,state_stress,kFUJWrep1TZjcr9WTJE4iLonYul2,lmdlab-html-vas-response,62,225838,0.0-28.0,"<p style='font-size: 2.2rem; line-height: 1.3'>How would you rate your current stress level?<br><br>Use the scale below, with 1 being the least<br>stressed and 10 being the most stressed:</p><br><br>","['1<br>Low<br>stress', '2', '3', '4', '5', '6', '7', '8', '9', '10<br>High<br>stress']",5cb59c9e4c39f300173efd41,09:09:00,27/02/2024
3387.0,"{""Q0"":""Average""}",[2],delaylearn,survey,sleep1,kFUJWrep1TZjcr9WTJE4iLonYul2,lmdlab-evan-quiz,63,229989,0.0-29.0,,,5cb59c9e4c39f300173efd41,09:09:00,27/02/2024
2356.0,"{""Q0"":""Average""}",[2],delaylearn,survey,sleep2,kFUJWrep1TZjcr9WTJE4iLonYul2,lmdlab-evan-quiz,64,233107,0.0-30.0,,,5cb59c9e4c39f300173efd41,09:09:00,27/02/2024
2213.0,"{""Q0"":""Average""}",[2],delaylearn,survey,sleep3,kFUJWrep1TZjcr9WTJE4iLonYul2,lmdlab-evan-quiz,65,236093,0.0-31.0,,,5cb59c9e4c39f300173efd41,09:09:00,27/02/2024
3725.0,"{""Q0"":""Shorter delay""}",[2],delaylearn,survey,delay2,kFUJWrep1TZjcr9WTJE4iLonYul2,lmdlab-evan-quiz,67,244139,0.0-33.0,,,5cb59c9e4c39f300173efd41,09:09:00,27/02/2024
3161.0,0.8125,,delaylearn,survey,delay3,kFUJWrep1TZjcr9WTJE4iLonYul2,lmdlab-html-vas-response,68,248841,0.0-34.0,<p style='font-size: 2.2rem; line-height: 1.3'><br>Were you at all bothered or frustrated by<br>the longer delays to point feedback?</p><br>,"['Not at all frustrated by long feedback delays', 'Somewhat frustrated', 'Very frustrated by long feedback delays']",5cb59c9e4c39f300173efd41,09:09:00,27/02/2024
5143.0,0.30324074074074076,,delaylearn,survey,mood1,kFUJWrep1TZjcr9WTJE4iLonYul2,lmdlab-html-vas-response,69,255521,0.0-35.0,<p style='font-size: 2.2rem; line-height: 1.3'><br>Regarding the <b>happiness ratings</b>:<br>Were you at all bothered or frustrated by<br>the ratings?</p><br>,"['Not at all frustrated by mood ratings', 'Somewhat frustrated', 'Very frustrated by mood ratings']",5cb59c9e4c39f300173efd41,09:09:00,27/02/2024
3560.0,0.9618416892157661,,delaylearn,survey,engagement1,kFUJWrep1TZjcr9WTJE4iLonYul2,lmdlab-html-vas-response,70,260600,0.0-36.0,"<p style=""font-size: 1.8rem; line-height: 1.3;"">How engaged and focused were you during this task?</p>","['Not at all engaged', 'Very engaged']",5cb59c9e4c39f300173efd41,09:09:00,27/02/2024
4775.0,"{""Q0"":""Yes""}",[0],delaylearn,survey,engagement2,kFUJWrep1TZjcr9WTJE4iLonYul2,lmdlab-evan-quiz,71,266131,0.0-37.0,,,5cb59c9e4c39f300173efd41,09:09:00,27/02/2024
4003.600000023842,{'Q0': 'none'},,delaylearn,survey,engagement3,kFUJWrep1TZjcr9WTJE4iLonYul2,lmdlab-survey-text,72,270899,0.0-38.0,,,5cb59c9e4c39f300173efd41,09:09:00,27/02/2024
10151.699999988079,{'Q0': 'enjoyable'},,delaylearn,survey,comment1,kFUJWrep1TZjcr9WTJE4iLonYul2,lmdlab-survey-text,73,281814,0.0-39.0,,,5cb59c9e4c39f300173efd41,09:09:00,27/02/2024
