rt,response,choice_idxs,exp_name,exp_stage,q_name,subjectID,trial_type,trial_index,time_elapsed,internal_node_id,stimulus,labels,prolificID,start_time,date
13884.0,"{""Q0"":""Sometimes noticed a pattern""}",[2],delaylearn,survey,delay1,Y0KbGNxWvyYVvdc8ai6wFQykIEk1,lmdlab-evan-quiz,45,192724,0.0-22.0,,,5f0ebcdf13efbf091b37c4b4,09:09:36,27/02/2024
3436.0,0.3251189557613169,,delaylearn,survey,state_stress,Y0KbGNxWvyYVvdc8ai6wFQykIEk1,lmdlab-html-vas-response,62,258053,0.0-28.0,"<p style='font-size: 2.2rem; line-height: 1.3'>How would you rate your current stress level?<br><br>Use the scale below, with 1 being the least<br>stressed and 10 being the most stressed:</p><br><br>","['1<br>Low<br>stress', '2', '3', '4', '5', '6', '7', '8', '9', '10<br>High<br>stress']",5f0ebcdf13efbf091b37c4b4,09:09:36,27/02/2024
3460.0,"{""Q0"":""Good""}",[1],delaylearn,survey,sleep1,Y0KbGNxWvyYVvdc8ai6wFQykIEk1,lmdlab-evan-quiz,63,262269,0.0-29.0,,,5f0ebcdf13efbf091b37c4b4,09:09:36,27/02/2024
2703.0,"{""Q0"":""More sleep""}",[1],delaylearn,survey,sleep2,Y0KbGNxWvyYVvdc8ai6wFQykIEk1,lmdlab-evan-quiz,64,265728,0.0-30.0,,,5f0ebcdf13efbf091b37c4b4,09:09:36,27/02/2024
2271.0,"{""Q0"":""Good""}",[1],delaylearn,survey,sleep3,Y0KbGNxWvyYVvdc8ai6wFQykIEk1,lmdlab-evan-quiz,65,268759,0.0-31.0,,,5f0ebcdf13efbf091b37c4b4,09:09:36,27/02/2024
5395.0,"{""Q0"":""Learned much better with shorter delay""}",[3],delaylearn,survey,delay2,Y0KbGNxWvyYVvdc8ai6wFQykIEk1,lmdlab-evan-quiz,67,278223,0.0-33.0,,,5f0ebcdf13efbf091b37c4b4,09:09:36,27/02/2024
5604.0,0.09816261574074074,,delaylearn,survey,delay3,Y0KbGNxWvyYVvdc8ai6wFQykIEk1,lmdlab-html-vas-response,68,285340,0.0-34.0,<p style='font-size: 2.2rem; line-height: 1.3'><br>Were you at all bothered or frustrated by<br>the longer delays to point feedback?</p><br>,"['Not at all frustrated by long feedback delays', 'Somewhat frustrated', 'Very frustrated by long feedback delays']",5f0ebcdf13efbf091b37c4b4,09:09:36,27/02/2024
6545.0,0.0018663194444444445,,delaylearn,survey,mood1,Y0KbGNxWvyYVvdc8ai6wFQykIEk1,lmdlab-html-vas-response,69,293402,0.0-35.0,<p style='font-size: 2.2rem; line-height: 1.3'><br>Regarding the <b>happiness ratings</b>:<br>Were you at all bothered or frustrated by<br>the ratings?</p><br>,"['Not at all frustrated by mood ratings', 'Somewhat frustrated', 'Very frustrated by mood ratings']",5f0ebcdf13efbf091b37c4b4,09:09:36,27/02/2024
4491.0,0.9916666666666667,,delaylearn,survey,engagement1,Y0KbGNxWvyYVvdc8ai6wFQykIEk1,lmdlab-html-vas-response,70,299408,0.0-36.0,"<p style=""font-size: 1.8rem; line-height: 1.3;"">How engaged and focused were you during this task?</p>","['Not at all engaged', 'Very engaged']",5f0ebcdf13efbf091b37c4b4,09:09:36,27/02/2024
3247.0,"{""Q0"":""Yes""}",[0],delaylearn,survey,engagement2,Y0KbGNxWvyYVvdc8ai6wFQykIEk1,lmdlab-evan-quiz,71,303414,0.0-37.0,,,5f0ebcdf13efbf091b37c4b4,09:09:36,27/02/2024
29781.299999952316,"{'Q0': ""No it was very interesting plus the images were really cool to look out, so I was fully engaged and enjoying it! can't wait for tomorrow's experiment now too.""}",,delaylearn,survey,engagement3,Y0KbGNxWvyYVvdc8ai6wFQykIEk1,lmdlab-survey-text,72,333946,0.0-38.0,,,5f0ebcdf13efbf091b37c4b4,09:09:36,27/02/2024
50998.39999997616,"{'Q0': 'Absolutely love it. I like how the images are intriguing and you almost see something new in them each time, I like how it teaches patience also and keeps a check on your confidence/happiness. Excited for the next one :) good job! all good very clear and simple.'}",,delaylearn,survey,comment1,Y0KbGNxWvyYVvdc8ai6wFQykIEk1,lmdlab-survey-text,73,385694,0.0-39.0,,,5f0ebcdf13efbf091b37c4b4,09:09:36,27/02/2024
