rt,response,choice_idxs,exp_name,exp_stage,q_name,subjectID,trial_type,trial_index,time_elapsed,internal_node_id,stimulus,labels,prolificID,start_time,date
22269.0,"{""Q0"":""Did not notice a pattern""}",[1],delaylearn,survey,delay1,67MAcrKZBwTYp4DQZmaXqO1QqPA3,lmdlab-evan-quiz,45,410823,0.0-22.0,,,59e7232f24d7bf00012f112e,09:10:10,27/02/2024
16045.0,0.6577805165577109,,delaylearn,survey,state_stress,67MAcrKZBwTYp4DQZmaXqO1QqPA3,lmdlab-html-vas-response,62,477277,0.0-28.0,"<p style='font-size: 2.2rem; line-height: 1.3'>How would you rate your current stress level?<br><br>Use the scale below, with 1 being the least<br>stressed and 10 being the most stressed:</p><br><br>","['1<br>Low<br>stress', '2', '3', '4', '5', '6', '7', '8', '9', '10<br>High<br>stress']",59e7232f24d7bf00012f112e,09:10:10,27/02/2024
4278.0,"{""Q0"":""Poor""}",[3],delaylearn,survey,sleep1,67MAcrKZBwTYp4DQZmaXqO1QqPA3,lmdlab-evan-quiz,63,482317,0.0-29.0,,,59e7232f24d7bf00012f112e,09:10:10,27/02/2024
5974.0,"{""Q0"":""Less""}",[3],delaylearn,survey,sleep2,67MAcrKZBwTYp4DQZmaXqO1QqPA3,lmdlab-evan-quiz,64,489059,0.0-30.0,,,59e7232f24d7bf00012f112e,09:10:10,27/02/2024
3281.0,"{""Q0"":""Poor""}",[3],delaylearn,survey,sleep3,67MAcrKZBwTYp4DQZmaXqO1QqPA3,lmdlab-evan-quiz,65,493100,0.0-31.0,,,59e7232f24d7bf00012f112e,09:10:10,27/02/2024
7503.0,"{""Q0"":""Learned much better with longer delay""}",[3],delaylearn,survey,delay2,67MAcrKZBwTYp4DQZmaXqO1QqPA3,lmdlab-evan-quiz,67,504434,0.0-33.0,,,59e7232f24d7bf00012f112e,09:10:10,27/02/2024
7904.0,0.022222222222222223,,delaylearn,survey,delay3,67MAcrKZBwTYp4DQZmaXqO1QqPA3,lmdlab-html-vas-response,68,513851,0.0-34.0,<p style='font-size: 2.2rem; line-height: 1.3'><br>Were you at all bothered or frustrated by<br>the longer delays to point feedback?</p><br>,"['Not at all frustrated by long feedback delays', 'Somewhat frustrated', 'Very frustrated by long feedback delays']",59e7232f24d7bf00012f112e,09:10:10,27/02/2024
7803.0,0.26296296296296295,,delaylearn,survey,mood1,67MAcrKZBwTYp4DQZmaXqO1QqPA3,lmdlab-html-vas-response,69,523179,0.0-35.0,<p style='font-size: 2.2rem; line-height: 1.3'><br>Regarding the <b>happiness ratings</b>:<br>Were you at all bothered or frustrated by<br>the ratings?</p><br>,"['Not at all frustrated by mood ratings', 'Somewhat frustrated', 'Very frustrated by mood ratings']",59e7232f24d7bf00012f112e,09:10:10,27/02/2024
3579.0,0.9778139467592593,,delaylearn,survey,engagement1,67MAcrKZBwTYp4DQZmaXqO1QqPA3,lmdlab-html-vas-response,70,528272,0.0-36.0,"<p style=""font-size: 1.8rem; line-height: 1.3;"">How engaged and focused were you during this task?</p>","['Not at all engaged', 'Very engaged']",59e7232f24d7bf00012f112e,09:10:10,27/02/2024
7241.0,"{""Q0"":""Yes""}",[0],delaylearn,survey,engagement2,67MAcrKZBwTYp4DQZmaXqO1QqPA3,lmdlab-evan-quiz,71,536281,0.0-37.0,,,59e7232f24d7bf00012f112e,09:10:10,27/02/2024
13841.90000000596,{'Q0': 'No I did not'},,delaylearn,survey,engagement3,67MAcrKZBwTYp4DQZmaXqO1QqPA3,lmdlab-survey-text,72,550881,0.0-38.0,,,59e7232f24d7bf00012f112e,09:10:10,27/02/2024
17071.89999999106,"{'Q0': 'Enjoyed the visual art, helped to keep it engaging'}",,delaylearn,survey,comment1,67MAcrKZBwTYp4DQZmaXqO1QqPA3,lmdlab-survey-text,73,568715,0.0-39.0,,,59e7232f24d7bf00012f112e,09:10:10,27/02/2024
