rt,response,choice_idxs,exp_name,exp_stage,q_name,subjectID,trial_type,trial_index,time_elapsed,internal_node_id,stimulus,labels,prolificID,start_time,date
8220.0,"{""Q0"":""Did not notice a pattern""}",[1],delaylearn,survey,delay1,zWzQXqSXaMg2Fo4B32nGyjbjNNr2,lmdlab-evan-quiz,45,406574,0.0-22.0,,,63d166c1300217760a719112,09:11:51,27/02/2024
6001.0,0.5579082209328611,,delaylearn,survey,state_stress,zWzQXqSXaMg2Fo4B32nGyjbjNNr2,lmdlab-html-vas-response,62,468028,0.0-28.0,"<p style='font-size: 2.2rem; line-height: 1.3'>How would you rate your current stress level?<br><br>Use the scale below, with 1 being the least<br>stressed and 10 being the most stressed:</p><br><br>","['1<br>Low<br>stress', '2', '3', '4', '5', '6', '7', '8', '9', '10<br>High<br>stress']",63d166c1300217760a719112,09:11:51,27/02/2024
3405.0,"{""Q0"":""Poor""}",[3],delaylearn,survey,sleep1,zWzQXqSXaMg2Fo4B32nGyjbjNNr2,lmdlab-evan-quiz,63,472202,0.0-29.0,,,63d166c1300217760a719112,09:11:51,27/02/2024
4862.0,"{""Q0"":""Less""}",[3],delaylearn,survey,sleep2,zWzQXqSXaMg2Fo4B32nGyjbjNNr2,lmdlab-evan-quiz,64,477834,0.0-30.0,,,63d166c1300217760a719112,09:11:51,27/02/2024
6417.0,"{""Q0"":""Average""}",[2],delaylearn,survey,sleep3,zWzQXqSXaMg2Fo4B32nGyjbjNNr2,lmdlab-evan-quiz,65,485023,0.0-31.0,,,63d166c1300217760a719112,09:11:51,27/02/2024
8974.0,"{""Q0"":""Learned much better with with shorter delay""}",[0],delaylearn,survey,delay2,zWzQXqSXaMg2Fo4B32nGyjbjNNr2,lmdlab-evan-quiz,67,499425,0.0-33.0,,,63d166c1300217760a719112,09:11:51,27/02/2024
5044.0,0.756095079854871,,delaylearn,survey,delay3,zWzQXqSXaMg2Fo4B32nGyjbjNNr2,lmdlab-html-vas-response,68,506005,0.0-34.0,<p style='font-size: 2.2rem; line-height: 1.3'><br>Were you at all bothered or frustrated by<br>the longer delays to point feedback?</p><br>,"['Not at all frustrated by long feedback delays', 'Somewhat frustrated', 'Very frustrated by long feedback delays']",63d166c1300217760a719112,09:11:51,27/02/2024
6989.0,0.20704621749008173,,delaylearn,survey,mood1,zWzQXqSXaMg2Fo4B32nGyjbjNNr2,lmdlab-html-vas-response,69,514537,0.0-35.0,<p style='font-size: 2.2rem; line-height: 1.3'><br>Regarding the <b>happiness ratings</b>:<br>Were you at all bothered or frustrated by<br>the ratings?</p><br>,"['Not at all frustrated by mood ratings', 'Somewhat frustrated', 'Very frustrated by mood ratings']",63d166c1300217760a719112,09:11:51,27/02/2024
4163.0,0.8288402848423194,,delaylearn,survey,engagement1,zWzQXqSXaMg2Fo4B32nGyjbjNNr2,lmdlab-html-vas-response,70,520232,0.0-36.0,"<p style=""font-size: 1.8rem; line-height: 1.3;"">How engaged and focused were you during this task?</p>","['Not at all engaged', 'Very engaged']",63d166c1300217760a719112,09:11:51,27/02/2024
4089.0,"{""Q0"":""Yes""}",[0],delaylearn,survey,engagement2,zWzQXqSXaMg2Fo4B32nGyjbjNNr2,lmdlab-evan-quiz,71,525093,0.0-37.0,,,63d166c1300217760a719112,09:11:51,27/02/2024
14272.100000023842,"{'Q0': 'none,'}",,delaylearn,survey,engagement3,zWzQXqSXaMg2Fo4B32nGyjbjNNr2,lmdlab-survey-text,72,540126,0.0-38.0,,,63d166c1300217760a719112,09:11:51,27/02/2024
31275.0,"{'Q0': ""enjoyed the experience, thank you, if there was music it could've made it a bit more exciting.""}",,delaylearn,survey,comment1,zWzQXqSXaMg2Fo4B32nGyjbjNNr2,lmdlab-survey-text,73,572173,0.0-39.0,,,63d166c1300217760a719112,09:11:51,27/02/2024
