rt,response,choice_idxs,exp_name,exp_stage,q_name,subjectID,trial_type,trial_index,time_elapsed,internal_node_id,stimulus,labels,prolificID,start_time,date
13698.0,"{""Q0"":""Sometimes noticed a pattern""}",[2],delaylearn,survey,delay1,vvaiYPExELWOqDXCOIzJdf7Xv7F2,lmdlab-evan-quiz,45,275867,0.0-22.0,,,65c64d6115f43749efb97d68,10:09:05,27/02/2024
17164.0,0.11676127475151739,,delaylearn,survey,state_stress,vvaiYPExELWOqDXCOIzJdf7Xv7F2,lmdlab-html-vas-response,62,392845,0.0-28.0,"<p style='font-size: 2.2rem; line-height: 1.3'>How would you rate your current stress level?<br><br>Use the scale below, with 1 being the least<br>stressed and 10 being the most stressed:</p><br><br>","['1<br>Low<br>stress', '2', '3', '4', '5', '6', '7', '8', '9', '10<br>High<br>stress']",65c64d6115f43749efb97d68,10:09:05,27/02/2024
7044.0,"{""Q0"":""Very good""}",[0],delaylearn,survey,sleep1,vvaiYPExELWOqDXCOIzJdf7Xv7F2,lmdlab-evan-quiz,63,400649,0.0-29.0,,,65c64d6115f43749efb97d68,10:09:05,27/02/2024
7241.0,"{""Q0"":""More sleep""}",[1],delaylearn,survey,sleep2,vvaiYPExELWOqDXCOIzJdf7Xv7F2,lmdlab-evan-quiz,64,408650,0.0-30.0,,,65c64d6115f43749efb97d68,10:09:05,27/02/2024
7096.0,"{""Q0"":""Very good""}",[0],delaylearn,survey,sleep3,vvaiYPExELWOqDXCOIzJdf7Xv7F2,lmdlab-evan-quiz,65,416516,0.0-31.0,,,65c64d6115f43749efb97d68,10:09:05,27/02/2024
12819.0,"{""Q0"":""Shorter delay""}",[2],delaylearn,survey,delay2,vvaiYPExELWOqDXCOIzJdf7Xv7F2,lmdlab-evan-quiz,67,436288,0.0-33.0,,,65c64d6115f43749efb97d68,10:09:05,27/02/2024
7546.0,0.5,,delaylearn,survey,delay3,vvaiYPExELWOqDXCOIzJdf7Xv7F2,lmdlab-html-vas-response,68,445369,0.0-34.0,<p style='font-size: 2.2rem; line-height: 1.3'><br>Were you at all bothered or frustrated by<br>the longer delays to point feedback?</p><br>,"['Not at all frustrated by long feedback delays', 'Somewhat frustrated', 'Very frustrated by long feedback delays']",65c64d6115f43749efb97d68,10:09:05,27/02/2024
11712.0,0.8703703703703703,,delaylearn,survey,mood1,vvaiYPExELWOqDXCOIzJdf7Xv7F2,lmdlab-html-vas-response,69,458621,0.0-35.0,<p style='font-size: 2.2rem; line-height: 1.3'><br>Regarding the <b>happiness ratings</b>:<br>Were you at all bothered or frustrated by<br>the ratings?</p><br>,"['Not at all frustrated by mood ratings', 'Somewhat frustrated', 'Very frustrated by mood ratings']",65c64d6115f43749efb97d68,10:09:05,27/02/2024
4340.0,0.9896194669935439,,delaylearn,survey,engagement1,vvaiYPExELWOqDXCOIzJdf7Xv7F2,lmdlab-html-vas-response,70,464497,0.0-36.0,"<p style=""font-size: 1.8rem; line-height: 1.3;"">How engaged and focused were you during this task?</p>","['Not at all engaged', 'Very engaged']",65c64d6115f43749efb97d68,10:09:05,27/02/2024
6674.0,"{""Q0"":""Yes""}",[0],delaylearn,survey,engagement2,vvaiYPExELWOqDXCOIzJdf7Xv7F2,lmdlab-evan-quiz,71,471932,0.0-37.0,,,65c64d6115f43749efb97d68,10:09:05,27/02/2024
8061.199999928474,{'Q0': 'none'},,delaylearn,survey,engagement3,vvaiYPExELWOqDXCOIzJdf7Xv7F2,lmdlab-survey-text,72,480761,0.0-38.0,,,65c64d6115f43749efb97d68,10:09:05,27/02/2024
7149.899999976158,{'Q0': 'none'},,delaylearn,survey,comment1,vvaiYPExELWOqDXCOIzJdf7Xv7F2,lmdlab-survey-text,73,488673,0.0-39.0,,,65c64d6115f43749efb97d68,10:09:05,27/02/2024
