rt,response,choice_idxs,exp_name,exp_stage,q_name,subjectID,trial_type,trial_index,time_elapsed,internal_node_id,stimulus,labels,prolificID,start_time,date
7059.0,"{""Q0"":""Definitely noticed a pattern in the feedback delays""}",[3],delaylearn,survey,delay1,kOQt9bBZ04NJ8LMjzNzE8gOCad02,lmdlab-evan-quiz,69,223561,0.0-22.0,,,5f467b8d74eeef0365ffb26e,15:49:35,26/03/2024
3945.0,0.5596868569958847,,delaylearn,survey,state_stress,kOQt9bBZ04NJ8LMjzNzE8gOCad02,lmdlab-html-vas-response,86,280317,0.0-28.0,"<p style='font-size: 2.2rem; line-height: 1.3'>How would you rate your current stress level?<br><br>Use the scale below, with 1 being the least<br>stressed and 10 being the most stressed:</p><br><br>","['1<br>Low<br>stress', '2', '3', '4', '5', '6', '7', '8', '9', '10<br>High<br>stress']",5f467b8d74eeef0365ffb26e,15:49:35,26/03/2024
4213.0,"{""Q0"":""Good""}",[1],delaylearn,survey,sleep1,kOQt9bBZ04NJ8LMjzNzE8gOCad02,lmdlab-evan-quiz,87,285286,0.0-29.0,,,5f467b8d74eeef0365ffb26e,15:49:35,26/03/2024
3401.0,"{""Q0"":""Average""}",[2],delaylearn,survey,sleep2,kOQt9bBZ04NJ8LMjzNzE8gOCad02,lmdlab-evan-quiz,88,289442,0.0-30.0,,,5f467b8d74eeef0365ffb26e,15:49:35,26/03/2024
2479.0,"{""Q0"":""Average""}",[2],delaylearn,survey,sleep3,kOQt9bBZ04NJ8LMjzNzE8gOCad02,lmdlab-evan-quiz,89,292677,0.0-31.0,,,5f467b8d74eeef0365ffb26e,15:49:35,26/03/2024
11034.0,"{""Q0"":""Shorter delay""}",[2],delaylearn,survey,delay2,kOQt9bBZ04NJ8LMjzNzE8gOCad02,lmdlab-evan-quiz,91,308301,0.0-33.0,,,5f467b8d74eeef0365ffb26e,15:49:35,26/03/2024
5052.0,0.7518663194444445,,delaylearn,survey,delay3,kOQt9bBZ04NJ8LMjzNzE8gOCad02,lmdlab-html-vas-response,92,314862,0.0-34.0,<p style='font-size: 2.2rem; line-height: 1.3'><br>Were you at all bothered or frustrated by<br>the longer delays to point feedback?</p><br>,"['Not at all frustrated by long feedback delays', 'Somewhat frustrated', 'Very frustrated by long feedback delays']",5f467b8d74eeef0365ffb26e,15:49:35,26/03/2024
5152.0,0.24816261574074075,,delaylearn,survey,mood1,kOQt9bBZ04NJ8LMjzNzE8gOCad02,lmdlab-html-vas-response,93,321523,0.0-35.0,<p style='font-size: 2.2rem; line-height: 1.3'><br>Regarding the <b>happiness ratings</b>:<br>Were you at all bothered or frustrated by<br>the ratings?</p><br>,"['Not at all frustrated by mood ratings', 'Somewhat frustrated', 'Very frustrated by mood ratings']",5f467b8d74eeef0365ffb26e,15:49:35,26/03/2024
4385.0,0.7027777777777777,,delaylearn,survey,engagement1,kOQt9bBZ04NJ8LMjzNzE8gOCad02,lmdlab-html-vas-response,94,327418,0.0-36.0,"<p style=""font-size: 1.8rem; line-height: 1.3;"">How engaged and focused were you during this task?</p>","['Not at all engaged', 'Very engaged']",5f467b8d74eeef0365ffb26e,15:49:35,26/03/2024
3992.0,"{""Q0"":""Yes""}",[0],delaylearn,survey,engagement2,kOQt9bBZ04NJ8LMjzNzE8gOCad02,lmdlab-evan-quiz,95,332164,0.0-37.0,,,5f467b8d74eeef0365ffb26e,15:49:35,26/03/2024
12923.5,{'Q0': 'Nope'},,delaylearn,survey,engagement3,kOQt9bBZ04NJ8LMjzNzE8gOCad02,lmdlab-survey-text,96,345841,0.0-38.0,,,5f467b8d74eeef0365ffb26e,15:49:35,26/03/2024
28309.200000047684,{'Q0': 'Feedback delays were annoying due to not understanding they were apart of the study '},,delaylearn,survey,comment1,kOQt9bBZ04NJ8LMjzNzE8gOCad02,lmdlab-survey-text,97,374904,0.0-39.0,,,5f467b8d74eeef0365ffb26e,15:49:35,26/03/2024
