rt,response,choice_idxs,exp_name,exp_stage,q_name,subjectID,trial_type,trial_index,time_elapsed,internal_node_id,stimulus,labels,prolificID,start_time,date
9884.0,"{""Q0"":""Did not notice a pattern""}",[1],delaylearn,survey,delay1,SuV98d5162cH7XkpLKAowCIyrM22,lmdlab-evan-quiz,69,246039,0.0-22.0,,,5c3205407e0559000172f153,15:52:04,26/03/2024
4710.0,0.5651420390324768,,delaylearn,survey,state_stress,SuV98d5162cH7XkpLKAowCIyrM22,lmdlab-html-vas-response,86,391549,0.0-28.0,"<p style='font-size: 2.2rem; line-height: 1.3'>How would you rate your current stress level?<br><br>Use the scale below, with 1 being the least<br>stressed and 10 being the most stressed:</p><br><br>","['1<br>Low<br>stress', '2', '3', '4', '5', '6', '7', '8', '9', '10<br>High<br>stress']",5c3205407e0559000172f153,15:52:04,26/03/2024
4397.0,"{""Q0"":""Good""}",[1],delaylearn,survey,sleep1,SuV98d5162cH7XkpLKAowCIyrM22,lmdlab-evan-quiz,87,396717,0.0-29.0,,,5c3205407e0559000172f153,15:52:04,26/03/2024
7918.0,"{""Q0"":""More sleep""}",[1],delaylearn,survey,sleep2,SuV98d5162cH7XkpLKAowCIyrM22,lmdlab-evan-quiz,88,405401,0.0-30.0,,,5c3205407e0559000172f153,15:52:04,26/03/2024
3753.0,"{""Q0"":""Average""}",[2],delaylearn,survey,sleep3,SuV98d5162cH7XkpLKAowCIyrM22,lmdlab-evan-quiz,89,409913,0.0-31.0,,,5c3205407e0559000172f153,15:52:04,26/03/2024
9063.0,"{""Q0"":""Shorter delay""}",[2],delaylearn,survey,delay2,SuV98d5162cH7XkpLKAowCIyrM22,lmdlab-evan-quiz,91,423246,0.0-33.0,,,5c3205407e0559000172f153,15:52:04,26/03/2024
5984.0,0.5043572615374182,,delaylearn,survey,delay3,SuV98d5162cH7XkpLKAowCIyrM22,lmdlab-html-vas-response,92,430760,0.0-34.0,<p style='font-size: 2.2rem; line-height: 1.3'><br>Were you at all bothered or frustrated by<br>the longer delays to point feedback?</p><br>,"['Not at all frustrated by long feedback delays', 'Somewhat frustrated', 'Very frustrated by long feedback delays']",5c3205407e0559000172f153,15:52:04,26/03/2024
7134.0,0.43708249974568514,,delaylearn,survey,mood1,SuV98d5162cH7XkpLKAowCIyrM22,lmdlab-html-vas-response,93,439412,0.0-35.0,<p style='font-size: 2.2rem; line-height: 1.3'><br>Regarding the <b>happiness ratings</b>:<br>Were you at all bothered or frustrated by<br>the ratings?</p><br>,"['Not at all frustrated by mood ratings', 'Somewhat frustrated', 'Very frustrated by mood ratings']",5c3205407e0559000172f153,15:52:04,26/03/2024
5632.0,0.8744150559511699,,delaylearn,survey,engagement1,SuV98d5162cH7XkpLKAowCIyrM22,lmdlab-html-vas-response,94,446574,0.0-36.0,"<p style=""font-size: 1.8rem; line-height: 1.3;"">How engaged and focused were you during this task?</p>","['Not at all engaged', 'Very engaged']",5c3205407e0559000172f153,15:52:04,26/03/2024
4506.0,"{""Q0"":""Yes""}",[0],delaylearn,survey,engagement2,SuV98d5162cH7XkpLKAowCIyrM22,lmdlab-evan-quiz,95,451845,0.0-37.0,,,5c3205407e0559000172f153,15:52:04,26/03/2024
12362.199999988079,"{'Q0': 'No, I did not.'}",,delaylearn,survey,engagement3,SuV98d5162cH7XkpLKAowCIyrM22,lmdlab-survey-text,96,464977,0.0-38.0,,,5c3205407e0559000172f153,15:52:04,26/03/2024
15818.800000011921,"{'Q0': ""I didn't think to pay attention to the delays, otherwise I think I did okay.""}",,delaylearn,survey,comment1,SuV98d5162cH7XkpLKAowCIyrM22,lmdlab-survey-text,97,481559,0.0-39.0,,,5c3205407e0559000172f153,15:52:04,26/03/2024
