rt,response,choice_idxs,exp_name,exp_stage,q_name,subjectID,trial_type,trial_index,time_elapsed,internal_node_id,stimulus,labels,prolificID,start_time,date
9813,"{""Q0"":""Sometimes noticed a pattern""}",[2],delaylearn,survey,delay1,blTw2k48dbMu7aJPKhPQzjME9O23,lmdlab-evan-quiz,69,286559,0.0-22.0,,,60fd1bde8dda943c26fa38a2,16:12:18,27/03/2024
11454,0.7099086934156379,,delaylearn,survey,state_stress,blTw2k48dbMu7aJPKhPQzjME9O23,lmdlab-html-vas-response,86,350695,0.0-28.0,"<p style='font-size: 2.2rem; line-height: 1.3'>How would you rate your current stress level?<br><br>Use the scale below, with 1 being the least<br>stressed and 10 being the most stressed:</p><br><br>","['1<br>Low<br>stress', '2', '3', '4', '5', '6', '7', '8', '9', '10<br>High<br>stress']",60fd1bde8dda943c26fa38a2,16:12:18,27/03/2024
7842,"{""Q0"":""Poor""}",[3],delaylearn,survey,sleep1,blTw2k48dbMu7aJPKhPQzjME9O23,lmdlab-evan-quiz,87,359293,0.0-29.0,,,60fd1bde8dda943c26fa38a2,16:12:18,27/03/2024
30757,"{""Q0"":""Less""}",[3],delaylearn,survey,sleep2,blTw2k48dbMu7aJPKhPQzjME9O23,lmdlab-evan-quiz,88,390805,0.0-30.0,,,60fd1bde8dda943c26fa38a2,16:12:18,27/03/2024
3365,"{""Q0"":""Poor""}",[3],delaylearn,survey,sleep3,blTw2k48dbMu7aJPKhPQzjME9O23,lmdlab-evan-quiz,89,394925,0.0-31.0,,,60fd1bde8dda943c26fa38a2,16:12:18,27/03/2024
14295,"{""Q0"":""Learned much better with with shorter delay""}",[0],delaylearn,survey,delay2,blTw2k48dbMu7aJPKhPQzjME9O23,lmdlab-evan-quiz,91,414478,0.0-33.0,,,60fd1bde8dda943c26fa38a2,16:12:18,27/03/2024
7634,0.8518807870370371,,delaylearn,survey,delay3,blTw2k48dbMu7aJPKhPQzjME9O23,lmdlab-html-vas-response,92,423620,0.0-34.0,<p style='font-size: 2.2rem; line-height: 1.3'><br>Were you at all bothered or frustrated by<br>the longer delays to point feedback?</p><br>,"['Not at all frustrated by long feedback delays', 'Somewhat frustrated', 'Very frustrated by long feedback delays']",60fd1bde8dda943c26fa38a2,16:12:18,27/03/2024
10986,0.5796585648148148,,delaylearn,survey,mood1,blTw2k48dbMu7aJPKhPQzjME9O23,lmdlab-html-vas-response,93,436115,0.0-35.0,<p style='font-size: 2.2rem; line-height: 1.3'><br>Regarding the <b>happiness ratings</b>:<br>Were you at all bothered or frustrated by<br>the ratings?</p><br>,"['Not at all frustrated by mood ratings', 'Somewhat frustrated', 'Very frustrated by mood ratings']",60fd1bde8dda943c26fa38a2,16:12:18,27/03/2024
5109,0.49171006944444445,,delaylearn,survey,engagement1,blTw2k48dbMu7aJPKhPQzjME9O23,lmdlab-html-vas-response,94,442730,0.0-36.0,"<p style=""font-size: 1.8rem; line-height: 1.3;"">How engaged and focused were you during this task?</p>","['Not at all engaged', 'Very engaged']",60fd1bde8dda943c26fa38a2,16:12:18,27/03/2024
4718,"{""Q0"":""Yes""}",[0],delaylearn,survey,engagement2,blTw2k48dbMu7aJPKhPQzjME9O23,lmdlab-evan-quiz,95,448202,0.0-37.0,,,60fd1bde8dda943c26fa38a2,16:12:18,27/03/2024
57719,"{'Q0': 'sometimes - checking time etc to estimate time left in each section, also during long waits for points'}",,delaylearn,survey,engagement3,blTw2k48dbMu7aJPKhPQzjME9O23,lmdlab-survey-text,96,506677,0.0-38.0,,,60fd1bde8dda943c26fa38a2,16:12:18,27/03/2024
25370,{'Q0': 'Not applicable.'},,delaylearn,survey,comment1,blTw2k48dbMu7aJPKhPQzjME9O23,lmdlab-survey-text,97,532800,0.0-39.0,,,60fd1bde8dda943c26fa38a2,16:12:18,27/03/2024
