rt,response,choice_idxs,exp_name,exp_stage,q_name,subjectID,trial_type,trial_index,time_elapsed,internal_node_id,stimulus,labels,prolificID,start_time,date
7589.0,"{""Q0"":""Sometimes noticed a pattern""}",[2],delaylearn,survey,delay1,cIcnFJROLSQWqWJFRdD44Al6Exu2,lmdlab-evan-quiz,69,318988,0.0-22.0,,,60ce59806a88034d7e9456da,16:19:00,27/03/2024
3781.0,0.3285553531239953,,delaylearn,survey,state_stress,cIcnFJROLSQWqWJFRdD44Al6Exu2,lmdlab-html-vas-response,86,388959,0.0-28.0,"<p style='font-size: 2.2rem; line-height: 1.3'>How would you rate your current stress level?<br><br>Use the scale below, with 1 being the least<br>stressed and 10 being the most stressed:</p><br><br>","['1<br>Low<br>stress', '2', '3', '4', '5', '6', '7', '8', '9', '10<br>High<br>stress']",60ce59806a88034d7e9456da,16:19:00,27/03/2024
3620.0,"{""Q0"":""Good""}",[1],delaylearn,survey,sleep1,cIcnFJROLSQWqWJFRdD44Al6Exu2,lmdlab-evan-quiz,87,393331,0.0-29.0,,,60ce59806a88034d7e9456da,16:19:00,27/03/2024
3325.0,"{""Q0"":""More sleep""}",[1],delaylearn,survey,sleep2,cIcnFJROLSQWqWJFRdD44Al6Exu2,lmdlab-evan-quiz,88,397414,0.0-30.0,,,60ce59806a88034d7e9456da,16:19:00,27/03/2024
3753.0,"{""Q0"":""Average""}",[2],delaylearn,survey,sleep3,cIcnFJROLSQWqWJFRdD44Al6Exu2,lmdlab-evan-quiz,89,401928,0.0-31.0,,,60ce59806a88034d7e9456da,16:19:00,27/03/2024
9385.0,"{""Q0"":""Learned much better with shorter delay""}",[3],delaylearn,survey,delay2,cIcnFJROLSQWqWJFRdD44Al6Exu2,lmdlab-evan-quiz,91,418809,0.0-33.0,,,60ce59806a88034d7e9456da,16:19:00,27/03/2024
4301.0,0.8765673225308642,,delaylearn,survey,delay3,cIcnFJROLSQWqWJFRdD44Al6Exu2,lmdlab-html-vas-response,92,424634,0.0-34.0,<p style='font-size: 2.2rem; line-height: 1.3'><br>Were you at all bothered or frustrated by<br>the longer delays to point feedback?</p><br>,"['Not at all frustrated by long feedback delays', 'Somewhat frustrated', 'Very frustrated by long feedback delays']",60ce59806a88034d7e9456da,16:19:00,27/03/2024
5681.0,0.5061969521604939,,delaylearn,survey,mood1,cIcnFJROLSQWqWJFRdD44Al6Exu2,lmdlab-html-vas-response,93,431833,0.0-35.0,<p style='font-size: 2.2rem; line-height: 1.3'><br>Regarding the <b>happiness ratings</b>:<br>Were you at all bothered or frustrated by<br>the ratings?</p><br>,"['Not at all frustrated by mood ratings', 'Somewhat frustrated', 'Very frustrated by mood ratings']",60ce59806a88034d7e9456da,16:19:00,27/03/2024
6143.0,0.9954065393518519,,delaylearn,survey,engagement1,cIcnFJROLSQWqWJFRdD44Al6Exu2,lmdlab-html-vas-response,94,439505,0.0-36.0,"<p style=""font-size: 1.8rem; line-height: 1.3;"">How engaged and focused were you during this task?</p>","['Not at all engaged', 'Very engaged']",60ce59806a88034d7e9456da,16:19:00,27/03/2024
4162.0,"{""Q0"":""Yes""}",[0],delaylearn,survey,engagement2,cIcnFJROLSQWqWJFRdD44Al6Exu2,lmdlab-evan-quiz,95,444423,0.0-37.0,,,60ce59806a88034d7e9456da,16:19:00,27/03/2024
14796.600000000093,{'Q0': 'I Did not fortunately'},,delaylearn,survey,engagement3,cIcnFJROLSQWqWJFRdD44Al6Exu2,lmdlab-survey-text,96,459982,0.0-38.0,,,60ce59806a88034d7e9456da,16:19:00,27/03/2024
18056.700000000186,{'Q0': 'i enjoyed trying to remember the patterns. '},,delaylearn,survey,comment1,cIcnFJROLSQWqWJFRdD44Al6Exu2,lmdlab-survey-text,97,478790,0.0-39.0,,,60ce59806a88034d7e9456da,16:19:00,27/03/2024
