rt,response,choice_idxs,exp_name,exp_stage,q_name,subjectID,trial_type,trial_index,time_elapsed,internal_node_id,stimulus,labels,prolificID,start_time,date
9890.0,"{""Q0"":""Did not notice a pattern""}",[1],delaylearn,survey,delay1,OUDTh4JYCVPT0h8Eao3KXvDTX4J3,lmdlab-evan-quiz,69,489707,0.0-22.0,,,5eb16c316e577a06b326d39c,16:28:53,27/03/2024
9072.0,0.32504883727398354,,delaylearn,survey,state_stress,OUDTh4JYCVPT0h8Eao3KXvDTX4J3,lmdlab-html-vas-response,86,566317,0.0-28.0,"<p style='font-size: 2.2rem; line-height: 1.3'>How would you rate your current stress level?<br><br>Use the scale below, with 1 being the least<br>stressed and 10 being the most stressed:</p><br><br>","['1<br>Low<br>stress', '2', '3', '4', '5', '6', '7', '8', '9', '10<br>High<br>stress']",5eb16c316e577a06b326d39c,16:28:53,27/03/2024
2757.0,"{""Q0"":""Good""}",[1],delaylearn,survey,sleep1,OUDTh4JYCVPT0h8Eao3KXvDTX4J3,lmdlab-evan-quiz,87,569830,0.0-29.0,,,5eb16c316e577a06b326d39c,16:28:53,27/03/2024
8459.0,"{""Q0"":""Average""}",[2],delaylearn,survey,sleep2,OUDTh4JYCVPT0h8Eao3KXvDTX4J3,lmdlab-evan-quiz,88,579051,0.0-30.0,,,5eb16c316e577a06b326d39c,16:28:53,27/03/2024
3241.0,"{""Q0"":""Good""}",[1],delaylearn,survey,sleep3,OUDTh4JYCVPT0h8Eao3KXvDTX4J3,lmdlab-evan-quiz,89,583054,0.0-31.0,,,5eb16c316e577a06b326d39c,16:28:53,27/03/2024
8067.0,"{""Q0"":""Learned much better with shorter delay""}",[3],delaylearn,survey,delay2,OUDTh4JYCVPT0h8Eao3KXvDTX4J3,lmdlab-evan-quiz,91,595936,0.0-33.0,,,5eb16c316e577a06b326d39c,16:28:53,27/03/2024
6655.0,0.9442302164386744,,delaylearn,survey,delay3,OUDTh4JYCVPT0h8Eao3KXvDTX4J3,lmdlab-html-vas-response,92,604112,0.0-34.0,<p style='font-size: 2.2rem; line-height: 1.3'><br>Were you at all bothered or frustrated by<br>the longer delays to point feedback?</p><br>,"['Not at all frustrated by long feedback delays', 'Somewhat frustrated', 'Very frustrated by long feedback delays']",5eb16c316e577a06b326d39c,16:28:53,27/03/2024
3569.0,0.9954949676980983,,delaylearn,survey,mood1,OUDTh4JYCVPT0h8Eao3KXvDTX4J3,lmdlab-html-vas-response,93,609205,0.0-35.0,<p style='font-size: 2.2rem; line-height: 1.3'><br>Regarding the <b>happiness ratings</b>:<br>Were you at all bothered or frustrated by<br>the ratings?</p><br>,"['Not at all frustrated by mood ratings', 'Somewhat frustrated', 'Very frustrated by mood ratings']",5eb16c316e577a06b326d39c,16:28:53,27/03/2024
4380.0,0.7373478288578883,,delaylearn,survey,engagement1,OUDTh4JYCVPT0h8Eao3KXvDTX4J3,lmdlab-html-vas-response,94,615103,0.0-36.0,"<p style=""font-size: 1.8rem; line-height: 1.3;"">How engaged and focused were you during this task?</p>","['Not at all engaged', 'Very engaged']",5eb16c316e577a06b326d39c,16:28:53,27/03/2024
6718.0,"{""Q0"":""Yes""}",[0],delaylearn,survey,engagement2,OUDTh4JYCVPT0h8Eao3KXvDTX4J3,lmdlab-evan-quiz,95,622576,0.0-37.0,,,5eb16c316e577a06b326d39c,16:28:53,27/03/2024
40247.89999997616,{'Q0': 'i had to reply to a text at one point and i think i took too long during the break and lost 50 points'},,delaylearn,survey,engagement3,OUDTh4JYCVPT0h8Eao3KXvDTX4J3,lmdlab-survey-text,96,663576,0.0-38.0,,,5eb16c316e577a06b326d39c,16:28:53,27/03/2024
33088.60000002384,{'Q0': 'being asked how happy i was was very annoying. idk how relevant that is to your research but yeh. it was annoying'},,delaylearn,survey,comment1,OUDTh4JYCVPT0h8Eao3KXvDTX4J3,lmdlab-survey-text,97,697435,0.0-39.0,,,5eb16c316e577a06b326d39c,16:28:53,27/03/2024
