rt,response,choice_idxs,exp_name,exp_stage,q_name,subjectID,trial_type,trial_index,time_elapsed,internal_node_id,stimulus,labels,prolificID,start_time,date
4979.0,"{""Q0"":""Did not notice a pattern""}",[1],delaylearn,survey,delay1,tJfU7vA4Cwff0qF1sQdZzRiWcYH2,lmdlab-evan-quiz,69,301836,0.0-22.0,,,5f58b0c5273d87033903dbe6,16:29:04,27/03/2024
7496.0,0.9818615368127747,,delaylearn,survey,state_stress,tJfU7vA4Cwff0qF1sQdZzRiWcYH2,lmdlab-html-vas-response,86,361418,0.0-28.0,"<p style='font-size: 2.2rem; line-height: 1.3'>How would you rate your current stress level?<br><br>Use the scale below, with 1 being the least<br>stressed and 10 being the most stressed:</p><br><br>","['1<br>Low<br>stress', '2', '3', '4', '5', '6', '7', '8', '9', '10<br>High<br>stress']",5f58b0c5273d87033903dbe6,16:29:04,27/03/2024
3231.0,"{""Q0"":""Very poor""}",[4],delaylearn,survey,sleep1,tJfU7vA4Cwff0qF1sQdZzRiWcYH2,lmdlab-evan-quiz,87,365414,0.0-29.0,,,5f58b0c5273d87033903dbe6,16:29:04,27/03/2024
3780.0,"{""Q0"":""Much less sleep""}",[4],delaylearn,survey,sleep2,tJfU7vA4Cwff0qF1sQdZzRiWcYH2,lmdlab-evan-quiz,88,369960,0.0-30.0,,,5f58b0c5273d87033903dbe6,16:29:04,27/03/2024
3194.0,"{""Q0"":""Poor""}",[3],delaylearn,survey,sleep3,tJfU7vA4Cwff0qF1sQdZzRiWcYH2,lmdlab-evan-quiz,89,373917,0.0-31.0,,,5f58b0c5273d87033903dbe6,16:29:04,27/03/2024
3581.0,"{""Q0"":""Shorter delay""}",[1],delaylearn,survey,delay2,tJfU7vA4Cwff0qF1sQdZzRiWcYH2,lmdlab-evan-quiz,91,379969,0.0-33.0,,,5f58b0c5273d87033903dbe6,16:29:04,27/03/2024
3533.0,0.5108265817901234,,delaylearn,survey,delay3,tJfU7vA4Cwff0qF1sQdZzRiWcYH2,lmdlab-html-vas-response,92,385035,0.0-34.0,<p style='font-size: 2.2rem; line-height: 1.3'><br>Were you at all bothered or frustrated by<br>the longer delays to point feedback?</p><br>,"['Not at all frustrated by long feedback delays', 'Somewhat frustrated', 'Very frustrated by long feedback delays']",5f58b0c5273d87033903dbe6,16:29:04,27/03/2024
2055.0,0.6311969521604939,,delaylearn,survey,mood1,tJfU7vA4Cwff0qF1sQdZzRiWcYH2,lmdlab-html-vas-response,93,388617,0.0-35.0,<p style='font-size: 2.2rem; line-height: 1.3'><br>Regarding the <b>happiness ratings</b>:<br>Were you at all bothered or frustrated by<br>the ratings?</p><br>,"['Not at all frustrated by mood ratings', 'Somewhat frustrated', 'Very frustrated by mood ratings']",5f58b0c5273d87033903dbe6,16:29:04,27/03/2024
21540.0,0.3588324652777778,,delaylearn,survey,engagement1,tJfU7vA4Cwff0qF1sQdZzRiWcYH2,lmdlab-html-vas-response,94,411670,0.0-36.0,"<p style=""font-size: 1.8rem; line-height: 1.3;"">How engaged and focused were you during this task?</p>","['Not at all engaged', 'Very engaged']",5f58b0c5273d87033903dbe6,16:29:04,27/03/2024
1973.0,"{""Q0"":""Somewhat""}",[1],delaylearn,survey,engagement2,tJfU7vA4Cwff0qF1sQdZzRiWcYH2,lmdlab-evan-quiz,95,414405,0.0-37.0,,,5f58b0c5273d87033903dbe6,16:29:04,27/03/2024
12488.199999928474,{'Q0': 'NONE'},,delaylearn,survey,engagement3,tJfU7vA4Cwff0qF1sQdZzRiWcYH2,lmdlab-survey-text,96,427656,0.0-38.0,,,5f58b0c5273d87033903dbe6,16:29:04,27/03/2024
10607.399999976158,{'Q0': 'Guessing was hard'},,delaylearn,survey,comment1,tJfU7vA4Cwff0qF1sQdZzRiWcYH2,lmdlab-survey-text,97,439019,0.0-39.0,,,5f58b0c5273d87033903dbe6,16:29:04,27/03/2024
