rt,response,choice_idxs,exp_name,exp_stage,q_name,subjectID,trial_type,trial_index,time_elapsed,internal_node_id,stimulus,labels,prolificID,start_time,date
6378.0,"{""Q0"":""Did not notice a pattern""}",[1],delaylearn,survey,delay1,zH0I3ajmYeQxQBpGY6IH9uuBZWx1,lmdlab-evan-quiz,69,234659,0.0-22.0,,,6147759141eeb37502a2967d,16:30:01,27/03/2024
5983.0,0.45887362297080847,,delaylearn,survey,state_stress,zH0I3ajmYeQxQBpGY6IH9uuBZWx1,lmdlab-html-vas-response,86,303285,0.0-28.0,"<p style='font-size: 2.2rem; line-height: 1.3'>How would you rate your current stress level?<br><br>Use the scale below, with 1 being the least<br>stressed and 10 being the most stressed:</p><br><br>","['1<br>Low<br>stress', '2', '3', '4', '5', '6', '7', '8', '9', '10<br>High<br>stress']",6147759141eeb37502a2967d,16:30:01,27/03/2024
3709.0,"{""Q0"":""Average""}",[2],delaylearn,survey,sleep1,zH0I3ajmYeQxQBpGY6IH9uuBZWx1,lmdlab-evan-quiz,87,307755,0.0-29.0,,,6147759141eeb37502a2967d,16:30:01,27/03/2024
4406.0,"{""Q0"":""Less""}",[3],delaylearn,survey,sleep2,zH0I3ajmYeQxQBpGY6IH9uuBZWx1,lmdlab-evan-quiz,88,312921,0.0-30.0,,,6147759141eeb37502a2967d,16:30:01,27/03/2024
3330.0,"{""Q0"":""Good""}",[1],delaylearn,survey,sleep3,zH0I3ajmYeQxQBpGY6IH9uuBZWx1,lmdlab-evan-quiz,89,317021,0.0-31.0,,,6147759141eeb37502a2967d,16:30:01,27/03/2024
10606.0,"{""Q0"":""Learned much better with shorter delay""}",[3],delaylearn,survey,delay2,zH0I3ajmYeQxQBpGY6IH9uuBZWx1,lmdlab-evan-quiz,91,332522,0.0-33.0,,,6147759141eeb37502a2967d,16:30:01,27/03/2024
4613.0,0.9351852205064561,,delaylearn,survey,delay3,zH0I3ajmYeQxQBpGY6IH9uuBZWx1,lmdlab-html-vas-response,92,338654,0.0-34.0,<p style='font-size: 2.2rem; line-height: 1.3'><br>Were you at all bothered or frustrated by<br>the longer delays to point feedback?</p><br>,"['Not at all frustrated by long feedback delays', 'Somewhat frustrated', 'Very frustrated by long feedback delays']",6147759141eeb37502a2967d,16:30:01,27/03/2024
8293.0,0.5497685538397895,,delaylearn,survey,mood1,zH0I3ajmYeQxQBpGY6IH9uuBZWx1,lmdlab-html-vas-response,93,348470,0.0-35.0,<p style='font-size: 2.2rem; line-height: 1.3'><br>Regarding the <b>happiness ratings</b>:<br>Were you at all bothered or frustrated by<br>the ratings?</p><br>,"['Not at all frustrated by mood ratings', 'Somewhat frustrated', 'Very frustrated by mood ratings']",6147759141eeb37502a2967d,16:30:01,27/03/2024
6320.0,0.4600694974263509,,delaylearn,survey,engagement1,zH0I3ajmYeQxQBpGY6IH9uuBZWx1,lmdlab-html-vas-response,94,356300,0.0-36.0,"<p style=""font-size: 1.8rem; line-height: 1.3;"">How engaged and focused were you during this task?</p>","['Not at all engaged', 'Very engaged']",6147759141eeb37502a2967d,16:30:01,27/03/2024
3622.0,"{""Q0"":""Yes""}",[0],delaylearn,survey,engagement2,zH0I3ajmYeQxQBpGY6IH9uuBZWx1,lmdlab-evan-quiz,95,360686,0.0-37.0,,,6147759141eeb37502a2967d,16:30:01,27/03/2024
7990.0,{'Q0': 'None'},,delaylearn,survey,engagement3,zH0I3ajmYeQxQBpGY6IH9uuBZWx1,lmdlab-survey-text,96,369430,0.0-38.0,,,6147759141eeb37502a2967d,16:30:01,27/03/2024
20785.299999952316,{'Q0': 'Instructions clear'},,delaylearn,survey,comment1,zH0I3ajmYeQxQBpGY6IH9uuBZWx1,lmdlab-survey-text,97,390971,0.0-39.0,,,6147759141eeb37502a2967d,16:30:01,27/03/2024
