rt,response,choice_idxs,exp_name,exp_stage,q_name,subjectID,trial_type,trial_index,time_elapsed,internal_node_id,stimulus,labels,prolificID,start_time,date
6431.0,"{""Q0"":""Did not notice a pattern""}",[1],delaylearn,survey,delay1,mxfavF5YdvbJDxWwvO8nmCs5ZZv2,lmdlab-evan-quiz,69,239998,0.0-22.0,,,5eb85799cc3ea50a5f3591ad,16:42:28,27/03/2024
4302.0,0.11318479938271606,,delaylearn,survey,state_stress,mxfavF5YdvbJDxWwvO8nmCs5ZZv2,lmdlab-html-vas-response,86,300058,0.0-28.0,"<p style='font-size: 2.2rem; line-height: 1.3'>How would you rate your current stress level?<br><br>Use the scale below, with 1 being the least<br>stressed and 10 being the most stressed:</p><br><br>","['1<br>Low<br>stress', '2', '3', '4', '5', '6', '7', '8', '9', '10<br>High<br>stress']",5eb85799cc3ea50a5f3591ad,16:42:28,27/03/2024
3963.0,"{""Q0"":""Good""}",[1],delaylearn,survey,sleep1,mxfavF5YdvbJDxWwvO8nmCs5ZZv2,lmdlab-evan-quiz,87,304776,0.0-29.0,,,5eb85799cc3ea50a5f3591ad,16:42:28,27/03/2024
5031.0,"{""Q0"":""Less""}",[3],delaylearn,survey,sleep2,mxfavF5YdvbJDxWwvO8nmCs5ZZv2,lmdlab-evan-quiz,88,310562,0.0-30.0,,,5eb85799cc3ea50a5f3591ad,16:42:28,27/03/2024
3320.0,"{""Q0"":""Good""}",[1],delaylearn,survey,sleep3,mxfavF5YdvbJDxWwvO8nmCs5ZZv2,lmdlab-evan-quiz,89,314636,0.0-31.0,,,5eb85799cc3ea50a5f3591ad,16:42:28,27/03/2024
7482.0,"{""Q0"":""Shorter delay""}",[2],delaylearn,survey,delay2,mxfavF5YdvbJDxWwvO8nmCs5ZZv2,lmdlab-evan-quiz,91,325167,0.0-33.0,,,5eb85799cc3ea50a5f3591ad,16:42:28,27/03/2024
8135.0,0.9148292824074075,,delaylearn,survey,delay3,mxfavF5YdvbJDxWwvO8nmCs5ZZv2,lmdlab-html-vas-response,92,334809,0.0-34.0,<p style='font-size: 2.2rem; line-height: 1.3'><br>Were you at all bothered or frustrated by<br>the longer delays to point feedback?</p><br>,"['Not at all frustrated by long feedback delays', 'Somewhat frustrated', 'Very frustrated by long feedback delays']",5eb85799cc3ea50a5f3591ad,16:42:28,27/03/2024
7997.0,0.18705150462962963,,delaylearn,survey,mood1,mxfavF5YdvbJDxWwvO8nmCs5ZZv2,lmdlab-html-vas-response,93,344313,0.0-35.0,<p style='font-size: 2.2rem; line-height: 1.3'><br>Regarding the <b>happiness ratings</b>:<br>Were you at all bothered or frustrated by<br>the ratings?</p><br>,"['Not at all frustrated by mood ratings', 'Somewhat frustrated', 'Very frustrated by mood ratings']",5eb85799cc3ea50a5f3591ad,16:42:28,27/03/2024
3200.0,0.8583333333333333,,delaylearn,survey,engagement1,mxfavF5YdvbJDxWwvO8nmCs5ZZv2,lmdlab-html-vas-response,94,349018,0.0-36.0,"<p style=""font-size: 1.8rem; line-height: 1.3;"">How engaged and focused were you during this task?</p>","['Not at all engaged', 'Very engaged']",5eb85799cc3ea50a5f3591ad,16:42:28,27/03/2024
4793.0,"{""Q0"":""Yes""}",[0],delaylearn,survey,engagement2,mxfavF5YdvbJDxWwvO8nmCs5ZZv2,lmdlab-evan-quiz,95,354565,0.0-37.0,,,5eb85799cc3ea50a5f3591ad,16:42:28,27/03/2024
23903.70000000298,{'Q0': 'was in a room alone'},,delaylearn,survey,engagement3,mxfavF5YdvbJDxWwvO8nmCs5ZZv2,lmdlab-survey-text,96,379221,0.0-38.0,,,5eb85799cc3ea50a5f3591ad,16:42:28,27/03/2024
23756.10000000149,{'Q0': 'found the experience enjoyable'},,delaylearn,survey,comment1,mxfavF5YdvbJDxWwvO8nmCs5ZZv2,lmdlab-survey-text,97,403729,0.0-39.0,,,5eb85799cc3ea50a5f3591ad,16:42:28,27/03/2024
