rt,response,choice_idxs,exp_name,exp_stage,q_name,subjectID,trial_type,trial_index,time_elapsed,internal_node_id,stimulus,labels,prolificID,start_time,date
16299.0,"{""Q0"":""Sometimes noticed a pattern""}",[2],delaylearn,survey,delay1,Xt5RMkhvlDTA4mN4QAC5bzsjOMl1,lmdlab-evan-quiz,69,340563,0.0-22.0,,,62b5fea64b239d91783414ff,16:42:46,27/03/2024
11488.0,0.49630854418211184,,delaylearn,survey,state_stress,Xt5RMkhvlDTA4mN4QAC5bzsjOMl1,lmdlab-html-vas-response,86,416175,0.0-28.0,"<p style='font-size: 2.2rem; line-height: 1.3'>How would you rate your current stress level?<br><br>Use the scale below, with 1 being the least<br>stressed and 10 being the most stressed:</p><br><br>","['1<br>Low<br>stress', '2', '3', '4', '5', '6', '7', '8', '9', '10<br>High<br>stress']",62b5fea64b239d91783414ff,16:42:46,27/03/2024
5086.0,"{""Q0"":""Average""}",[2],delaylearn,survey,sleep1,Xt5RMkhvlDTA4mN4QAC5bzsjOMl1,lmdlab-evan-quiz,87,422028,0.0-29.0,,,62b5fea64b239d91783414ff,16:42:46,27/03/2024
4447.0,"{""Q0"":""Average""}",[2],delaylearn,survey,sleep2,Xt5RMkhvlDTA4mN4QAC5bzsjOMl1,lmdlab-evan-quiz,88,427235,0.0-30.0,,,62b5fea64b239d91783414ff,16:42:46,27/03/2024
2780.0,"{""Q0"":""Average""}",[2],delaylearn,survey,sleep3,Xt5RMkhvlDTA4mN4QAC5bzsjOMl1,lmdlab-evan-quiz,89,430781,0.0-31.0,,,62b5fea64b239d91783414ff,16:42:46,27/03/2024
13890.0,"{""Q0"":""Shorter delay""}",[2],delaylearn,survey,delay2,Xt5RMkhvlDTA4mN4QAC5bzsjOMl1,lmdlab-evan-quiz,91,450856,0.0-33.0,,,62b5fea64b239d91783414ff,16:42:46,27/03/2024
12102.0,0.3803986710963455,,delaylearn,survey,delay3,Xt5RMkhvlDTA4mN4QAC5bzsjOMl1,lmdlab-html-vas-response,92,464476,0.0-34.0,<p style='font-size: 2.2rem; line-height: 1.3'><br>Were you at all bothered or frustrated by<br>the longer delays to point feedback?</p><br>,"['Not at all frustrated by long feedback delays', 'Somewhat frustrated', 'Very frustrated by long feedback delays']",62b5fea64b239d91783414ff,16:42:46,27/03/2024
4625.0,0.3859357696566999,,delaylearn,survey,mood1,Xt5RMkhvlDTA4mN4QAC5bzsjOMl1,lmdlab-html-vas-response,93,470610,0.0-35.0,<p style='font-size: 2.2rem; line-height: 1.3'><br>Regarding the <b>happiness ratings</b>:<br>Were you at all bothered or frustrated by<br>the ratings?</p><br>,"['Not at all frustrated by mood ratings', 'Somewhat frustrated', 'Very frustrated by mood ratings']",62b5fea64b239d91783414ff,16:42:46,27/03/2024
6225.0,0.9701256229235881,,delaylearn,survey,engagement1,Xt5RMkhvlDTA4mN4QAC5bzsjOMl1,lmdlab-html-vas-response,94,478360,0.0-36.0,"<p style=""font-size: 1.8rem; line-height: 1.3;"">How engaged and focused were you during this task?</p>","['Not at all engaged', 'Very engaged']",62b5fea64b239d91783414ff,16:42:46,27/03/2024
72862.0,"{""Q0"":""Yes""}",[0],delaylearn,survey,engagement2,Xt5RMkhvlDTA4mN4QAC5bzsjOMl1,lmdlab-evan-quiz,95,551990,0.0-37.0,,,62b5fea64b239d91783414ff,16:42:46,27/03/2024
78839.79999999702,{'Q0': 'noise from outside'},,delaylearn,survey,engagement3,Xt5RMkhvlDTA4mN4QAC5bzsjOMl1,lmdlab-survey-text,96,631591,0.0-38.0,,,62b5fea64b239d91783414ff,16:42:46,27/03/2024
18141.79999999702,{'Q0': 'it was fine'},,delaylearn,survey,comment1,Xt5RMkhvlDTA4mN4QAC5bzsjOMl1,lmdlab-survey-text,97,650487,0.0-39.0,,,62b5fea64b239d91783414ff,16:42:46,27/03/2024
