rt,response,choice_idxs,exp_name,exp_stage,q_name,subjectID,trial_type,trial_index,time_elapsed,internal_node_id,stimulus,labels,prolificID,start_time,date
7919.0,"{""Q0"":""Did not notice a pattern""}",[1],delaylearn,survey,delay1,oMwNjKB6SoQ3djruQ3s5VXeAKTN2,lmdlab-evan-quiz,69,255292,0.0-22.0,,,60c341ec2ed9da27095ffab4,16:43:15,27/03/2024
3611.0,0.9835493549962535,,delaylearn,survey,state_stress,oMwNjKB6SoQ3djruQ3s5VXeAKTN2,lmdlab-html-vas-response,86,302482,0.0-28.0,"<p style='font-size: 2.2rem; line-height: 1.3'>How would you rate your current stress level?<br><br>Use the scale below, with 1 being the least<br>stressed and 10 being the most stressed:</p><br><br>","['1<br>Low<br>stress', '2', '3', '4', '5', '6', '7', '8', '9', '10<br>High<br>stress']",60c341ec2ed9da27095ffab4,16:43:15,27/03/2024
6896.0,"{""Q0"":""Poor""}",[3],delaylearn,survey,sleep1,oMwNjKB6SoQ3djruQ3s5VXeAKTN2,lmdlab-evan-quiz,87,310145,0.0-29.0,,,60c341ec2ed9da27095ffab4,16:43:15,27/03/2024
3912.0,"{""Q0"":""Less""}",[3],delaylearn,survey,sleep2,oMwNjKB6SoQ3djruQ3s5VXeAKTN2,lmdlab-evan-quiz,88,314827,0.0-30.0,,,60c341ec2ed9da27095ffab4,16:43:15,27/03/2024
6054.0,"{""Q0"":""Poor""}",[3],delaylearn,survey,sleep3,oMwNjKB6SoQ3djruQ3s5VXeAKTN2,lmdlab-evan-quiz,89,321643,0.0-31.0,,,60c341ec2ed9da27095ffab4,16:43:15,27/03/2024
4935.0,"{""Q0"":""Learned much better with shorter delay""}",[3],delaylearn,survey,delay2,oMwNjKB6SoQ3djruQ3s5VXeAKTN2,lmdlab-evan-quiz,91,330384,0.0-33.0,,,60c341ec2ed9da27095ffab4,16:43:15,27/03/2024
5644.0,0.9884259259259259,,delaylearn,survey,delay3,oMwNjKB6SoQ3djruQ3s5VXeAKTN2,lmdlab-html-vas-response,92,337556,0.0-34.0,<p style='font-size: 2.2rem; line-height: 1.3'><br>Were you at all bothered or frustrated by<br>the longer delays to point feedback?</p><br>,"['Not at all frustrated by long feedback delays', 'Somewhat frustrated', 'Very frustrated by long feedback delays']",60c341ec2ed9da27095ffab4,16:43:15,27/03/2024
7170.0,0.5023148148148148,,delaylearn,survey,mood1,oMwNjKB6SoQ3djruQ3s5VXeAKTN2,lmdlab-html-vas-response,93,346257,0.0-35.0,<p style='font-size: 2.2rem; line-height: 1.3'><br>Regarding the <b>happiness ratings</b>:<br>Were you at all bothered or frustrated by<br>the ratings?</p><br>,"['Not at all frustrated by mood ratings', 'Somewhat frustrated', 'Very frustrated by mood ratings']",60c341ec2ed9da27095ffab4,16:43:15,27/03/2024
4458.0,0.8125361336602105,,delaylearn,survey,engagement1,oMwNjKB6SoQ3djruQ3s5VXeAKTN2,lmdlab-html-vas-response,94,352230,0.0-36.0,"<p style=""font-size: 1.8rem; line-height: 1.3;"">How engaged and focused were you during this task?</p>","['Not at all engaged', 'Very engaged']",60c341ec2ed9da27095ffab4,16:43:15,27/03/2024
3871.0,"{""Q0"":""Yes""}",[0],delaylearn,survey,engagement2,oMwNjKB6SoQ3djruQ3s5VXeAKTN2,lmdlab-evan-quiz,95,356871,0.0-37.0,,,60c341ec2ed9da27095ffab4,16:43:15,27/03/2024
13346.40000000596,{'Q0': 'None'},,delaylearn,survey,engagement3,oMwNjKB6SoQ3djruQ3s5VXeAKTN2,lmdlab-survey-text,96,370986,0.0-38.0,,,60c341ec2ed9da27095ffab4,16:43:15,27/03/2024
18387.5,{'Q0': 'Found it a little stressful! Memory worse than I thought!'},,delaylearn,survey,comment1,oMwNjKB6SoQ3djruQ3s5VXeAKTN2,lmdlab-survey-text,97,390152,0.0-39.0,,,60c341ec2ed9da27095ffab4,16:43:15,27/03/2024
