rt,response,choice_idxs,exp_name,exp_stage,q_name,subjectID,trial_type,trial_index,time_elapsed,internal_node_id,stimulus,labels,prolificID,start_time,date
4393.0,"{""Q0"":""Sometimes noticed a pattern""}",[2],delaylearn,survey,delay1,m5LJgBycrwgxlnEiP878joCq2Pj2,lmdlab-evan-quiz,69,189764,0.0-22.0,,,65ddeb0d1a44628b53924756,16:45:16,27/03/2024
3064.0,0.22827488598836296,,delaylearn,survey,state_stress,m5LJgBycrwgxlnEiP878joCq2Pj2,lmdlab-html-vas-response,86,238565,0.0-28.0,"<p style='font-size: 2.2rem; line-height: 1.3'>How would you rate your current stress level?<br><br>Use the scale below, with 1 being the least<br>stressed and 10 being the most stressed:</p><br><br>","['1<br>Low<br>stress', '2', '3', '4', '5', '6', '7', '8', '9', '10<br>High<br>stress']",65ddeb0d1a44628b53924756,16:45:16,27/03/2024
2468.0,"{""Q0"":""Very good""}",[0],delaylearn,survey,sleep1,m5LJgBycrwgxlnEiP878joCq2Pj2,lmdlab-evan-quiz,87,241790,0.0-29.0,,,65ddeb0d1a44628b53924756,16:45:16,27/03/2024
2523.0,"{""Q0"":""Average""}",[2],delaylearn,survey,sleep2,m5LJgBycrwgxlnEiP878joCq2Pj2,lmdlab-evan-quiz,88,245073,0.0-30.0,,,65ddeb0d1a44628b53924756,16:45:16,27/03/2024
2481.0,"{""Q0"":""Good""}",[1],delaylearn,survey,sleep3,m5LJgBycrwgxlnEiP878joCq2Pj2,lmdlab-evan-quiz,89,248315,0.0-31.0,,,65ddeb0d1a44628b53924756,16:45:16,27/03/2024
5218.0,"{""Q0"":""Shorter delay""}",[2],delaylearn,survey,delay2,m5LJgBycrwgxlnEiP878joCq2Pj2,lmdlab-evan-quiz,91,256303,0.0-33.0,,,65ddeb0d1a44628b53924756,16:45:16,27/03/2024
4589.0,0.2572605298913043,,delaylearn,survey,delay3,m5LJgBycrwgxlnEiP878joCq2Pj2,lmdlab-html-vas-response,92,262408,0.0-34.0,<p style='font-size: 2.2rem; line-height: 1.3'><br>Were you at all bothered or frustrated by<br>the longer delays to point feedback?</p><br>,"['Not at all frustrated by long feedback delays', 'Somewhat frustrated', 'Very frustrated by long feedback delays']",65ddeb0d1a44628b53924756,16:45:16,27/03/2024
7070.0,0.37863734148550726,,delaylearn,survey,mood1,m5LJgBycrwgxlnEiP878joCq2Pj2,lmdlab-html-vas-response,93,270990,0.0-35.0,<p style='font-size: 2.2rem; line-height: 1.3'><br>Regarding the <b>happiness ratings</b>:<br>Were you at all bothered or frustrated by<br>the ratings?</p><br>,"['Not at all frustrated by mood ratings', 'Somewhat frustrated', 'Very frustrated by mood ratings']",65ddeb0d1a44628b53924756,16:45:16,27/03/2024
2891.0,0.7146739130434783,,delaylearn,survey,engagement1,m5LJgBycrwgxlnEiP878joCq2Pj2,lmdlab-html-vas-response,94,275394,0.0-36.0,"<p style=""font-size: 1.8rem; line-height: 1.3;"">How engaged and focused were you during this task?</p>","['Not at all engaged', 'Very engaged']",65ddeb0d1a44628b53924756,16:45:16,27/03/2024
3393.0,"{""Q0"":""Yes""}",[0],delaylearn,survey,engagement2,m5LJgBycrwgxlnEiP878joCq2Pj2,lmdlab-evan-quiz,95,279543,0.0-37.0,,,65ddeb0d1a44628b53924756,16:45:16,27/03/2024
15457.700000047684,{'Q0': 'Occasionally looked away from the screen or towards an outside noise'},,delaylearn,survey,engagement3,m5LJgBycrwgxlnEiP878joCq2Pj2,lmdlab-survey-text,96,295759,0.0-38.0,,,65ddeb0d1a44628b53924756,16:45:16,27/03/2024
8483.5,{'Q0': 'I enjoyed the task'},,delaylearn,survey,comment1,m5LJgBycrwgxlnEiP878joCq2Pj2,lmdlab-survey-text,97,305000,0.0-39.0,,,65ddeb0d1a44628b53924756,16:45:16,27/03/2024
