rt,response,choice_idxs,exp_name,exp_stage,q_name,subjectID,trial_type,trial_index,time_elapsed,internal_node_id,stimulus,labels,prolificID,start_time,date
5231.0,"{""Q0"":""Sometimes noticed a pattern""}",[2],delaylearn,survey,delay1,MrbqHNmU1OezrLBl7sSEpyzQFbk1,lmdlab-evan-quiz,69,295062,0.0-22.0,,,5da41f84a39c100018614e31,16:46:12,27/03/2024
5396.0,0.4490921585648148,,delaylearn,survey,state_stress,MrbqHNmU1OezrLBl7sSEpyzQFbk1,lmdlab-html-vas-response,86,359252,0.0-28.0,"<p style='font-size: 2.2rem; line-height: 1.3'>How would you rate your current stress level?<br><br>Use the scale below, with 1 being the least<br>stressed and 10 being the most stressed:</p><br><br>","['1<br>Low<br>stress', '2', '3', '4', '5', '6', '7', '8', '9', '10<br>High<br>stress']",5da41f84a39c100018614e31,16:46:12,27/03/2024
2236.0,"{""Q0"":""Good""}",[1],delaylearn,survey,sleep1,MrbqHNmU1OezrLBl7sSEpyzQFbk1,lmdlab-evan-quiz,87,362244,0.0-29.0,,,5da41f84a39c100018614e31,16:46:12,27/03/2024
2605.0,"{""Q0"":""Average""}",[2],delaylearn,survey,sleep2,MrbqHNmU1OezrLBl7sSEpyzQFbk1,lmdlab-evan-quiz,88,365604,0.0-30.0,,,5da41f84a39c100018614e31,16:46:12,27/03/2024
2381.0,"{""Q0"":""Good""}",[1],delaylearn,survey,sleep3,MrbqHNmU1OezrLBl7sSEpyzQFbk1,lmdlab-evan-quiz,89,368739,0.0-31.0,,,5da41f84a39c100018614e31,16:46:12,27/03/2024
6102.0,"{""Q0"":""Learned much better with with shorter delay""}",[0],delaylearn,survey,delay2,MrbqHNmU1OezrLBl7sSEpyzQFbk1,lmdlab-evan-quiz,91,378826,0.0-33.0,,,5da41f84a39c100018614e31,16:46:12,27/03/2024
4665.0,0.502099609375,,delaylearn,survey,delay3,MrbqHNmU1OezrLBl7sSEpyzQFbk1,lmdlab-html-vas-response,92,384999,0.0-34.0,<p style='font-size: 2.2rem; line-height: 1.3'><br>Were you at all bothered or frustrated by<br>the longer delays to point feedback?</p><br>,"['Not at all frustrated by long feedback delays', 'Somewhat frustrated', 'Very frustrated by long feedback delays']",5da41f84a39c100018614e31,16:46:12,27/03/2024
10365.0,0.21668294270833333,,delaylearn,survey,mood1,MrbqHNmU1OezrLBl7sSEpyzQFbk1,lmdlab-html-vas-response,93,396873,0.0-35.0,<p style='font-size: 2.2rem; line-height: 1.3'><br>Regarding the <b>happiness ratings</b>:<br>Were you at all bothered or frustrated by<br>the ratings?</p><br>,"['Not at all frustrated by mood ratings', 'Somewhat frustrated', 'Very frustrated by mood ratings']",5da41f84a39c100018614e31,16:46:12,27/03/2024
2952.0,0.925,,delaylearn,survey,engagement1,MrbqHNmU1OezrLBl7sSEpyzQFbk1,lmdlab-html-vas-response,94,401329,0.0-36.0,"<p style=""font-size: 1.8rem; line-height: 1.3;"">How engaged and focused were you during this task?</p>","['Not at all engaged', 'Very engaged']",5da41f84a39c100018614e31,16:46:12,27/03/2024
5849.0,"{""Q0"":""Yes""}",[0],delaylearn,survey,engagement2,MrbqHNmU1OezrLBl7sSEpyzQFbk1,lmdlab-evan-quiz,95,407933,0.0-37.0,,,5da41f84a39c100018614e31,16:46:12,27/03/2024
12459.80000000447,{'Q0': 'Brief distraction during the waiting periods'},,delaylearn,survey,engagement3,MrbqHNmU1OezrLBl7sSEpyzQFbk1,lmdlab-survey-text,96,421147,0.0-38.0,,,5da41f84a39c100018614e31,16:46:12,27/03/2024
22221.0,{'Q0': 'I enjoyed trying to remember which was luckier. Everything was clear with good instructions!'},,delaylearn,survey,comment1,MrbqHNmU1OezrLBl7sSEpyzQFbk1,lmdlab-survey-text,97,444121,0.0-39.0,,,5da41f84a39c100018614e31,16:46:12,27/03/2024
