rt,response,choice_idxs,exp_name,exp_stage,q_name,subjectID,trial_type,trial_index,time_elapsed,internal_node_id,stimulus,labels,prolificID,start_time,date
6278.0,"{""Q0"":""Did not notice a pattern""}",[1],delaylearn,survey,delay1,2vgTIayd7rPhZJxSLeZXo8SMsoZ2,lmdlab-evan-quiz,69,219586,0.0-22.0,,,5c929e7b18adb600131a667a,16:46:24,27/03/2024
4951.0,0.5600417218546079,,delaylearn,survey,state_stress,2vgTIayd7rPhZJxSLeZXo8SMsoZ2,lmdlab-html-vas-response,86,275296,0.0-28.0,"<p style='font-size: 2.2rem; line-height: 1.3'>How would you rate your current stress level?<br><br>Use the scale below, with 1 being the least<br>stressed and 10 being the most stressed:</p><br><br>","['1<br>Low<br>stress', '2', '3', '4', '5', '6', '7', '8', '9', '10<br>High<br>stress']",5c929e7b18adb600131a667a,16:46:24,27/03/2024
4077.0,"{""Q0"":""Average""}",[2],delaylearn,survey,sleep1,2vgTIayd7rPhZJxSLeZXo8SMsoZ2,lmdlab-evan-quiz,87,280146,0.0-29.0,,,5c929e7b18adb600131a667a,16:46:24,27/03/2024
3996.0,"{""Q0"":""Less""}",[3],delaylearn,survey,sleep2,2vgTIayd7rPhZJxSLeZXo8SMsoZ2,lmdlab-evan-quiz,88,284909,0.0-30.0,,,5c929e7b18adb600131a667a,16:46:24,27/03/2024
3740.0,"{""Q0"":""Good""}",[1],delaylearn,survey,sleep3,2vgTIayd7rPhZJxSLeZXo8SMsoZ2,lmdlab-evan-quiz,89,289411,0.0-31.0,,,5c929e7b18adb600131a667a,16:46:24,27/03/2024
4876.0,"{""Q0"":""Shorter delay""}",[2],delaylearn,survey,delay2,2vgTIayd7rPhZJxSLeZXo8SMsoZ2,lmdlab-evan-quiz,91,298808,0.0-33.0,,,5c929e7b18adb600131a667a,16:46:24,27/03/2024
4159.0,0.5077159901505464,,delaylearn,survey,delay3,2vgTIayd7rPhZJxSLeZXo8SMsoZ2,lmdlab-html-vas-response,92,304478,0.0-34.0,<p style='font-size: 2.2rem; line-height: 1.3'><br>Were you at all bothered or frustrated by<br>the longer delays to point feedback?</p><br>,"['Not at all frustrated by long feedback delays', 'Somewhat frustrated', 'Very frustrated by long feedback delays']",5c929e7b18adb600131a667a,16:46:24,27/03/2024
4967.0,0.5655863577955101,,delaylearn,survey,mood1,2vgTIayd7rPhZJxSLeZXo8SMsoZ2,lmdlab-html-vas-response,93,310968,0.0-35.0,<p style='font-size: 2.2rem; line-height: 1.3'><br>Regarding the <b>happiness ratings</b>:<br>Were you at all bothered or frustrated by<br>the ratings?</p><br>,"['Not at all frustrated by mood ratings', 'Somewhat frustrated', 'Very frustrated by mood ratings']",5c929e7b18adb600131a667a,16:46:24,27/03/2024
3954.0,0.8935546717192566,,delaylearn,survey,engagement1,2vgTIayd7rPhZJxSLeZXo8SMsoZ2,lmdlab-html-vas-response,94,316441,0.0-36.0,"<p style=""font-size: 1.8rem; line-height: 1.3;"">How engaged and focused were you during this task?</p>","['Not at all engaged', 'Very engaged']",5c929e7b18adb600131a667a,16:46:24,27/03/2024
4001.0,"{""Q0"":""Yes""}",[0],delaylearn,survey,engagement2,2vgTIayd7rPhZJxSLeZXo8SMsoZ2,lmdlab-evan-quiz,95,321212,0.0-37.0,,,5c929e7b18adb600131a667a,16:46:24,27/03/2024
19998.10000014305,{'Q0': 'No I did not'},,delaylearn,survey,engagement3,2vgTIayd7rPhZJxSLeZXo8SMsoZ2,lmdlab-survey-text,96,341967,0.0-38.0,,,5c929e7b18adb600131a667a,16:46:24,27/03/2024
26962.400000095367,{'Q0': 'Everything was well explained. '},,delaylearn,survey,comment1,2vgTIayd7rPhZJxSLeZXo8SMsoZ2,lmdlab-survey-text,97,369696,0.0-39.0,,,5c929e7b18adb600131a667a,16:46:24,27/03/2024
