rt,response,choice_idxs,exp_name,exp_stage,q_name,subjectID,trial_type,trial_index,time_elapsed,internal_node_id,stimulus,labels,prolificID,start_time,date
14686.0,"{""Q0"":""Sometimes noticed a pattern""}",[2],delaylearn,survey,delay1,92VU1tf4VmV6HvyXxX5YDNojz5D3,lmdlab-evan-quiz,69,304030,0.0-22.0,,,657867e466a237b839df006a,16:48:29,27/03/2024
11327.0,0.5482631301333735,,delaylearn,survey,state_stress,92VU1tf4VmV6HvyXxX5YDNojz5D3,lmdlab-html-vas-response,86,393227,0.0-28.0,"<p style='font-size: 2.2rem; line-height: 1.3'>How would you rate your current stress level?<br><br>Use the scale below, with 1 being the least<br>stressed and 10 being the most stressed:</p><br><br>","['1<br>Low<br>stress', '2', '3', '4', '5', '6', '7', '8', '9', '10<br>High<br>stress']",657867e466a237b839df006a,16:48:29,27/03/2024
8991.0,"{""Q0"":""Average""}",[2],delaylearn,survey,sleep1,92VU1tf4VmV6HvyXxX5YDNojz5D3,lmdlab-evan-quiz,87,402981,0.0-29.0,,,657867e466a237b839df006a,16:48:29,27/03/2024
5963.0,"{""Q0"":""Average""}",[2],delaylearn,survey,sleep2,92VU1tf4VmV6HvyXxX5YDNojz5D3,lmdlab-evan-quiz,88,409705,0.0-30.0,,,657867e466a237b839df006a,16:48:29,27/03/2024
7315.0,"{""Q0"":""Good""}",[1],delaylearn,survey,sleep3,92VU1tf4VmV6HvyXxX5YDNojz5D3,lmdlab-evan-quiz,89,417785,0.0-31.0,,,657867e466a237b839df006a,16:48:29,27/03/2024
9659.0,"{""Q0"":""Shorter delay""}",[2],delaylearn,survey,delay2,92VU1tf4VmV6HvyXxX5YDNojz5D3,lmdlab-evan-quiz,91,436490,0.0-33.0,,,657867e466a237b839df006a,16:48:29,27/03/2024
6646.0,0.3329151266488081,,delaylearn,survey,delay3,92VU1tf4VmV6HvyXxX5YDNojz5D3,lmdlab-html-vas-response,92,444657,0.0-34.0,<p style='font-size: 2.2rem; line-height: 1.3'><br>Were you at all bothered or frustrated by<br>the longer delays to point feedback?</p><br>,"['Not at all frustrated by long feedback delays', 'Somewhat frustrated', 'Very frustrated by long feedback delays']",657867e466a237b839df006a,16:48:29,27/03/2024
10226.0,0.20704621749008173,,delaylearn,survey,mood1,92VU1tf4VmV6HvyXxX5YDNojz5D3,lmdlab-html-vas-response,93,456412,0.0-35.0,<p style='font-size: 2.2rem; line-height: 1.3'><br>Regarding the <b>happiness ratings</b>:<br>Were you at all bothered or frustrated by<br>the ratings?</p><br>,"['Not at all frustrated by mood ratings', 'Somewhat frustrated', 'Very frustrated by mood ratings']",657867e466a237b839df006a,16:48:29,27/03/2024
5856.0,0.988351983723296,,delaylearn,survey,engagement1,92VU1tf4VmV6HvyXxX5YDNojz5D3,lmdlab-html-vas-response,94,463781,0.0-36.0,"<p style=""font-size: 1.8rem; line-height: 1.3;"">How engaged and focused were you during this task?</p>","['Not at all engaged', 'Very engaged']",657867e466a237b839df006a,16:48:29,27/03/2024
9361.0,"{""Q0"":""Yes""}",[0],delaylearn,survey,engagement2,92VU1tf4VmV6HvyXxX5YDNojz5D3,lmdlab-evan-quiz,95,473911,0.0-37.0,,,657867e466a237b839df006a,16:48:29,27/03/2024
20573.19999998808,{'Q0': 'none'},,delaylearn,survey,engagement3,92VU1tf4VmV6HvyXxX5YDNojz5D3,lmdlab-survey-text,96,495252,0.0-38.0,,,657867e466a237b839df006a,16:48:29,27/03/2024
19658.899999976158,{'Q0': 'it went good overall'},,delaylearn,survey,comment1,92VU1tf4VmV6HvyXxX5YDNojz5D3,lmdlab-survey-text,97,515678,0.0-39.0,,,657867e466a237b839df006a,16:48:29,27/03/2024
