rt,response,choice_idxs,exp_name,exp_stage,q_name,subjectID,trial_type,trial_index,time_elapsed,internal_node_id,stimulus,labels,prolificID,start_time,date
7313.0,"{""Q0"":""Definitely noticed a pattern in the feedback delays""}",[3],delaylearn,survey,delay1,b3w8Y3DxHEPjg1k6C7434QFwnct1,lmdlab-evan-quiz,69,206940,0.0-22.0,,,61bb376b40db417c1a138a52,16:48:54,27/03/2024
2853.0,0.6712380378268404,,delaylearn,survey,state_stress,b3w8Y3DxHEPjg1k6C7434QFwnct1,lmdlab-html-vas-response,86,262832,0.0-28.0,"<p style='font-size: 2.2rem; line-height: 1.3'>How would you rate your current stress level?<br><br>Use the scale below, with 1 being the least<br>stressed and 10 being the most stressed:</p><br><br>","['1<br>Low<br>stress', '2', '3', '4', '5', '6', '7', '8', '9', '10<br>High<br>stress']",61bb376b40db417c1a138a52,16:48:54,27/03/2024
4656.0,"{""Q0"":""Good""}",[1],delaylearn,survey,sleep1,b3w8Y3DxHEPjg1k6C7434QFwnct1,lmdlab-evan-quiz,87,268250,0.0-29.0,,,61bb376b40db417c1a138a52,16:48:54,27/03/2024
2425.0,"{""Q0"":""Average""}",[2],delaylearn,survey,sleep2,b3w8Y3DxHEPjg1k6C7434QFwnct1,lmdlab-evan-quiz,88,271443,0.0-30.0,,,61bb376b40db417c1a138a52,16:48:54,27/03/2024
3236.0,"{""Q0"":""Average""}",[2],delaylearn,survey,sleep3,b3w8Y3DxHEPjg1k6C7434QFwnct1,lmdlab-evan-quiz,89,275438,0.0-31.0,,,61bb376b40db417c1a138a52,16:48:54,27/03/2024
4231.0,"{""Q0"":""Learned much better with with shorter delay""}",[0],delaylearn,survey,delay2,b3w8Y3DxHEPjg1k6C7434QFwnct1,lmdlab-evan-quiz,91,285975,0.0-33.0,,,61bb376b40db417c1a138a52,16:48:54,27/03/2024
4072.0,0.8667729137703029,,delaylearn,survey,delay3,b3w8Y3DxHEPjg1k6C7434QFwnct1,lmdlab-html-vas-response,92,291559,0.0-34.0,<p style='font-size: 2.2rem; line-height: 1.3'><br>Were you at all bothered or frustrated by<br>the longer delays to point feedback?</p><br>,"['Not at all frustrated by long feedback delays', 'Somewhat frustrated', 'Very frustrated by long feedback delays']",61bb376b40db417c1a138a52,16:48:54,27/03/2024
6110.0,0.8385609168898986,,delaylearn,survey,mood1,b3w8Y3DxHEPjg1k6C7434QFwnct1,lmdlab-html-vas-response,93,299189,0.0-35.0,<p style='font-size: 2.2rem; line-height: 1.3'><br>Regarding the <b>happiness ratings</b>:<br>Were you at all bothered or frustrated by<br>the ratings?</p><br>,"['Not at all frustrated by mood ratings', 'Somewhat frustrated', 'Very frustrated by mood ratings']",61bb376b40db417c1a138a52,16:48:54,27/03/2024
3226.0,0.9623092573753815,,delaylearn,survey,engagement1,b3w8Y3DxHEPjg1k6C7434QFwnct1,lmdlab-html-vas-response,94,303949,0.0-36.0,"<p style=""font-size: 1.8rem; line-height: 1.3;"">How engaged and focused were you during this task?</p>","['Not at all engaged', 'Very engaged']",61bb376b40db417c1a138a52,16:48:54,27/03/2024
4593.0,"{""Q0"":""Yes""}",[0],delaylearn,survey,engagement2,b3w8Y3DxHEPjg1k6C7434QFwnct1,lmdlab-evan-quiz,95,309300,0.0-37.0,,,61bb376b40db417c1a138a52,16:48:54,27/03/2024
6356.399999991059,{'Q0': 'Nope'},,delaylearn,survey,engagement3,b3w8Y3DxHEPjg1k6C7434QFwnct1,lmdlab-survey-text,96,316410,0.0-38.0,,,61bb376b40db417c1a138a52,16:48:54,27/03/2024
27535.20000000298,{'Q0': 'Everything was very clear. Was going to suggest sorting out the delay until realising it was intentional'},,delaylearn,survey,comment1,b3w8Y3DxHEPjg1k6C7434QFwnct1,lmdlab-survey-text,97,344697,0.0-39.0,,,61bb376b40db417c1a138a52,16:48:54,27/03/2024
