rt,response,choice_idxs,exp_name,exp_stage,q_name,subjectID,trial_type,trial_index,time_elapsed,internal_node_id,stimulus,labels,prolificID,start_time,date
12445.0,"{""Q0"":""Sometimes noticed a pattern""}",[2],delaylearn,survey,delay1,4ZoiaWCqZ2ZuKIM6Z9hR73OcHrS2,lmdlab-evan-quiz,69,356506,0.0-22.0,,,5feb9a64d42dc5c4926ffe03,16:51:19,27/03/2024
4359.0,0.22138564255116347,,delaylearn,survey,state_stress,4ZoiaWCqZ2ZuKIM6Z9hR73OcHrS2,lmdlab-html-vas-response,86,433905,0.0-28.0,"<p style='font-size: 2.2rem; line-height: 1.3'>How would you rate your current stress level?<br><br>Use the scale below, with 1 being the least<br>stressed and 10 being the most stressed:</p><br><br>","['1<br>Low<br>stress', '2', '3', '4', '5', '6', '7', '8', '9', '10<br>High<br>stress']",5feb9a64d42dc5c4926ffe03,16:51:19,27/03/2024
4726.0,"{""Q0"":""Average""}",[2],delaylearn,survey,sleep1,4ZoiaWCqZ2ZuKIM6Z9hR73OcHrS2,lmdlab-evan-quiz,87,439389,0.0-29.0,,,5feb9a64d42dc5c4926ffe03,16:51:19,27/03/2024
4191.0,"{""Q0"":""Less""}",[3],delaylearn,survey,sleep2,4ZoiaWCqZ2ZuKIM6Z9hR73OcHrS2,lmdlab-evan-quiz,88,444348,0.0-30.0,,,5feb9a64d42dc5c4926ffe03,16:51:19,27/03/2024
3267.0,"{""Q0"":""Good""}",[1],delaylearn,survey,sleep3,4ZoiaWCqZ2ZuKIM6Z9hR73OcHrS2,lmdlab-evan-quiz,89,448383,0.0-31.0,,,5feb9a64d42dc5c4926ffe03,16:51:19,27/03/2024
17030.0,"{""Q0"":""Shorter delay""}",[1],delaylearn,survey,delay2,4ZoiaWCqZ2ZuKIM6Z9hR73OcHrS2,lmdlab-evan-quiz,91,469699,0.0-33.0,,,5feb9a64d42dc5c4926ffe03,16:51:19,27/03/2024
7434.0,0.02546292644251475,,delaylearn,survey,delay3,4ZoiaWCqZ2ZuKIM6Z9hR73OcHrS2,lmdlab-html-vas-response,92,478652,0.0-34.0,<p style='font-size: 2.2rem; line-height: 1.3'><br>Were you at all bothered or frustrated by<br>the longer delays to point feedback?</p><br>,"['Not at all frustrated by long feedback delays', 'Somewhat frustrated', 'Very frustrated by long feedback delays']",5feb9a64d42dc5c4926ffe03,16:51:19,27/03/2024
9879.0,0.12770057594861745,,delaylearn,survey,mood1,4ZoiaWCqZ2ZuKIM6Z9hR73OcHrS2,lmdlab-html-vas-response,93,490059,0.0-35.0,<p style='font-size: 2.2rem; line-height: 1.3'><br>Regarding the <b>happiness ratings</b>:<br>Were you at all bothered or frustrated by<br>the ratings?</p><br>,"['Not at all frustrated by mood ratings', 'Somewhat frustrated', 'Very frustrated by mood ratings']",5feb9a64d42dc5c4926ffe03,16:51:19,27/03/2024
5345.0,0.9745731888069367,,delaylearn,survey,engagement1,4ZoiaWCqZ2ZuKIM6Z9hR73OcHrS2,lmdlab-html-vas-response,94,496928,0.0-36.0,"<p style=""font-size: 1.8rem; line-height: 1.3;"">How engaged and focused were you during this task?</p>","['Not at all engaged', 'Very engaged']",5feb9a64d42dc5c4926ffe03,16:51:19,27/03/2024
5419.0,"{""Q0"":""Yes""}",[0],delaylearn,survey,engagement2,4ZoiaWCqZ2ZuKIM6Z9hR73OcHrS2,lmdlab-evan-quiz,95,503114,0.0-37.0,,,5feb9a64d42dc5c4926ffe03,16:51:19,27/03/2024
32588.800000000745,{'Q0': 'None. I completed fully and accurately with no distractions.'},,delaylearn,survey,engagement3,4ZoiaWCqZ2ZuKIM6Z9hR73OcHrS2,lmdlab-survey-text,96,536457,0.0-38.0,,,5feb9a64d42dc5c4926ffe03,16:51:19,27/03/2024
22967.300000000745,{'Q0': 'Enjoyed trying to work out any patterns and taking part.'},,delaylearn,survey,comment1,4ZoiaWCqZ2ZuKIM6Z9hR73OcHrS2,lmdlab-survey-text,97,560176,0.0-39.0,,,5feb9a64d42dc5c4926ffe03,16:51:19,27/03/2024
