rt,response,choice_idxs,exp_name,exp_stage,q_name,subjectID,trial_type,trial_index,time_elapsed,internal_node_id,stimulus,labels,prolificID,start_time,date
9123.0,"{""Q0"":""Did not notice a pattern""}",[1],delaylearn,survey,delay1,l64fJTO72RMtCCO99thFg0jCTzh1,lmdlab-evan-quiz,69,236548,0.0-22.0,,,5c4068a67f81e900012b281e,16:51:32,27/03/2024
3152.0,0.2993784160325796,,delaylearn,survey,state_stress,l64fJTO72RMtCCO99thFg0jCTzh1,lmdlab-html-vas-response,86,310989,0.0-28.0,"<p style='font-size: 2.2rem; line-height: 1.3'>How would you rate your current stress level?<br><br>Use the scale below, with 1 being the least<br>stressed and 10 being the most stressed:</p><br><br>","['1<br>Low<br>stress', '2', '3', '4', '5', '6', '7', '8', '9', '10<br>High<br>stress']",5c4068a67f81e900012b281e,16:51:32,27/03/2024
2527.0,"{""Q0"":""Poor""}",[3],delaylearn,survey,sleep1,l64fJTO72RMtCCO99thFg0jCTzh1,lmdlab-evan-quiz,87,314267,0.0-29.0,,,5c4068a67f81e900012b281e,16:51:32,27/03/2024
3108.0,"{""Q0"":""Less""}",[3],delaylearn,survey,sleep2,l64fJTO72RMtCCO99thFg0jCTzh1,lmdlab-evan-quiz,88,318127,0.0-30.0,,,5c4068a67f81e900012b281e,16:51:32,27/03/2024
3475.0,"{""Q0"":""Poor""}",[3],delaylearn,survey,sleep3,l64fJTO72RMtCCO99thFg0jCTzh1,lmdlab-evan-quiz,89,322356,0.0-31.0,,,5c4068a67f81e900012b281e,16:51:32,27/03/2024
10092.0,"{""Q0"":""Shorter delay""}",[1],delaylearn,survey,delay2,l64fJTO72RMtCCO99thFg0jCTzh1,lmdlab-evan-quiz,91,336961,0.0-33.0,,,5c4068a67f81e900012b281e,16:51:32,27/03/2024
4969.0,0.5385802469135802,,delaylearn,survey,delay3,l64fJTO72RMtCCO99thFg0jCTzh1,lmdlab-html-vas-response,92,343438,0.0-34.0,<p style='font-size: 2.2rem; line-height: 1.3'><br>Were you at all bothered or frustrated by<br>the longer delays to point feedback?</p><br>,"['Not at all frustrated by long feedback delays', 'Somewhat frustrated', 'Very frustrated by long feedback delays']",5c4068a67f81e900012b281e,16:51:32,27/03/2024
7287.0,0.4645061728395062,,delaylearn,survey,mood1,l64fJTO72RMtCCO99thFg0jCTzh1,lmdlab-html-vas-response,93,352232,0.0-35.0,<p style='font-size: 2.2rem; line-height: 1.3'><br>Regarding the <b>happiness ratings</b>:<br>Were you at all bothered or frustrated by<br>the ratings?</p><br>,"['Not at all frustrated by mood ratings', 'Somewhat frustrated', 'Very frustrated by mood ratings']",5c4068a67f81e900012b281e,16:51:32,27/03/2024
2962.0,0.6712962962962963,,delaylearn,survey,engagement1,l64fJTO72RMtCCO99thFg0jCTzh1,lmdlab-html-vas-response,94,356698,0.0-36.0,"<p style=""font-size: 1.8rem; line-height: 1.3;"">How engaged and focused were you during this task?</p>","['Not at all engaged', 'Very engaged']",5c4068a67f81e900012b281e,16:51:32,27/03/2024
3454.0,"{""Q0"":""Yes""}",[0],delaylearn,survey,engagement2,l64fJTO72RMtCCO99thFg0jCTzh1,lmdlab-evan-quiz,95,360918,0.0-37.0,,,5c4068a67f81e900012b281e,16:51:32,27/03/2024
16320.400000000373,{'Q0': 'n/a '},,delaylearn,survey,engagement3,l64fJTO72RMtCCO99thFg0jCTzh1,lmdlab-survey-text,96,377990,0.0-38.0,,,5c4068a67f81e900012b281e,16:51:32,27/03/2024
18244.299999999814,{'Q0': 'maybe a progress bar showing progress through the whole experiment'},,delaylearn,survey,comment1,l64fJTO72RMtCCO99thFg0jCTzh1,lmdlab-survey-text,97,396991,0.0-39.0,,,5c4068a67f81e900012b281e,16:51:32,27/03/2024
