rt,response,choice_idxs,exp_name,exp_stage,q_name,subjectID,trial_type,trial_index,time_elapsed,internal_node_id,stimulus,labels,prolificID,start_time,date
12517.0,"{""Q0"":""Definitely noticed a pattern in the feedback delays""}",[3],delaylearn,survey,delay1,uWf5fk0seCT5az2jQqZrKINOYOt1,lmdlab-evan-quiz,69,262697,0.0-22.0,,,605772a89b984daa51fb5692,16:53:19,27/03/2024
3358.0,0.6886453756296217,,delaylearn,survey,state_stress,uWf5fk0seCT5az2jQqZrKINOYOt1,lmdlab-html-vas-response,86,327074,0.0-28.0,"<p style='font-size: 2.2rem; line-height: 1.3'>How would you rate your current stress level?<br><br>Use the scale below, with 1 being the least<br>stressed and 10 being the most stressed:</p><br><br>","['1<br>Low<br>stress', '2', '3', '4', '5', '6', '7', '8', '9', '10<br>High<br>stress']",605772a89b984daa51fb5692,16:53:19,27/03/2024
2831.0,"{""Q0"":""Poor""}",[3],delaylearn,survey,sleep1,uWf5fk0seCT5az2jQqZrKINOYOt1,lmdlab-evan-quiz,87,330674,0.0-29.0,,,605772a89b984daa51fb5692,16:53:19,27/03/2024
4827.0,"{""Q0"":""Less""}",[3],delaylearn,survey,sleep2,uWf5fk0seCT5az2jQqZrKINOYOt1,lmdlab-evan-quiz,88,336271,0.0-30.0,,,605772a89b984daa51fb5692,16:53:19,27/03/2024
2780.0,"{""Q0"":""Average""}",[2],delaylearn,survey,sleep3,uWf5fk0seCT5az2jQqZrKINOYOt1,lmdlab-evan-quiz,89,339813,0.0-31.0,,,605772a89b984daa51fb5692,16:53:19,27/03/2024
7580.0,"{""Q0"":""Learned much better with shorter delay""}",[3],delaylearn,survey,delay2,uWf5fk0seCT5az2jQqZrKINOYOt1,lmdlab-evan-quiz,91,350528,0.0-33.0,,,605772a89b984daa51fb5692,16:53:19,27/03/2024
4012.0,0.5679253472222222,,delaylearn,survey,delay3,uWf5fk0seCT5az2jQqZrKINOYOt1,lmdlab-html-vas-response,92,356065,0.0-34.0,<p style='font-size: 2.2rem; line-height: 1.3'><br>Were you at all bothered or frustrated by<br>the longer delays to point feedback?</p><br>,"['Not at all frustrated by long feedback delays', 'Somewhat frustrated', 'Very frustrated by long feedback delays']",605772a89b984daa51fb5692,16:53:19,27/03/2024
5090.0,0.6203944830246914,,delaylearn,survey,mood1,uWf5fk0seCT5az2jQqZrKINOYOt1,lmdlab-html-vas-response,93,362677,0.0-35.0,<p style='font-size: 2.2rem; line-height: 1.3'><br>Regarding the <b>happiness ratings</b>:<br>Were you at all bothered or frustrated by<br>the ratings?</p><br>,"['Not at all frustrated by mood ratings', 'Somewhat frustrated', 'Very frustrated by mood ratings']",605772a89b984daa51fb5692,16:53:19,27/03/2024
2579.0,0.9004991319444444,,delaylearn,survey,engagement1,uWf5fk0seCT5az2jQqZrKINOYOt1,lmdlab-html-vas-response,94,366775,0.0-36.0,"<p style=""font-size: 1.8rem; line-height: 1.3;"">How engaged and focused were you during this task?</p>","['Not at all engaged', 'Very engaged']",605772a89b984daa51fb5692,16:53:19,27/03/2024
5470.0,"{""Q0"":""Yes""}",[0],delaylearn,survey,engagement2,uWf5fk0seCT5az2jQqZrKINOYOt1,lmdlab-evan-quiz,95,373015,0.0-37.0,,,605772a89b984daa51fb5692,16:53:19,27/03/2024
14974.400000095367,{'Q0': 'Not really.'},,delaylearn,survey,engagement3,uWf5fk0seCT5az2jQqZrKINOYOt1,lmdlab-survey-text,96,388756,0.0-38.0,,,605772a89b984daa51fb5692,16:53:19,27/03/2024
61897.799999952316,"{'Q0': ""I'm not sure what to suggest but I did really enjoy doing this study, better than most studies i received.""}",,delaylearn,survey,comment1,uWf5fk0seCT5az2jQqZrKINOYOt1,lmdlab-survey-text,97,451406,0.0-39.0,,,605772a89b984daa51fb5692,16:53:19,27/03/2024
