rt,response,choice_idxs,exp_name,exp_stage,q_name,subjectID,trial_type,trial_index,time_elapsed,internal_node_id,stimulus,labels,prolificID,start_time,date
9906,"{""Q0"":""Did not notice a pattern""}",[1],delaylearn,survey,delay1,BMN4zMU9PwdgRSTOmX2osTnrKBC3,lmdlab-evan-quiz,69,280418,0.0-22.0,,,63d3f99c57f6b09e77ce7c82,16:53:20,27/03/2024
4686,0.30962275561377145,,delaylearn,survey,state_stress,BMN4zMU9PwdgRSTOmX2osTnrKBC3,lmdlab-html-vas-response,86,413728,0.0-28.0,"<p style='font-size: 2.2rem; line-height: 1.3'>How would you rate your current stress level?<br><br>Use the scale below, with 1 being the least<br>stressed and 10 being the most stressed:</p><br><br>","['1<br>Low<br>stress', '2', '3', '4', '5', '6', '7', '8', '9', '10<br>High<br>stress']",63d3f99c57f6b09e77ce7c82,16:53:20,27/03/2024
3588,"{""Q0"":""Average""}",[2],delaylearn,survey,sleep1,BMN4zMU9PwdgRSTOmX2osTnrKBC3,lmdlab-evan-quiz,87,418078,0.0-29.0,,,63d3f99c57f6b09e77ce7c82,16:53:20,27/03/2024
5761,"{""Q0"":""More sleep""}",[1],delaylearn,survey,sleep2,BMN4zMU9PwdgRSTOmX2osTnrKBC3,lmdlab-evan-quiz,88,424601,0.0-30.0,,,63d3f99c57f6b09e77ce7c82,16:53:20,27/03/2024
4628,"{""Q0"":""Poor""}",[3],delaylearn,survey,sleep3,BMN4zMU9PwdgRSTOmX2osTnrKBC3,lmdlab-evan-quiz,89,429990,0.0-31.0,,,63d3f99c57f6b09e77ce7c82,16:53:20,27/03/2024
8145,"{""Q0"":""Shorter delay""}",[2],delaylearn,survey,delay2,BMN4zMU9PwdgRSTOmX2osTnrKBC3,lmdlab-evan-quiz,91,443254,0.0-33.0,,,63d3f99c57f6b09e77ce7c82,16:53:20,27/03/2024
5825,0.1495586644823306,,delaylearn,survey,delay3,BMN4zMU9PwdgRSTOmX2osTnrKBC3,lmdlab-html-vas-response,92,450600,0.0-34.0,<p style='font-size: 2.2rem; line-height: 1.3'><br>Were you at all bothered or frustrated by<br>the longer delays to point feedback?</p><br>,"['Not at all frustrated by long feedback delays', 'Somewhat frustrated', 'Very frustrated by long feedback delays']",63d3f99c57f6b09e77ce7c82,16:53:20,27/03/2024
4679,0.5078141161957263,,delaylearn,survey,mood1,BMN4zMU9PwdgRSTOmX2osTnrKBC3,lmdlab-html-vas-response,93,456796,0.0-35.0,<p style='font-size: 2.2rem; line-height: 1.3'><br>Regarding the <b>happiness ratings</b>:<br>Were you at all bothered or frustrated by<br>the ratings?</p><br>,"['Not at all frustrated by mood ratings', 'Somewhat frustrated', 'Very frustrated by mood ratings']",63d3f99c57f6b09e77ce7c82,16:53:20,27/03/2024
3992,0.8084501462562061,,delaylearn,survey,engagement1,BMN4zMU9PwdgRSTOmX2osTnrKBC3,lmdlab-html-vas-response,94,462303,0.0-36.0,"<p style=""font-size: 1.8rem; line-height: 1.3;"">How engaged and focused were you during this task?</p>","['Not at all engaged', 'Very engaged']",63d3f99c57f6b09e77ce7c82,16:53:20,27/03/2024
4251,"{""Q0"":""Yes""}",[0],delaylearn,survey,engagement2,BMN4zMU9PwdgRSTOmX2osTnrKBC3,lmdlab-evan-quiz,95,467317,0.0-37.0,,,63d3f99c57f6b09e77ce7c82,16:53:20,27/03/2024
6442,{'Q0': 'None'},,delaylearn,survey,engagement3,BMN4zMU9PwdgRSTOmX2osTnrKBC3,lmdlab-survey-text,96,474519,0.0-38.0,,,63d3f99c57f6b09e77ce7c82,16:53:20,27/03/2024
27495,"{'Q0': ""Everything was clear, and each section felt like an appropriate amount of time, so it didn't get too tedious. ""}",,delaylearn,survey,comment1,BMN4zMU9PwdgRSTOmX2osTnrKBC3,lmdlab-survey-text,97,502773,0.0-39.0,,,63d3f99c57f6b09e77ce7c82,16:53:20,27/03/2024
