rt,response,choice_idxs,exp_name,exp_stage,q_name,subjectID,trial_type,trial_index,time_elapsed,internal_node_id,stimulus,labels,prolificID,start_time,date
5596.0,"{""Q0"":""Did not notice a pattern""}",[1],delaylearn,survey,delay1,OShMZSBECRYy9VNGpRij6UFmQi12,lmdlab-evan-quiz,69,187200,0.0-22.0,,,5a8a8de6000dab00018cc170,16:53:47,27/03/2024
3490.0,0.8806933876326224,,delaylearn,survey,state_stress,OShMZSBECRYy9VNGpRij6UFmQi12,lmdlab-html-vas-response,86,235022,0.0-28.0,"<p style='font-size: 2.2rem; line-height: 1.3'>How would you rate your current stress level?<br><br>Use the scale below, with 1 being the least<br>stressed and 10 being the most stressed:</p><br><br>","['1<br>Low<br>stress', '2', '3', '4', '5', '6', '7', '8', '9', '10<br>High<br>stress']",5a8a8de6000dab00018cc170,16:53:47,27/03/2024
2332.0,"{""Q0"":""Poor""}",[3],delaylearn,survey,sleep1,OShMZSBECRYy9VNGpRij6UFmQi12,lmdlab-evan-quiz,87,238111,0.0-29.0,,,5a8a8de6000dab00018cc170,16:53:47,27/03/2024
3724.0,"{""Q0"":""Less""}",[3],delaylearn,survey,sleep2,OShMZSBECRYy9VNGpRij6UFmQi12,lmdlab-evan-quiz,88,242592,0.0-30.0,,,5a8a8de6000dab00018cc170,16:53:47,27/03/2024
2235.0,"{""Q0"":""Very poor""}",[4],delaylearn,survey,sleep3,OShMZSBECRYy9VNGpRij6UFmQi12,lmdlab-evan-quiz,89,245583,0.0-31.0,,,5a8a8de6000dab00018cc170,16:53:47,27/03/2024
6487.0,"{""Q0"":""Shorter delay""}",[1],delaylearn,survey,delay2,OShMZSBECRYy9VNGpRij6UFmQi12,lmdlab-evan-quiz,91,254767,0.0-33.0,,,5a8a8de6000dab00018cc170,16:53:47,27/03/2024
5443.0,0.5031105324074074,,delaylearn,survey,delay3,OShMZSBECRYy9VNGpRij6UFmQi12,lmdlab-html-vas-response,92,261727,0.0-34.0,<p style='font-size: 2.2rem; line-height: 1.3'><br>Were you at all bothered or frustrated by<br>the longer delays to point feedback?</p><br>,"['Not at all frustrated by long feedback delays', 'Somewhat frustrated', 'Very frustrated by long feedback delays']",5a8a8de6000dab00018cc170,16:53:47,27/03/2024
4563.0,0.3333574459876543,,delaylearn,survey,mood1,OShMZSBECRYy9VNGpRij6UFmQi12,lmdlab-html-vas-response,93,267807,0.0-35.0,<p style='font-size: 2.2rem; line-height: 1.3'><br>Regarding the <b>happiness ratings</b>:<br>Were you at all bothered or frustrated by<br>the ratings?</p><br>,"['Not at all frustrated by mood ratings', 'Somewhat frustrated', 'Very frustrated by mood ratings']",5a8a8de6000dab00018cc170,16:53:47,27/03/2024
2364.0,0.8796657986111112,,delaylearn,survey,engagement1,OShMZSBECRYy9VNGpRij6UFmQi12,lmdlab-html-vas-response,94,271695,0.0-36.0,"<p style=""font-size: 1.8rem; line-height: 1.3;"">How engaged and focused were you during this task?</p>","['Not at all engaged', 'Very engaged']",5a8a8de6000dab00018cc170,16:53:47,27/03/2024
2932.0,"{""Q0"":""Yes""}",[0],delaylearn,survey,engagement2,OShMZSBECRYy9VNGpRij6UFmQi12,lmdlab-evan-quiz,95,275391,0.0-37.0,,,5a8a8de6000dab00018cc170,16:53:47,27/03/2024
8076.400000095367,{'Q0': 'None'},,delaylearn,survey,engagement3,OShMZSBECRYy9VNGpRij6UFmQi12,lmdlab-survey-text,96,284223,0.0-38.0,,,5a8a8de6000dab00018cc170,16:53:47,27/03/2024
34859.699999809265,{'Q0': 'I enjoyed trying to initially remember the one that had the higher percentage of success with little word associations in my mind. Everything was very clear - no need for improvements.'},,delaylearn,survey,comment1,OShMZSBECRYy9VNGpRij6UFmQi12,lmdlab-survey-text,97,319839,0.0-39.0,,,5a8a8de6000dab00018cc170,16:53:47,27/03/2024
