rt,response,choice_idxs,exp_name,exp_stage,q_name,subjectID,trial_type,trial_index,time_elapsed,internal_node_id,stimulus,labels,prolificID,start_time,date
9210.0,"{""Q0"":""Sometimes noticed a pattern""}",[2],delaylearn,survey,delay1,T0KQdBdDCIXxCUdRW0QyCVgalRn1,lmdlab-evan-quiz,69,272162,0.0-22.0,,,5ffaff9cd071dd4e7ce5e31a,16:54:29,27/03/2024
8069.0,0.2196441329408036,,delaylearn,survey,state_stress,T0KQdBdDCIXxCUdRW0QyCVgalRn1,lmdlab-html-vas-response,86,356182,0.0-28.0,"<p style='font-size: 2.2rem; line-height: 1.3'>How would you rate your current stress level?<br><br>Use the scale below, with 1 being the least<br>stressed and 10 being the most stressed:</p><br><br>","['1<br>Low<br>stress', '2', '3', '4', '5', '6', '7', '8', '9', '10<br>High<br>stress']",5ffaff9cd071dd4e7ce5e31a,16:54:29,27/03/2024
4840.0,"{""Q0"":""Average""}",[2],delaylearn,survey,sleep1,T0KQdBdDCIXxCUdRW0QyCVgalRn1,lmdlab-evan-quiz,87,361799,0.0-29.0,,,5ffaff9cd071dd4e7ce5e31a,16:54:29,27/03/2024
8627.0,"{""Q0"":""Average""}",[2],delaylearn,survey,sleep2,T0KQdBdDCIXxCUdRW0QyCVgalRn1,lmdlab-evan-quiz,88,371201,0.0-30.0,,,5ffaff9cd071dd4e7ce5e31a,16:54:29,27/03/2024
4431.0,"{""Q0"":""Poor""}",[3],delaylearn,survey,sleep3,T0KQdBdDCIXxCUdRW0QyCVgalRn1,lmdlab-evan-quiz,89,376403,0.0-31.0,,,5ffaff9cd071dd4e7ce5e31a,16:54:29,27/03/2024
8889.0,"{""Q0"":""Learned much better with shorter delay""}",[3],delaylearn,survey,delay2,T0KQdBdDCIXxCUdRW0QyCVgalRn1,lmdlab-evan-quiz,91,390103,0.0-33.0,,,5ffaff9cd071dd4e7ce5e31a,16:54:29,27/03/2024
8694.0,0.7731481481481481,,delaylearn,survey,delay3,T0KQdBdDCIXxCUdRW0QyCVgalRn1,lmdlab-html-vas-response,92,400333,0.0-34.0,<p style='font-size: 2.2rem; line-height: 1.3'><br>Were you at all bothered or frustrated by<br>the longer delays to point feedback?</p><br>,"['Not at all frustrated by long feedback delays', 'Somewhat frustrated', 'Very frustrated by long feedback delays']",5ffaff9cd071dd4e7ce5e31a,16:54:29,27/03/2024
10346.0,0.2569444444444444,,delaylearn,survey,mood1,T0KQdBdDCIXxCUdRW0QyCVgalRn1,lmdlab-html-vas-response,93,412201,0.0-35.0,<p style='font-size: 2.2rem; line-height: 1.3'><br>Regarding the <b>happiness ratings</b>:<br>Were you at all bothered or frustrated by<br>the ratings?</p><br>,"['Not at all frustrated by mood ratings', 'Somewhat frustrated', 'Very frustrated by mood ratings']",5ffaff9cd071dd4e7ce5e31a,16:54:29,27/03/2024
4895.0,0.9479528003268771,,delaylearn,survey,engagement1,T0KQdBdDCIXxCUdRW0QyCVgalRn1,lmdlab-html-vas-response,94,418620,0.0-36.0,"<p style=""font-size: 1.8rem; line-height: 1.3;"">How engaged and focused were you during this task?</p>","['Not at all engaged', 'Very engaged']",5ffaff9cd071dd4e7ce5e31a,16:54:29,27/03/2024
5560.0,"{""Q0"":""Yes""}",[0],delaylearn,survey,engagement2,T0KQdBdDCIXxCUdRW0QyCVgalRn1,lmdlab-evan-quiz,95,424947,0.0-37.0,,,5ffaff9cd071dd4e7ce5e31a,16:54:29,27/03/2024
5753.100000143051,{'Q0': 'None'},,delaylearn,survey,engagement3,T0KQdBdDCIXxCUdRW0QyCVgalRn1,lmdlab-survey-text,96,431456,0.0-38.0,,,5ffaff9cd071dd4e7ce5e31a,16:54:29,27/03/2024
23678.39999985695,{'Q0': 'I enjoyed this task as it was something different but the delays in feedback annoyed me.'},,delaylearn,survey,comment1,T0KQdBdDCIXxCUdRW0QyCVgalRn1,lmdlab-survey-text,97,455899,0.0-39.0,,,5ffaff9cd071dd4e7ce5e31a,16:54:29,27/03/2024
