rt,response,choice_idxs,exp_name,exp_stage,q_name,subjectID,trial_type,trial_index,time_elapsed,internal_node_id,stimulus,labels,prolificID,start_time,date
9348.0,"{""Q0"":""Definitely noticed a pattern in the feedback delays""}",[3],delaylearn,survey,delay1,xrE6pwXf6nOfeb59ns940WYZyNl1,lmdlab-evan-quiz,69,270046,0.0-22.0,,,60394fde95a5a03dcc668c4b,16:55:33,27/03/2024
4011.0,0.5823062080580373,,delaylearn,survey,state_stress,xrE6pwXf6nOfeb59ns940WYZyNl1,lmdlab-html-vas-response,86,331684,0.0-28.0,"<p style='font-size: 2.2rem; line-height: 1.3'>How would you rate your current stress level?<br><br>Use the scale below, with 1 being the least<br>stressed and 10 being the most stressed:</p><br><br>","['1<br>Low<br>stress', '2', '3', '4', '5', '6', '7', '8', '9', '10<br>High<br>stress']",60394fde95a5a03dcc668c4b,16:55:33,27/03/2024
6725.0,"{""Q0"":""Very poor""}",[4],delaylearn,survey,sleep1,xrE6pwXf6nOfeb59ns940WYZyNl1,lmdlab-evan-quiz,87,339169,0.0-29.0,,,60394fde95a5a03dcc668c4b,16:55:33,27/03/2024
5723.0,"{""Q0"":""Much less sleep""}",[4],delaylearn,survey,sleep2,xrE6pwXf6nOfeb59ns940WYZyNl1,lmdlab-evan-quiz,88,345650,0.0-30.0,,,60394fde95a5a03dcc668c4b,16:55:33,27/03/2024
4672.0,"{""Q0"":""Poor""}",[3],delaylearn,survey,sleep3,xrE6pwXf6nOfeb59ns940WYZyNl1,lmdlab-evan-quiz,89,351083,0.0-31.0,,,60394fde95a5a03dcc668c4b,16:55:33,27/03/2024
5424.0,"{""Q0"":""Longer delay""}",[1],delaylearn,survey,delay2,xrE6pwXf6nOfeb59ns940WYZyNl1,lmdlab-evan-quiz,91,358958,0.0-33.0,,,60394fde95a5a03dcc668c4b,16:55:33,27/03/2024
26137.0,0.5,,delaylearn,survey,delay3,xrE6pwXf6nOfeb59ns940WYZyNl1,lmdlab-html-vas-response,92,386616,0.0-34.0,<p style='font-size: 2.2rem; line-height: 1.3'><br>Were you at all bothered or frustrated by<br>the longer delays to point feedback?</p><br>,"['Not at all frustrated by long feedback delays', 'Somewhat frustrated', 'Very frustrated by long feedback delays']",60394fde95a5a03dcc668c4b,16:55:33,27/03/2024
18658.0,0.5138888888888888,,delaylearn,survey,mood1,xrE6pwXf6nOfeb59ns940WYZyNl1,lmdlab-html-vas-response,93,406796,0.0-35.0,<p style='font-size: 2.2rem; line-height: 1.3'><br>Regarding the <b>happiness ratings</b>:<br>Were you at all bothered or frustrated by<br>the ratings?</p><br>,"['Not at all frustrated by mood ratings', 'Somewhat frustrated', 'Very frustrated by mood ratings']",60394fde95a5a03dcc668c4b,16:55:33,27/03/2024
8197.0,0.9514250225490994,,delaylearn,survey,engagement1,xrE6pwXf6nOfeb59ns940WYZyNl1,lmdlab-html-vas-response,94,416502,0.0-36.0,"<p style=""font-size: 1.8rem; line-height: 1.3;"">How engaged and focused were you during this task?</p>","['Not at all engaged', 'Very engaged']",60394fde95a5a03dcc668c4b,16:55:33,27/03/2024
6910.0,"{""Q0"":""Yes""}",[0],delaylearn,survey,engagement2,xrE6pwXf6nOfeb59ns940WYZyNl1,lmdlab-evan-quiz,95,424170,0.0-37.0,,,60394fde95a5a03dcc668c4b,16:55:33,27/03/2024
43754.60000002384,"{'Q0': ""no i didn't experience that.""}",,delaylearn,survey,engagement3,xrE6pwXf6nOfeb59ns940WYZyNl1,lmdlab-survey-text,96,468689,0.0-38.0,,,60394fde95a5a03dcc668c4b,16:55:33,27/03/2024
12503.899999976158,{'Q0': 'a bit boring.'},,delaylearn,survey,comment1,xrE6pwXf6nOfeb59ns940WYZyNl1,lmdlab-survey-text,97,481949,0.0-39.0,,,60394fde95a5a03dcc668c4b,16:55:33,27/03/2024
