rt,response,choice_idxs,exp_name,exp_stage,q_name,subjectID,trial_type,trial_index,time_elapsed,internal_node_id,stimulus,labels,prolificID,start_time,date
12792.0,"{""Q0"":""Sometimes noticed a pattern""}",[2],delaylearn,survey,delay1,pjcAE2Em1WZ2ZrygS9ZqsCd8VRA3,lmdlab-evan-quiz,69,671751,0.0-22.0,,,64333e37b0fca53775bad01a,16:55:37,27/03/2024
17005.0,0.06855224941006484,,delaylearn,survey,state_stress,pjcAE2Em1WZ2ZrygS9ZqsCd8VRA3,lmdlab-html-vas-response,86,881708,0.0-28.0,"<p style='font-size: 2.2rem; line-height: 1.3'>How would you rate your current stress level?<br><br>Use the scale below, with 1 being the least<br>stressed and 10 being the most stressed:</p><br><br>","['1<br>Low<br>stress', '2', '3', '4', '5', '6', '7', '8', '9', '10<br>High<br>stress']",64333e37b0fca53775bad01a,16:55:37,27/03/2024
4217.0,"{""Q0"":""Average""}",[2],delaylearn,survey,sleep1,pjcAE2Em1WZ2ZrygS9ZqsCd8VRA3,lmdlab-evan-quiz,87,886688,0.0-29.0,,,64333e37b0fca53775bad01a,16:55:37,27/03/2024
6766.0,"{""Q0"":""More sleep""}",[1],delaylearn,survey,sleep2,pjcAE2Em1WZ2ZrygS9ZqsCd8VRA3,lmdlab-evan-quiz,88,894221,0.0-30.0,,,64333e37b0fca53775bad01a,16:55:37,27/03/2024
6595.0,"{""Q0"":""Average""}",[2],delaylearn,survey,sleep3,pjcAE2Em1WZ2ZrygS9ZqsCd8VRA3,lmdlab-evan-quiz,89,901587,0.0-31.0,,,64333e37b0fca53775bad01a,16:55:37,27/03/2024
10832.0,"{""Q0"":""Shorter delay""}",[1],delaylearn,survey,delay2,pjcAE2Em1WZ2ZrygS9ZqsCd8VRA3,lmdlab-evan-quiz,91,919721,0.0-33.0,,,64333e37b0fca53775bad01a,16:55:37,27/03/2024
7706.0,0.002391099103090034,,delaylearn,survey,delay3,pjcAE2Em1WZ2ZrygS9ZqsCd8VRA3,lmdlab-html-vas-response,92,928951,0.0-34.0,<p style='font-size: 2.2rem; line-height: 1.3'><br>Were you at all bothered or frustrated by<br>the longer delays to point feedback?</p><br>,"['Not at all frustrated by long feedback delays', 'Somewhat frustrated', 'Very frustrated by long feedback delays']",64333e37b0fca53775bad01a,16:55:37,27/03/2024
7712.0,0.0008295649949496037,,delaylearn,survey,mood1,pjcAE2Em1WZ2ZrygS9ZqsCd8VRA3,lmdlab-html-vas-response,93,938195,0.0-35.0,<p style='font-size: 2.2rem; line-height: 1.3'><br>Regarding the <b>happiness ratings</b>:<br>Were you at all bothered or frustrated by<br>the ratings?</p><br>,"['Not at all frustrated by mood ratings', 'Somewhat frustrated', 'Very frustrated by mood ratings']",64333e37b0fca53775bad01a,16:55:37,27/03/2024
4379.0,0.6179089287165624,,delaylearn,survey,engagement1,pjcAE2Em1WZ2ZrygS9ZqsCd8VRA3,lmdlab-html-vas-response,94,944100,0.0-36.0,"<p style=""font-size: 1.8rem; line-height: 1.3;"">How engaged and focused were you during this task?</p>","['Not at all engaged', 'Very engaged']",64333e37b0fca53775bad01a,16:55:37,27/03/2024
5858.0,"{""Q0"":""Somewhat""}",[1],delaylearn,survey,engagement2,pjcAE2Em1WZ2ZrygS9ZqsCd8VRA3,lmdlab-evan-quiz,95,950718,0.0-37.0,,,64333e37b0fca53775bad01a,16:55:37,27/03/2024
23261.29999999702,"{'Q0': 'The need to have noise in the background, such as music'}",,delaylearn,survey,engagement3,pjcAE2Em1WZ2ZrygS9ZqsCd8VRA3,lmdlab-survey-text,96,974750,0.0-38.0,,,64333e37b0fca53775bad01a,16:55:37,27/03/2024
38149.39999999106,{'Q0': 'Not necessarily enjoy/not enjoy but the pattern changes of the pictures being right or right were hard to predict at times.'},,delaylearn,survey,comment1,pjcAE2Em1WZ2ZrygS9ZqsCd8VRA3,lmdlab-survey-text,97,1013657,0.0-39.0,,,64333e37b0fca53775bad01a,16:55:37,27/03/2024
