rt,response,choice_idxs,exp_name,exp_stage,q_name,subjectID,databaseID,trial_type,trial_index,time_elapsed,internal_node_id,stimulus,labels,prolificID,start_time,date
9680.0,"{""Q0"":""Did not notice a pattern""}",[1],delaylearn,survey,delay1,muJ8ZgPLXSW0ladHZrfyk6RX81j2,not found,lmdlab-evan-quiz,69,324928,0.0-22.0,,,5e7c55274f63942a04b08c29,16:58:12,27/03/2024
7879.0,0.8215356565066345,,delaylearn,survey,state_stress,muJ8ZgPLXSW0ladHZrfyk6RX81j2,not found,lmdlab-html-vas-response,86,420026,0.0-28.0,"<p style='font-size: 2.2rem; line-height: 1.3'>How would you rate your current stress level?<br><br>Use the scale below, with 1 being the least<br>stressed and 10 being the most stressed:</p><br><br>","['1<br>Low<br>stress', '2', '3', '4', '5', '6', '7', '8', '9', '10<br>High<br>stress']",5e7c55274f63942a04b08c29,16:58:12,27/03/2024
5523.0,"{""Q0"":""Poor""}",[3],delaylearn,survey,sleep1,muJ8ZgPLXSW0ladHZrfyk6RX81j2,not found,lmdlab-evan-quiz,87,426308,0.0-29.0,,,5e7c55274f63942a04b08c29,16:58:12,27/03/2024
7677.0,"{""Q0"":""More sleep""}",[1],delaylearn,survey,sleep2,muJ8ZgPLXSW0ladHZrfyk6RX81j2,not found,lmdlab-evan-quiz,88,434749,0.0-30.0,,,5e7c55274f63942a04b08c29,16:58:12,27/03/2024
4695.0,"{""Q0"":""Poor""}",[3],delaylearn,survey,sleep3,muJ8ZgPLXSW0ladHZrfyk6RX81j2,not found,lmdlab-evan-quiz,89,440211,0.0-31.0,,,5e7c55274f63942a04b08c29,16:58:12,27/03/2024
10864.0,"{""Q0"":""Shorter delay""}",[1],delaylearn,survey,delay2,muJ8ZgPLXSW0ladHZrfyk6RX81j2,not found,lmdlab-evan-quiz,91,456205,0.0-33.0,,,5e7c55274f63942a04b08c29,16:58:12,27/03/2024
6115.0,0.33603389947048706,,delaylearn,survey,delay3,muJ8ZgPLXSW0ladHZrfyk6RX81j2,not found,lmdlab-html-vas-response,92,463857,0.0-34.0,<p style='font-size: 2.2rem; line-height: 1.3'><br>Were you at all bothered or frustrated by<br>the longer delays to point feedback?</p><br>,"['Not at all frustrated by long feedback delays', 'Somewhat frustrated', 'Very frustrated by long feedback delays']",5e7c55274f63942a04b08c29,16:58:12,27/03/2024
8331.0,0.006172803894193489,,delaylearn,survey,mood1,muJ8ZgPLXSW0ladHZrfyk6RX81j2,not found,lmdlab-html-vas-response,93,473726,0.0-35.0,<p style='font-size: 2.2rem; line-height: 1.3'><br>Regarding the <b>happiness ratings</b>:<br>Were you at all bothered or frustrated by<br>the ratings?</p><br>,"['Not at all frustrated by mood ratings', 'Somewhat frustrated', 'Very frustrated by mood ratings']",5e7c55274f63942a04b08c29,16:58:12,27/03/2024
4120.0,0.9919342996114395,,delaylearn,survey,engagement1,muJ8ZgPLXSW0ladHZrfyk6RX81j2,not found,lmdlab-html-vas-response,94,479373,0.0-36.0,"<p style=""font-size: 1.8rem; line-height: 1.3;"">How engaged and focused were you during this task?</p>","['Not at all engaged', 'Very engaged']",5e7c55274f63942a04b08c29,16:58:12,27/03/2024
4945.0,"{""Q0"":""Yes""}",[0],delaylearn,survey,engagement2,muJ8ZgPLXSW0ladHZrfyk6RX81j2,not found,lmdlab-evan-quiz,95,485074,0.0-37.0,,,5e7c55274f63942a04b08c29,16:58:12,27/03/2024
19524.299999952316,{'Q0': 'no I did not'},,delaylearn,survey,engagement3,muJ8ZgPLXSW0ladHZrfyk6RX81j2,not found,lmdlab-survey-text,96,505357,0.0-38.0,,,5e7c55274f63942a04b08c29,16:58:12,27/03/2024
137827.0,"{'Q0': ""I think that i misread the instructions, i was under the impression that pictures were either lucky or unlucky, i didn't realise it was on a gradient but i thought it was an interesting study and am looking forward to the next one""}",,delaylearn,survey,comment1,muJ8ZgPLXSW0ladHZrfyk6RX81j2,not found,lmdlab-survey-text,97,643947,0.0-39.0,,,5e7c55274f63942a04b08c29,16:58:12,27/03/2024
