rt,response,choice_idxs,exp_name,exp_stage,q_name,subjectID,trial_type,trial_index,time_elapsed,internal_node_id,stimulus,labels,prolificID,start_time,date
5679,"{""Q0"":""Did not notice a pattern""}",[1],delaylearn,survey,delay1,rZfoBUHPEqW0SAhMuvwGxV33D0o2,lmdlab-evan-quiz,69,246405,0.0-22.0,,,54258078fdf99b691fb3858e,16:58:56,27/03/2024
6758,0.33707320601851853,,delaylearn,survey,state_stress,rZfoBUHPEqW0SAhMuvwGxV33D0o2,lmdlab-html-vas-response,86,339732,0.0-28.0,"<p style='font-size: 2.2rem; line-height: 1.3'>How would you rate your current stress level?<br><br>Use the scale below, with 1 being the least<br>stressed and 10 being the most stressed:</p><br><br>","['1<br>Low<br>stress', '2', '3', '4', '5', '6', '7', '8', '9', '10<br>High<br>stress']",54258078fdf99b691fb3858e,16:58:56,27/03/2024
3857,"{""Q0"":""Average""}",[2],delaylearn,survey,sleep1,rZfoBUHPEqW0SAhMuvwGxV33D0o2,lmdlab-evan-quiz,87,344345,0.0-29.0,,,54258078fdf99b691fb3858e,16:58:56,27/03/2024
3119,"{""Q0"":""Average""}",[2],delaylearn,survey,sleep2,rZfoBUHPEqW0SAhMuvwGxV33D0o2,lmdlab-evan-quiz,88,348220,0.0-30.0,,,54258078fdf99b691fb3858e,16:58:56,27/03/2024
3076,"{""Q0"":""Good""}",[1],delaylearn,survey,sleep3,rZfoBUHPEqW0SAhMuvwGxV33D0o2,lmdlab-evan-quiz,89,352052,0.0-31.0,,,54258078fdf99b691fb3858e,16:58:56,27/03/2024
8326,"{""Q0"":""Shorter delay""}",[2],delaylearn,survey,delay2,rZfoBUHPEqW0SAhMuvwGxV33D0o2,lmdlab-evan-quiz,91,363028,0.0-33.0,,,54258078fdf99b691fb3858e,16:58:56,27/03/2024
4594,0.37833333333333335,,delaylearn,survey,delay3,rZfoBUHPEqW0SAhMuvwGxV33D0o2,lmdlab-html-vas-response,92,369136,0.0-34.0,<p style='font-size: 2.2rem; line-height: 1.3'><br>Were you at all bothered or frustrated by<br>the longer delays to point feedback?</p><br>,"['Not at all frustrated by long feedback delays', 'Somewhat frustrated', 'Very frustrated by long feedback delays']",54258078fdf99b691fb3858e,16:58:56,27/03/2024
4967,0.36,,delaylearn,survey,mood1,rZfoBUHPEqW0SAhMuvwGxV33D0o2,lmdlab-html-vas-response,93,375617,0.0-35.0,<p style='font-size: 2.2rem; line-height: 1.3'><br>Regarding the <b>happiness ratings</b>:<br>Were you at all bothered or frustrated by<br>the ratings?</p><br>,"['Not at all frustrated by mood ratings', 'Somewhat frustrated', 'Very frustrated by mood ratings']",54258078fdf99b691fb3858e,16:58:56,27/03/2024
3802,0.845048828125,,delaylearn,survey,engagement1,rZfoBUHPEqW0SAhMuvwGxV33D0o2,lmdlab-html-vas-response,94,380924,0.0-36.0,"<p style=""font-size: 1.8rem; line-height: 1.3;"">How engaged and focused were you during this task?</p>","['Not at all engaged', 'Very engaged']",54258078fdf99b691fb3858e,16:58:56,27/03/2024
3213,"{""Q0"":""Yes""}",[0],delaylearn,survey,engagement2,rZfoBUHPEqW0SAhMuvwGxV33D0o2,lmdlab-evan-quiz,95,384894,0.0-37.0,,,54258078fdf99b691fb3858e,16:58:56,27/03/2024
4696,{'Q0': 'none'},,delaylearn,survey,engagement3,rZfoBUHPEqW0SAhMuvwGxV33D0o2,lmdlab-survey-text,96,390343,0.0-38.0,,,54258078fdf99b691fb3858e,16:58:56,27/03/2024
20218,{'Q0': 'finding patterns'},,delaylearn,survey,comment1,rZfoBUHPEqW0SAhMuvwGxV33D0o2,lmdlab-survey-text,97,411313,0.0-39.0,,,54258078fdf99b691fb3858e,16:58:56,27/03/2024
