rt,response,choice_idxs,exp_name,exp_stage,q_name,subjectID,trial_type,trial_index,time_elapsed,internal_node_id,stimulus,labels,prolificID,start_time,date
18317.0,"{""Q0"":""Did not notice a pattern""}",[1],delaylearn,survey,delay1,iUPHZqxkJQN4cKRwvdlf0Mmb3Eg2,lmdlab-evan-quiz,69,266130,0.0-22.0,,,576fc3462984e70001a97fc3,16:59:44,27/03/2024
5294.0,0.6489482225420252,,delaylearn,survey,state_stress,iUPHZqxkJQN4cKRwvdlf0Mmb3Eg2,lmdlab-html-vas-response,86,331529,0.0-28.0,"<p style='font-size: 2.2rem; line-height: 1.3'>How would you rate your current stress level?<br><br>Use the scale below, with 1 being the least<br>stressed and 10 being the most stressed:</p><br><br>","['1<br>Low<br>stress', '2', '3', '4', '5', '6', '7', '8', '9', '10<br>High<br>stress']",576fc3462984e70001a97fc3,16:59:44,27/03/2024
5109.0,"{""Q0"":""Average""}",[2],delaylearn,survey,sleep1,iUPHZqxkJQN4cKRwvdlf0Mmb3Eg2,lmdlab-evan-quiz,87,337396,0.0-29.0,,,576fc3462984e70001a97fc3,16:59:44,27/03/2024
3320.0,"{""Q0"":""Average""}",[2],delaylearn,survey,sleep2,iUPHZqxkJQN4cKRwvdlf0Mmb3Eg2,lmdlab-evan-quiz,88,341474,0.0-30.0,,,576fc3462984e70001a97fc3,16:59:44,27/03/2024
3860.0,"{""Q0"":""Poor""}",[3],delaylearn,survey,sleep3,iUPHZqxkJQN4cKRwvdlf0Mmb3Eg2,lmdlab-evan-quiz,89,346090,0.0-31.0,,,576fc3462984e70001a97fc3,16:59:44,27/03/2024
10770.0,"{""Q0"":""Shorter delay""}",[1],delaylearn,survey,delay2,iUPHZqxkJQN4cKRwvdlf0Mmb3Eg2,lmdlab-evan-quiz,91,363476,0.0-33.0,,,576fc3462984e70001a97fc3,16:59:44,27/03/2024
7466.0,0.6957809744268078,,delaylearn,survey,delay3,iUPHZqxkJQN4cKRwvdlf0Mmb3Eg2,lmdlab-html-vas-response,92,372458,0.0-34.0,<p style='font-size: 2.2rem; line-height: 1.3'><br>Were you at all bothered or frustrated by<br>the longer delays to point feedback?</p><br>,"['Not at all frustrated by long feedback delays', 'Somewhat frustrated', 'Very frustrated by long feedback delays']",576fc3462984e70001a97fc3,16:59:44,27/03/2024
6435.0,0.7204723324514991,,delaylearn,survey,mood1,iUPHZqxkJQN4cKRwvdlf0Mmb3Eg2,lmdlab-html-vas-response,93,380407,0.0-35.0,<p style='font-size: 2.2rem; line-height: 1.3'><br>Regarding the <b>happiness ratings</b>:<br>Were you at all bothered or frustrated by<br>the ratings?</p><br>,"['Not at all frustrated by mood ratings', 'Somewhat frustrated', 'Very frustrated by mood ratings']",576fc3462984e70001a97fc3,16:59:44,27/03/2024
4354.0,0.9656084656084656,,delaylearn,survey,engagement1,iUPHZqxkJQN4cKRwvdlf0Mmb3Eg2,lmdlab-html-vas-response,94,386266,0.0-36.0,"<p style=""font-size: 1.8rem; line-height: 1.3;"">How engaged and focused were you during this task?</p>","['Not at all engaged', 'Very engaged']",576fc3462984e70001a97fc3,16:59:44,27/03/2024
5304.0,"{""Q0"":""Yes""}",[0],delaylearn,survey,engagement2,iUPHZqxkJQN4cKRwvdlf0Mmb3Eg2,lmdlab-evan-quiz,95,392327,0.0-37.0,,,576fc3462984e70001a97fc3,16:59:44,27/03/2024
6813.799999952316,{'Q0': 'None'},,delaylearn,survey,engagement3,iUPHZqxkJQN4cKRwvdlf0Mmb3Eg2,lmdlab-survey-text,96,399897,0.0-38.0,,,576fc3462984e70001a97fc3,16:59:44,27/03/2024
39228.5,"{'Q0': ""Things were clear, it was just frustrating when there didn't seem to be a lucky pick out of a pairing consistently!""}",,delaylearn,survey,comment1,iUPHZqxkJQN4cKRwvdlf0Mmb3Eg2,lmdlab-survey-text,97,439879,0.0-39.0,,,576fc3462984e70001a97fc3,16:59:44,27/03/2024
