rt,response,choice_idxs,exp_name,exp_stage,q_name,subjectID,trial_type,trial_index,time_elapsed,internal_node_id,stimulus,labels,prolificID,start_time,date
8912,"{""Q0"":""Sometimes noticed a pattern""}",[2],delaylearn,survey,delay1,1d0zK1p21qerwAOK1MeidoTrsHB2,lmdlab-evan-quiz,69,236680,0.0-22.0,,,5a8ad2082a842c0001fce0f2,17:03:38,27/03/2024
4598,0.4556323040554558,,delaylearn,survey,state_stress,1d0zK1p21qerwAOK1MeidoTrsHB2,lmdlab-html-vas-response,86,296430,0.0-28.0,"<p style='font-size: 2.2rem; line-height: 1.3'>How would you rate your current stress level?<br><br>Use the scale below, with 1 being the least<br>stressed and 10 being the most stressed:</p><br><br>","['1<br>Low<br>stress', '2', '3', '4', '5', '6', '7', '8', '9', '10<br>High<br>stress']",5a8ad2082a842c0001fce0f2,17:03:38,27/03/2024
3230,"{""Q0"":""Average""}",[2],delaylearn,survey,sleep1,1d0zK1p21qerwAOK1MeidoTrsHB2,lmdlab-evan-quiz,87,300432,0.0-29.0,,,5a8ad2082a842c0001fce0f2,17:03:38,27/03/2024
5805,"{""Q0"":""Less""}",[3],delaylearn,survey,sleep2,1d0zK1p21qerwAOK1MeidoTrsHB2,lmdlab-evan-quiz,88,307000,0.0-30.0,,,5a8ad2082a842c0001fce0f2,17:03:38,27/03/2024
3714,"{""Q0"":""Average""}",[2],delaylearn,survey,sleep3,1d0zK1p21qerwAOK1MeidoTrsHB2,lmdlab-evan-quiz,89,311486,0.0-31.0,,,5a8ad2082a842c0001fce0f2,17:03:38,27/03/2024
10680,"{""Q0"":""Shorter delay""}",[2],delaylearn,survey,delay2,1d0zK1p21qerwAOK1MeidoTrsHB2,lmdlab-evan-quiz,91,324399,0.0-33.0,,,5a8ad2082a842c0001fce0f2,17:03:38,27/03/2024
3650,0.5173611111111112,,delaylearn,survey,delay3,1d0zK1p21qerwAOK1MeidoTrsHB2,lmdlab-html-vas-response,92,329578,0.0-34.0,<p style='font-size: 2.2rem; line-height: 1.3'><br>Were you at all bothered or frustrated by<br>the longer delays to point feedback?</p><br>,"['Not at all frustrated by long feedback delays', 'Somewhat frustrated', 'Very frustrated by long feedback delays']",5a8ad2082a842c0001fce0f2,17:03:38,27/03/2024
6554,0.6215277777777778,,delaylearn,survey,mood1,1d0zK1p21qerwAOK1MeidoTrsHB2,lmdlab-html-vas-response,93,337670,0.0-35.0,<p style='font-size: 2.2rem; line-height: 1.3'><br>Regarding the <b>happiness ratings</b>:<br>Were you at all bothered or frustrated by<br>the ratings?</p><br>,"['Not at all frustrated by mood ratings', 'Somewhat frustrated', 'Very frustrated by mood ratings']",5a8ad2082a842c0001fce0f2,17:03:38,27/03/2024
4404,0.7526311874389648,,delaylearn,survey,engagement1,1d0zK1p21qerwAOK1MeidoTrsHB2,lmdlab-html-vas-response,94,343603,0.0-36.0,"<p style=""font-size: 1.8rem; line-height: 1.3;"">How engaged and focused were you during this task?</p>","['Not at all engaged', 'Very engaged']",5a8ad2082a842c0001fce0f2,17:03:38,27/03/2024
8023,"{""Q0"":""Yes""}",[0],delaylearn,survey,engagement2,1d0zK1p21qerwAOK1MeidoTrsHB2,lmdlab-evan-quiz,95,352393,0.0-37.0,,,5a8ad2082a842c0001fce0f2,17:03:38,27/03/2024
18352,{'Q0': 'No not at all'},,delaylearn,survey,engagement3,1d0zK1p21qerwAOK1MeidoTrsHB2,lmdlab-survey-text,96,371503,0.0-38.0,,,5a8ad2082a842c0001fce0f2,17:03:38,27/03/2024
15936,{'Q0': 'I did not enjoy the length'},,delaylearn,survey,comment1,1d0zK1p21qerwAOK1MeidoTrsHB2,lmdlab-survey-text,97,388198,0.0-39.0,,,5a8ad2082a842c0001fce0f2,17:03:38,27/03/2024
