rt,response,choice_idxs,exp_name,exp_stage,q_name,subjectID,trial_type,trial_index,time_elapsed,internal_node_id,stimulus,labels,prolificID,start_time,date
5880.0,"{""Q0"":""Sometimes noticed a pattern""}",[2],delaylearn,survey,delay1,SlTMZmnszpYKXBZ7JiXs1kTizko2,lmdlab-evan-quiz,69,218805,0.0-22.0,,,5c3d48955fd1050001a99364,17:05:24,27/03/2024
3377.0,0.49145322044796913,,delaylearn,survey,state_stress,SlTMZmnszpYKXBZ7JiXs1kTizko2,lmdlab-html-vas-response,86,329915,0.0-28.0,"<p style='font-size: 2.2rem; line-height: 1.3'>How would you rate your current stress level?<br><br>Use the scale below, with 1 being the least<br>stressed and 10 being the most stressed:</p><br><br>","['1<br>Low<br>stress', '2', '3', '4', '5', '6', '7', '8', '9', '10<br>High<br>stress']",5c3d48955fd1050001a99364,17:05:24,27/03/2024
2728.0,"{""Q0"":""Average""}",[2],delaylearn,survey,sleep1,SlTMZmnszpYKXBZ7JiXs1kTizko2,lmdlab-evan-quiz,87,333407,0.0-29.0,,,5c3d48955fd1050001a99364,17:05:24,27/03/2024
3046.0,"{""Q0"":""Average""}",[2],delaylearn,survey,sleep2,SlTMZmnszpYKXBZ7JiXs1kTizko2,lmdlab-evan-quiz,88,337208,0.0-30.0,,,5c3d48955fd1050001a99364,17:05:24,27/03/2024
3221.0,"{""Q0"":""Average""}",[2],delaylearn,survey,sleep3,SlTMZmnszpYKXBZ7JiXs1kTizko2,lmdlab-evan-quiz,89,341190,0.0-31.0,,,5c3d48955fd1050001a99364,17:05:24,27/03/2024
7210.0,"{""Q0"":""Shorter delay""}",[2],delaylearn,survey,delay2,SlTMZmnszpYKXBZ7JiXs1kTizko2,lmdlab-evan-quiz,91,351139,0.0-33.0,,,5c3d48955fd1050001a99364,17:05:24,27/03/2024
5915.0,0.21453028549382716,,delaylearn,survey,delay3,SlTMZmnszpYKXBZ7JiXs1kTizko2,lmdlab-html-vas-response,92,358571,0.0-34.0,<p style='font-size: 2.2rem; line-height: 1.3'><br>Were you at all bothered or frustrated by<br>the longer delays to point feedback?</p><br>,"['Not at all frustrated by long feedback delays', 'Somewhat frustrated', 'Very frustrated by long feedback delays']",5c3d48955fd1050001a99364,17:05:24,27/03/2024
6153.0,0.0015673225308641976,,delaylearn,survey,mood1,SlTMZmnszpYKXBZ7JiXs1kTizko2,lmdlab-html-vas-response,93,366258,0.0-35.0,<p style='font-size: 2.2rem; line-height: 1.3'><br>Regarding the <b>happiness ratings</b>:<br>Were you at all bothered or frustrated by<br>the ratings?</p><br>,"['Not at all frustrated by mood ratings', 'Somewhat frustrated', 'Very frustrated by mood ratings']",5c3d48955fd1050001a99364,17:05:24,27/03/2024
4183.0,0.9861472800925926,,delaylearn,survey,engagement1,SlTMZmnszpYKXBZ7JiXs1kTizko2,lmdlab-html-vas-response,94,371954,0.0-36.0,"<p style=""font-size: 1.8rem; line-height: 1.3;"">How engaged and focused were you during this task?</p>","['Not at all engaged', 'Very engaged']",5c3d48955fd1050001a99364,17:05:24,27/03/2024
3482.0,"{""Q0"":""Yes""}",[0],delaylearn,survey,engagement2,SlTMZmnszpYKXBZ7JiXs1kTizko2,lmdlab-evan-quiz,95,376202,0.0-37.0,,,5c3d48955fd1050001a99364,17:05:24,27/03/2024
32130.5,"{'Q0': 'No, I did not experience any instances of inattention or distraction'}",,delaylearn,survey,engagement3,SlTMZmnszpYKXBZ7JiXs1kTizko2,lmdlab-survey-text,96,409098,0.0-38.0,,,5c3d48955fd1050001a99364,17:05:24,27/03/2024
22103.800000190735,{'Q0': 'I enjoyed guessing which was the luckiest picture'},,delaylearn,survey,comment1,SlTMZmnszpYKXBZ7JiXs1kTizko2,lmdlab-survey-text,97,431954,0.0-39.0,,,5c3d48955fd1050001a99364,17:05:24,27/03/2024
