rt,response,choice_idxs,exp_name,exp_stage,q_name,subjectID,trial_type,trial_index,time_elapsed,internal_node_id,stimulus,labels,prolificID,start_time,date
13756.0,"{""Q0"":""Sometimes noticed a pattern""}",[2],delaylearn,survey,delay1,6vshFtP68NOBGHf5OCNZMBV6yRV2,lmdlab-evan-quiz,69,260765,0.0-22.0,,,65101adae9f0b22a17c5af61,23:48:59,27/03/2024
7690.0,0.6714981530177668,,delaylearn,survey,state_stress,6vshFtP68NOBGHf5OCNZMBV6yRV2,lmdlab-html-vas-response,86,342755,0.0-28.0,"<p style='font-size: 2.2rem; line-height: 1.3'>How would you rate your current stress level?<br><br>Use the scale below, with 1 being the least<br>stressed and 10 being the most stressed:</p><br><br>","['1<br>Low<br>stress', '2', '3', '4', '5', '6', '7', '8', '9', '10<br>High<br>stress']",65101adae9f0b22a17c5af61,23:48:59,27/03/2024
4764.0,"{""Q0"":""Poor""}",[3],delaylearn,survey,sleep1,6vshFtP68NOBGHf5OCNZMBV6yRV2,lmdlab-evan-quiz,87,348286,0.0-29.0,,,65101adae9f0b22a17c5af61,23:48:59,27/03/2024
3451.0,"{""Q0"":""Less""}",[3],delaylearn,survey,sleep2,6vshFtP68NOBGHf5OCNZMBV6yRV2,lmdlab-evan-quiz,88,352496,0.0-30.0,,,65101adae9f0b22a17c5af61,23:48:59,27/03/2024
6228.0,"{""Q0"":""Average""}",[2],delaylearn,survey,sleep3,6vshFtP68NOBGHf5OCNZMBV6yRV2,lmdlab-evan-quiz,89,359481,0.0-31.0,,,65101adae9f0b22a17c5af61,23:48:59,27/03/2024
11180.0,"{""Q0"":""Learned much better with with shorter delay""}",[0],delaylearn,survey,delay2,6vshFtP68NOBGHf5OCNZMBV6yRV2,lmdlab-evan-quiz,91,372906,0.0-33.0,,,65101adae9f0b22a17c5af61,23:48:59,27/03/2024
10944.0,0.7700616568077154,,delaylearn,survey,delay3,6vshFtP68NOBGHf5OCNZMBV6yRV2,lmdlab-html-vas-response,92,385372,0.0-34.0,<p style='font-size: 2.2rem; line-height: 1.3'><br>Were you at all bothered or frustrated by<br>the longer delays to point feedback?</p><br>,"['Not at all frustrated by long feedback delays', 'Somewhat frustrated', 'Very frustrated by long feedback delays']",65101adae9f0b22a17c5af61,23:48:59,27/03/2024
12352.0,0.5019289533860499,,delaylearn,survey,mood1,6vshFtP68NOBGHf5OCNZMBV6yRV2,lmdlab-html-vas-response,93,399250,0.0-35.0,<p style='font-size: 2.2rem; line-height: 1.3'><br>Regarding the <b>happiness ratings</b>:<br>Were you at all bothered or frustrated by<br>the ratings?</p><br>,"['Not at all frustrated by mood ratings', 'Somewhat frustrated', 'Very frustrated by mood ratings']",65101adae9f0b22a17c5af61,23:48:59,27/03/2024
4692.0,0.9109157825237595,,delaylearn,survey,engagement1,6vshFtP68NOBGHf5OCNZMBV6yRV2,lmdlab-html-vas-response,94,405465,0.0-36.0,"<p style=""font-size: 1.8rem; line-height: 1.3;"">How engaged and focused were you during this task?</p>","['Not at all engaged', 'Very engaged']",65101adae9f0b22a17c5af61,23:48:59,27/03/2024
5313.0,"{""Q0"":""Yes""}",[0],delaylearn,survey,engagement2,6vshFtP68NOBGHf5OCNZMBV6yRV2,lmdlab-evan-quiz,95,411545,0.0-37.0,,,65101adae9f0b22a17c5af61,23:48:59,27/03/2024
52207.90000000596,{'Q0': 'No distractions'},,delaylearn,survey,engagement3,6vshFtP68NOBGHf5OCNZMBV6yRV2,lmdlab-survey-text,96,464507,0.0-38.0,,,65101adae9f0b22a17c5af61,23:48:59,27/03/2024
58868.70000000298,{'Q0': 'The UI of the study could be better but I can understand it is not the most important thing in the experiment'},,delaylearn,survey,comment1,6vshFtP68NOBGHf5OCNZMBV6yRV2,lmdlab-survey-text,97,524134,0.0-39.0,,,65101adae9f0b22a17c5af61,23:48:59,27/03/2024
