rt,stimulus,response,subjectID,databaseID,exp_name,exp_stage,trial_type,trial_index,time_elapsed,internal_node_id,rest_warning,choice_idxs,q_name,prolificID,start_time,date
3100.0,How <b>happy</b> are you right now?,0.5817901234567902,I3Zypm1ABXXTTSn9FY6dbmNIM3X2,I3Zypm1ABXXTTSn9FY6dbmNIM3X2,delaylearn,survey,lmdlab-html-vas-response,42,342764,0.0-42.0-0.0,,,,627a76b96bea55210aecbba9,09:48:22,05/03/2024
1387.1000000238419,"<p style='font-size: 4rem; line-height: 1.3'>Great!<br><br>Next, there are a few questions about the task.<br><br></p><p style='font-size: 3.4rem; line-height: 1.3; color: blue;'><br><br>*Press the space bar to begin*</p>", ,I3Zypm1ABXXTTSn9FY6dbmNIM3X2,I3Zypm1ABXXTTSn9FY6dbmNIM3X2,delaylearn,survey,html-keyboard-response,43,344152,0.0-42.0-1.0,,,,627a76b96bea55210aecbba9,09:48:22,05/03/2024
2367.699999988079,"<p style='font-size: 4rem; line-height: 1.3'>The following questions are very important for our scientific<br>research, but they will not affect your compensation in any way.<br><br>We would appreciate it if you respond honestly!<br><br><br><br></p>",,I3Zypm1ABXXTTSn9FY6dbmNIM3X2,I3Zypm1ABXXTTSn9FY6dbmNIM3X2,delaylearn,survey,lmdlab-rest-trial-limit,44,347026,0.0-42.0-2.0,0.0,,,627a76b96bea55210aecbba9,09:48:22,05/03/2024
8121.0,,"{""Q0"":""Average""}",I3Zypm1ABXXTTSn9FY6dbmNIM3X2,I3Zypm1ABXXTTSn9FY6dbmNIM3X2,delaylearn,survey,lmdlab-evan-quiz,45,356414,0.0-42.0-3.0,,[2],memory,627a76b96bea55210aecbba9,09:48:22,05/03/2024
2330.0,"<p style=""line-height: 1.3;"">How engaged and focused were you during this task?</p>",0.8179012345679012,I3Zypm1ABXXTTSn9FY6dbmNIM3X2,I3Zypm1ABXXTTSn9FY6dbmNIM3X2,delaylearn,survey,lmdlab-html-vas-response,46,359753,0.0-42.0-4.0,,,engagement1,627a76b96bea55210aecbba9,09:48:22,05/03/2024
4445.0,,"{""Q0"":""Yes""}",I3Zypm1ABXXTTSn9FY6dbmNIM3X2,I3Zypm1ABXXTTSn9FY6dbmNIM3X2,delaylearn,survey,lmdlab-evan-quiz,47,365469,0.0-42.0-5.0,,[0],engagement2,627a76b96bea55210aecbba9,09:48:22,05/03/2024
10256.5,,{'Q0': 'No I did not'},I3Zypm1ABXXTTSn9FY6dbmNIM3X2,I3Zypm1ABXXTTSn9FY6dbmNIM3X2,delaylearn,survey,lmdlab-survey-text,48,376491,0.0-42.0-6.0,,,engagement3,627a76b96bea55210aecbba9,09:48:22,05/03/2024
4299.0,,"{""Q0"":""Same room + Same computer""}",I3Zypm1ABXXTTSn9FY6dbmNIM3X2,I3Zypm1ABXXTTSn9FY6dbmNIM3X2,delaylearn,survey,lmdlab-evan-quiz,49,382050,0.0-42.0-7.0,,[0],environment1,627a76b96bea55210aecbba9,09:48:22,05/03/2024
19095.5,,{'Q0': 'N/A nothing i would improve'},I3Zypm1ABXXTTSn9FY6dbmNIM3X2,I3Zypm1ABXXTTSn9FY6dbmNIM3X2,delaylearn,survey,lmdlab-survey-text,50,401900,0.0-42.0-8.0,,,comment1,627a76b96bea55210aecbba9,09:48:22,05/03/2024
2032.6000000238419,"<p style='font-size: 4rem; line-height: 1.3'>Great!<br><br>Finally, there are a four short questions about stress, sleep, and the overall experiment.<br><br></p><p style='font-size: 3.4rem; line-height: 1.3; color: blue;'><br><br>*Press the space bar to begin*</p>", ,I3Zypm1ABXXTTSn9FY6dbmNIM3X2,I3Zypm1ABXXTTSn9FY6dbmNIM3X2,delaylearn,survey,html-keyboard-response,206,905304,0.0-44.0-0.0,,,,627a76b96bea55210aecbba9,09:48:22,05/03/2024
3555.0,"<p style='font-size: 3.4rem; line-height: 1.4'>How would you rate your current stress level?<br><br>Use the scale below, with 1 being the least<br>stressed and 10 being the most stressed:</p><br><br>",0.4398389274691358,I3Zypm1ABXXTTSn9FY6dbmNIM3X2,I3Zypm1ABXXTTSn9FY6dbmNIM3X2,delaylearn,survey,lmdlab-html-vas-response,207,910383,0.0-44.0-1.0,,,state_stress,627a76b96bea55210aecbba9,09:48:22,05/03/2024
2466.0,,"{""Q0"":""Average""}",I3Zypm1ABXXTTSn9FY6dbmNIM3X2,I3Zypm1ABXXTTSn9FY6dbmNIM3X2,delaylearn,survey,lmdlab-evan-quiz,208,914118,0.0-44.0-2.0,,[2],sleep1,627a76b96bea55210aecbba9,09:48:22,05/03/2024
4543.0,,"{""Q0"":""Average""}",I3Zypm1ABXXTTSn9FY6dbmNIM3X2,I3Zypm1ABXXTTSn9FY6dbmNIM3X2,delaylearn,survey,lmdlab-evan-quiz,209,919430,0.0-44.0-3.0,,[2],sleep2,627a76b96bea55210aecbba9,09:48:22,05/03/2024
3591.0,,"{""Q0"":""Poor""}",I3Zypm1ABXXTTSn9FY6dbmNIM3X2,I3Zypm1ABXXTTSn9FY6dbmNIM3X2,delaylearn,survey,lmdlab-evan-quiz,210,923785,0.0-44.0-4.0,,[3],sleep3,627a76b96bea55210aecbba9,09:48:22,05/03/2024
