rt,stimulus,response,subjectID,databaseID,exp_name,exp_stage,trial_type,trial_index,time_elapsed,internal_node_id,rest_warning,choice_idxs,q_name,prolificID,start_time,date
7322,How <b>happy</b> are you right now?,0.4986979166666667,uyaoNSdiL3TXn4oXc9K3xCzk4p83,uyaoNSdiL3TXn4oXc9K3xCzk4p83,delaylearn,survey,lmdlab-html-vas-response,42,676607,0.0-42.0-0.0,,,,634e460a7da3fef3d5a9faf3,1:43:37 PM,3/6/2024
7062,"<p style='font-size: 4rem; line-height: 1.3'>Great!<br><br>Next, there are a few questions about the task.<br><br></p><p style='font-size: 3.4rem; line-height: 1.3; color: blue;'><br><br>*Press the space bar to begin*</p>", ,uyaoNSdiL3TXn4oXc9K3xCzk4p83,uyaoNSdiL3TXn4oXc9K3xCzk4p83,delaylearn,survey,html-keyboard-response,43,683681,0.0-42.0-1.0,,,,634e460a7da3fef3d5a9faf3,1:43:37 PM,3/6/2024
3109,"<p style='font-size: 4rem; line-height: 1.3'>The following questions are very important for our scientific<br>research, but they will not affect your compensation in any way.<br><br>We would appreciate it if you respond honestly!<br><br><br><br></p>",,uyaoNSdiL3TXn4oXc9K3xCzk4p83,uyaoNSdiL3TXn4oXc9K3xCzk4p83,delaylearn,survey,lmdlab-rest-trial-limit,44,687308,0.0-42.0-2.0,0.0,,,634e460a7da3fef3d5a9faf3,1:43:37 PM,3/6/2024
7567,,"{""Q0"":""Average""}",uyaoNSdiL3TXn4oXc9K3xCzk4p83,uyaoNSdiL3TXn4oXc9K3xCzk4p83,delaylearn,survey,lmdlab-evan-quiz,45,696155,0.0-42.0-3.0,,[2],memory,634e460a7da3fef3d5a9faf3,1:43:37 PM,3/6/2024
13258,"<p style=""line-height: 1.3;"">How engaged and focused were you during this task?</p>",0.9986979166666666,uyaoNSdiL3TXn4oXc9K3xCzk4p83,uyaoNSdiL3TXn4oXc9K3xCzk4p83,delaylearn,survey,lmdlab-html-vas-response,46,710518,0.0-42.0-4.0,,,engagement1,634e460a7da3fef3d5a9faf3,1:43:37 PM,3/6/2024
8948,,"{""Q0"":""Yes""}",uyaoNSdiL3TXn4oXc9K3xCzk4p83,uyaoNSdiL3TXn4oXc9K3xCzk4p83,delaylearn,survey,lmdlab-evan-quiz,47,720738,0.0-42.0-5.0,,[0],engagement2,634e460a7da3fef3d5a9faf3,1:43:37 PM,3/6/2024
14550,,"{'Q0': 'No, I did not'}",uyaoNSdiL3TXn4oXc9K3xCzk4p83,uyaoNSdiL3TXn4oXc9K3xCzk4p83,delaylearn,survey,lmdlab-survey-text,48,736062,0.0-42.0-6.0,,,engagement3,634e460a7da3fef3d5a9faf3,1:43:37 PM,3/6/2024
16498,,"{""Q0"":""Same room + Same computer""}",uyaoNSdiL3TXn4oXc9K3xCzk4p83,uyaoNSdiL3TXn4oXc9K3xCzk4p83,delaylearn,survey,lmdlab-evan-quiz,49,753840,0.0-42.0-7.0,,[0],environment1,634e460a7da3fef3d5a9faf3,1:43:37 PM,3/6/2024
23581,,{'Q0': 'The task was easy to understand'},uyaoNSdiL3TXn4oXc9K3xCzk4p83,uyaoNSdiL3TXn4oXc9K3xCzk4p83,delaylearn,survey,lmdlab-survey-text,50,778193,0.0-42.0-8.0,,,comment1,634e460a7da3fef3d5a9faf3,1:43:37 PM,3/6/2024
4194,"<p style='font-size: 4rem; line-height: 1.3'>Great!<br><br>Finally, there are a four short questions about stress, sleep, and the overall experiment.<br><br></p><p style='font-size: 3.4rem; line-height: 1.3; color: blue;'><br><br>*Press the space bar to begin*</p>", ,uyaoNSdiL3TXn4oXc9K3xCzk4p83,uyaoNSdiL3TXn4oXc9K3xCzk4p83,delaylearn,survey,html-keyboard-response,206,2238706,0.0-44.0-0.0,,,,634e460a7da3fef3d5a9faf3,1:43:37 PM,3/6/2024
4662,"<p style='font-size: 3.4rem; line-height: 1.4'>How would you rate your current stress level?<br><br>Use the scale below, with 1 being the least<br>stressed and 10 being the most stressed:</p><br><br>",0.6636574003431532,uyaoNSdiL3TXn4oXc9K3xCzk4p83,uyaoNSdiL3TXn4oXc9K3xCzk4p83,delaylearn,survey,lmdlab-html-vas-response,207,2244889,0.0-44.0-1.0,,,state_stress,634e460a7da3fef3d5a9faf3,1:43:37 PM,3/6/2024
47474,,"{""Q0"":""Average""}",uyaoNSdiL3TXn4oXc9K3xCzk4p83,uyaoNSdiL3TXn4oXc9K3xCzk4p83,delaylearn,survey,lmdlab-evan-quiz,208,2293651,0.0-44.0-2.0,,[2],sleep1,634e460a7da3fef3d5a9faf3,1:43:37 PM,3/6/2024
4169,,"{""Q0"":""Average""}",uyaoNSdiL3TXn4oXc9K3xCzk4p83,uyaoNSdiL3TXn4oXc9K3xCzk4p83,delaylearn,survey,lmdlab-evan-quiz,209,2298614,0.0-44.0-3.0,,[2],sleep2,634e460a7da3fef3d5a9faf3,1:43:37 PM,3/6/2024
4996,,"{""Q0"":""Average""}",uyaoNSdiL3TXn4oXc9K3xCzk4p83,uyaoNSdiL3TXn4oXc9K3xCzk4p83,delaylearn,survey,lmdlab-evan-quiz,210,2304408,0.0-44.0-4.0,,[2],sleep3,634e460a7da3fef3d5a9faf3,1:43:37 PM,3/6/2024
