rt,stimulus,response,subjectID,databaseID,exp_name,exp_stage,trial_type,trial_index,time_elapsed,internal_node_id,rest_warning,choice_idxs,q_name,prolificID,start_time,date
4638.0,How <b>happy</b> are you right now?,0.5300925925925926,vOqxsWpimTMgxZ500r3UAw6c39I2,vOqxsWpimTMgxZ500r3UAw6c39I2,delaylearn,survey,lmdlab-html-vas-response,42,349570,0.0-42.0-0.0,,,,5cb59c9e4c39f300173efd41,18:20:54,06/03/2024
2078.100000023842,"<p style='font-size: 4rem; line-height: 1.3'>Great!<br><br>Next, there are a few questions about the task.<br><br></p><p style='font-size: 3.4rem; line-height: 1.3; color: blue;'><br><br>*Press the space bar to begin*</p>", ,vOqxsWpimTMgxZ500r3UAw6c39I2,vOqxsWpimTMgxZ500r3UAw6c39I2,delaylearn,survey,html-keyboard-response,43,351652,0.0-42.0-1.0,,,,5cb59c9e4c39f300173efd41,18:20:54,06/03/2024
4595.0,"<p style='font-size: 4rem; line-height: 1.3'>The following questions are very important for our scientific<br>research, but they will not affect your compensation in any way.<br><br>We would appreciate it if you respond honestly!<br><br><br><br></p>",,vOqxsWpimTMgxZ500r3UAw6c39I2,vOqxsWpimTMgxZ500r3UAw6c39I2,delaylearn,survey,lmdlab-rest-trial-limit,44,356764,0.0-42.0-2.0,0.0,,,5cb59c9e4c39f300173efd41,18:20:54,06/03/2024
8603.0,,"{""Q0"":""Average""}",vOqxsWpimTMgxZ500r3UAw6c39I2,vOqxsWpimTMgxZ500r3UAw6c39I2,delaylearn,survey,lmdlab-evan-quiz,45,366635,0.0-42.0-3.0,,[2],memory,5cb59c9e4c39f300173efd41,18:20:54,06/03/2024
3400.0,"<p style=""line-height: 1.3;"">How engaged and focused were you during this task?</p>",0.9953703703703703,vOqxsWpimTMgxZ500r3UAw6c39I2,vOqxsWpimTMgxZ500r3UAw6c39I2,delaylearn,survey,lmdlab-html-vas-response,46,371051,0.0-42.0-4.0,,,engagement1,5cb59c9e4c39f300173efd41,18:20:54,06/03/2024
4691.0,,"{""Q0"":""Yes""}",vOqxsWpimTMgxZ500r3UAw6c39I2,vOqxsWpimTMgxZ500r3UAw6c39I2,delaylearn,survey,lmdlab-evan-quiz,47,377004,0.0-42.0-5.0,,[0],engagement2,5cb59c9e4c39f300173efd41,18:20:54,06/03/2024
4965.0,,{'Q0': 'none'},vOqxsWpimTMgxZ500r3UAw6c39I2,vOqxsWpimTMgxZ500r3UAw6c39I2,delaylearn,survey,lmdlab-survey-text,48,382725,0.0-42.0-6.0,,,engagement3,5cb59c9e4c39f300173efd41,18:20:54,06/03/2024
6159.0,,"{""Q0"":""Same room + Same computer""}",vOqxsWpimTMgxZ500r3UAw6c39I2,vOqxsWpimTMgxZ500r3UAw6c39I2,delaylearn,survey,lmdlab-evan-quiz,49,390150,0.0-42.0-7.0,,[0],environment1,5cb59c9e4c39f300173efd41,18:20:54,06/03/2024
13883.199999928474,,{'Q0': 'enjoyed all and all very clear'},vOqxsWpimTMgxZ500r3UAw6c39I2,vOqxsWpimTMgxZ500r3UAw6c39I2,delaylearn,survey,lmdlab-survey-text,50,404787,0.0-42.0-8.0,,,comment1,5cb59c9e4c39f300173efd41,18:20:54,06/03/2024
3005.5,"<p style='font-size: 4rem; line-height: 1.3'>Great!<br><br>Finally, there are a four short questions about stress, sleep, and the overall experiment.<br><br></p><p style='font-size: 3.4rem; line-height: 1.3; color: blue;'><br><br>*Press the space bar to begin*</p>", ,vOqxsWpimTMgxZ500r3UAw6c39I2,vOqxsWpimTMgxZ500r3UAw6c39I2,delaylearn,survey,html-keyboard-response,206,999650,0.0-44.0-0.0,,,,5cb59c9e4c39f300173efd41,18:20:54,06/03/2024
4336.0,"<p style='font-size: 3.4rem; line-height: 1.4'>How would you rate your current stress level?<br><br>Use the scale below, with 1 being the least<br>stressed and 10 being the most stressed:</p><br><br>",0.3773148148148148,vOqxsWpimTMgxZ500r3UAw6c39I2,vOqxsWpimTMgxZ500r3UAw6c39I2,delaylearn,survey,lmdlab-html-vas-response,207,1005528,0.0-44.0-1.0,,,state_stress,5cb59c9e4c39f300173efd41,18:20:54,06/03/2024
5166.0,,"{""Q0"":""Good""}",vOqxsWpimTMgxZ500r3UAw6c39I2,vOqxsWpimTMgxZ500r3UAw6c39I2,delaylearn,survey,lmdlab-evan-quiz,208,1011971,0.0-44.0-2.0,,[1],sleep1,5cb59c9e4c39f300173efd41,18:20:54,06/03/2024
5511.0,,"{""Q0"":""More sleep""}",vOqxsWpimTMgxZ500r3UAw6c39I2,vOqxsWpimTMgxZ500r3UAw6c39I2,delaylearn,survey,lmdlab-evan-quiz,209,1018254,0.0-44.0-3.0,,[1],sleep2,5cb59c9e4c39f300173efd41,18:20:54,06/03/2024
4176.0,,"{""Q0"":""Average""}",vOqxsWpimTMgxZ500r3UAw6c39I2,vOqxsWpimTMgxZ500r3UAw6c39I2,delaylearn,survey,lmdlab-evan-quiz,210,1023196,0.0-44.0-4.0,,[2],sleep3,5cb59c9e4c39f300173efd41,18:20:54,06/03/2024
