rt,stimulus,response,subjectID,databaseID,exp_name,exp_stage,trial_type,trial_index,time_elapsed,internal_node_id,rest_warning,choice_idxs,q_name,prolificID,start_time,date
5874.0,How <b>happy</b> are you right now?,0.5434782608695652,iMGEaU9pRKgVPffyC0wYkt7R6412,iMGEaU9pRKgVPffyC0wYkt7R6412,delaylearn,survey,lmdlab-html-vas-response,45,361515,0.0-45.0-0.0,,,,655faeaa22964920719a77b3,09:31:10,03/04/2024
1066.699999988079,"<p style='font-size: 4rem; line-height: 1.3'>Great!<br><br>Next, there are a few questions about the task.<br><br></p><p style='font-size: 3.4rem; line-height: 1.3; color: blue;'><br><br>*Press the space bar to begin*</p>", ,iMGEaU9pRKgVPffyC0wYkt7R6412,iMGEaU9pRKgVPffyC0wYkt7R6412,delaylearn,survey,html-keyboard-response,46,362585,0.0-45.0-1.0,,,,655faeaa22964920719a77b3,09:31:10,03/04/2024
2202.0,"<p style='font-size: 4rem; line-height: 1.3'>The following questions are very important for our scientific<br>research, but they will not affect your compensation in any way.<br><br>We would appreciate it if you respond honestly!<br><br><br><br></p>",,iMGEaU9pRKgVPffyC0wYkt7R6412,iMGEaU9pRKgVPffyC0wYkt7R6412,delaylearn,survey,lmdlab-rest-trial-limit,47,365291,0.0-45.0-2.0,0.0,,,655faeaa22964920719a77b3,09:31:10,03/04/2024
4731.0,,"{""Q0"":""Difficult""}",iMGEaU9pRKgVPffyC0wYkt7R6412,iMGEaU9pRKgVPffyC0wYkt7R6412,delaylearn,survey,lmdlab-evan-quiz,48,371307,0.0-45.0-3.0,,[3],memory,655faeaa22964920719a77b3,09:31:10,03/04/2024
13454.0,"<p style=""line-height: 1.3;"">How engaged and focused were you during this task?</p>",0.9782750226449275,iMGEaU9pRKgVPffyC0wYkt7R6412,iMGEaU9pRKgVPffyC0wYkt7R6412,delaylearn,survey,lmdlab-html-vas-response,49,385788,0.0-45.0-4.0,,,engagement1,655faeaa22964920719a77b3,09:31:10,03/04/2024
3643.0,,"{""Q0"":""Yes""}",iMGEaU9pRKgVPffyC0wYkt7R6412,iMGEaU9pRKgVPffyC0wYkt7R6412,delaylearn,survey,lmdlab-evan-quiz,50,390731,0.0-45.0-5.0,,[0],engagement2,655faeaa22964920719a77b3,09:31:10,03/04/2024
13905.5,,{'Q0': 'no I managed to focus throughout'},iMGEaU9pRKgVPffyC0wYkt7R6412,iMGEaU9pRKgVPffyC0wYkt7R6412,delaylearn,survey,lmdlab-survey-text,51,405419,0.0-45.0-6.0,,,engagement3,655faeaa22964920719a77b3,09:31:10,03/04/2024
6495.0,,"{""Q0"":""Same room + Same computer""}",iMGEaU9pRKgVPffyC0wYkt7R6412,iMGEaU9pRKgVPffyC0wYkt7R6412,delaylearn,survey,lmdlab-evan-quiz,52,413196,0.0-45.0-7.0,,[0],environment1,655faeaa22964920719a77b3,09:31:10,03/04/2024
8559.600000023842,,{'Q0': 'I enjoyed the tasks'},iMGEaU9pRKgVPffyC0wYkt7R6412,iMGEaU9pRKgVPffyC0wYkt7R6412,delaylearn,survey,lmdlab-survey-text,53,422539,0.0-45.0-8.0,,,comment1,655faeaa22964920719a77b3,09:31:10,03/04/2024
1816.800000011921,"<p style='font-size: 4rem; line-height: 1.3'>Great!<br><br>Finally, there are a four short questions about stress, sleep, and the overall experiment.<br><br></p><p style='font-size: 3.4rem; line-height: 1.3; color: blue;'><br><br>*Press the space bar to begin*</p>", ,iMGEaU9pRKgVPffyC0wYkt7R6412,iMGEaU9pRKgVPffyC0wYkt7R6412,delaylearn,survey,html-keyboard-response,209,821708,0.0-47.0-0.0,,,,655faeaa22964920719a77b3,09:31:10,03/04/2024
3600.0,"<p style='font-size: 3.4rem; line-height: 1.4'>How would you rate your current stress level?<br><br>Use the scale below, with 1 being the least<br>stressed and 10 being the most stressed:</p><br><br>",0.2318840579710145,iMGEaU9pRKgVPffyC0wYkt7R6412,iMGEaU9pRKgVPffyC0wYkt7R6412,delaylearn,survey,lmdlab-html-vas-response,210,826861,0.0-47.0-1.0,,,state_stress,655faeaa22964920719a77b3,09:31:10,03/04/2024
2831.0,,"{""Q0"":""Average""}",iMGEaU9pRKgVPffyC0wYkt7R6412,iMGEaU9pRKgVPffyC0wYkt7R6412,delaylearn,survey,lmdlab-evan-quiz,211,830989,0.0-47.0-2.0,,[2],sleep1,655faeaa22964920719a77b3,09:31:10,03/04/2024
2850.0,,"{""Q0"":""Average""}",iMGEaU9pRKgVPffyC0wYkt7R6412,iMGEaU9pRKgVPffyC0wYkt7R6412,delaylearn,survey,lmdlab-evan-quiz,212,834605,0.0-47.0-3.0,,[2],sleep2,655faeaa22964920719a77b3,09:31:10,03/04/2024
3899.0,,"{""Q0"":""Average""}",iMGEaU9pRKgVPffyC0wYkt7R6412,iMGEaU9pRKgVPffyC0wYkt7R6412,delaylearn,survey,lmdlab-evan-quiz,213,839277,0.0-47.0-4.0,,[2],sleep3,655faeaa22964920719a77b3,09:31:10,03/04/2024
