rt,stimulus,response,subjectID,databaseID,exp_name,exp_stage,trial_type,trial_index,time_elapsed,internal_node_id,rest_warning,choice_idxs,q_name,prolificID,start_time,date
3612.0,How <b>happy</b> are you right now?,0.5180555555555556,jb1rVboOmNhiqMnta28LUCkTkub2,jb1rVboOmNhiqMnta28LUCkTkub2,delaylearn,survey,lmdlab-html-vas-response,45,443171,0.0-45.0-0.0,,,,63ea497523794756c703094c,11:57:49,03/04/2024
2883.999999999942,"<p style='font-size: 4rem; line-height: 1.3'>Great!<br><br>Next, there are a few questions about the task.<br><br></p><p style='font-size: 3.4rem; line-height: 1.3; color: blue;'><br><br>*Press the space bar to begin*</p>", ,jb1rVboOmNhiqMnta28LUCkTkub2,jb1rVboOmNhiqMnta28LUCkTkub2,delaylearn,survey,html-keyboard-response,46,446073,0.0-45.0-1.0,,,,63ea497523794756c703094c,11:57:49,03/04/2024
3461.0,"<p style='font-size: 4rem; line-height: 1.3'>The following questions are very important for our scientific<br>research, but they will not affect your compensation in any way.<br><br>We would appreciate it if you respond honestly!<br><br><br><br></p>",,jb1rVboOmNhiqMnta28LUCkTkub2,jb1rVboOmNhiqMnta28LUCkTkub2,delaylearn,survey,lmdlab-rest-trial-limit,47,450037,0.0-45.0-2.0,0.0,,,63ea497523794756c703094c,11:57:49,03/04/2024
8790.0,,"{""Q0"":""Difficult""}",jb1rVboOmNhiqMnta28LUCkTkub2,jb1rVboOmNhiqMnta28LUCkTkub2,delaylearn,survey,lmdlab-evan-quiz,48,460156,0.0-45.0-3.0,,[3],memory,63ea497523794756c703094c,11:57:49,03/04/2024
2944.0,"<p style=""line-height: 1.3;"">How engaged and focused were you during this task?</p>",0.9236111111111112,jb1rVboOmNhiqMnta28LUCkTkub2,jb1rVboOmNhiqMnta28LUCkTkub2,delaylearn,survey,lmdlab-html-vas-response,49,464108,0.0-45.0-4.0,,,engagement1,63ea497523794756c703094c,11:57:49,03/04/2024
3936.0,,"{""Q0"":""Yes""}",jb1rVboOmNhiqMnta28LUCkTkub2,jb1rVboOmNhiqMnta28LUCkTkub2,delaylearn,survey,lmdlab-evan-quiz,50,469300,0.0-45.0-5.0,,[0],engagement2,63ea497523794756c703094c,11:57:49,03/04/2024
17359.0,,{'Q0': 'no I had no distractions'},jb1rVboOmNhiqMnta28LUCkTkub2,jb1rVboOmNhiqMnta28LUCkTkub2,delaylearn,survey,lmdlab-survey-text,51,487425,0.0-45.0-6.0,,,engagement3,63ea497523794756c703094c,11:57:49,03/04/2024
11573.0,,"{""Q0"":""Different room (in same building) + Same computer""}",jb1rVboOmNhiqMnta28LUCkTkub2,jb1rVboOmNhiqMnta28LUCkTkub2,delaylearn,survey,lmdlab-evan-quiz,52,500263,0.0-45.0-7.0,,[2],environment1,63ea497523794756c703094c,11:57:49,03/04/2024
21104.0,,{'Q0': 'I found it all clear '},jb1rVboOmNhiqMnta28LUCkTkub2,jb1rVboOmNhiqMnta28LUCkTkub2,delaylearn,survey,lmdlab-survey-text,53,522121,0.0-45.0-8.0,,,comment1,63ea497523794756c703094c,11:57:49,03/04/2024
2325.0,"<p style='font-size: 4rem; line-height: 1.3'>Great!<br><br>Finally, there are a four short questions about stress, sleep, and the overall experiment.<br><br></p><p style='font-size: 3.4rem; line-height: 1.3; color: blue;'><br><br>*Press the space bar to begin*</p>", ,jb1rVboOmNhiqMnta28LUCkTkub2,jb1rVboOmNhiqMnta28LUCkTkub2,delaylearn,survey,html-keyboard-response,209,1214116,0.0-47.0-0.0,,,,63ea497523794756c703094c,11:57:49,03/04/2024
3953.0,"<p style='font-size: 3.4rem; line-height: 1.4'>How would you rate your current stress level?<br><br>Use the scale below, with 1 being the least<br>stressed and 10 being the most stressed:</p><br><br>",0.5555555555555556,jb1rVboOmNhiqMnta28LUCkTkub2,jb1rVboOmNhiqMnta28LUCkTkub2,delaylearn,survey,lmdlab-html-vas-response,210,1219583,0.0-47.0-1.0,,,state_stress,63ea497523794756c703094c,11:57:49,03/04/2024
3203.0,,"{""Q0"":""Average""}",jb1rVboOmNhiqMnta28LUCkTkub2,jb1rVboOmNhiqMnta28LUCkTkub2,delaylearn,survey,lmdlab-evan-quiz,211,1224043,0.0-47.0-2.0,,[2],sleep1,63ea497523794756c703094c,11:57:49,03/04/2024
2849.0,,"{""Q0"":""Average""}",jb1rVboOmNhiqMnta28LUCkTkub2,jb1rVboOmNhiqMnta28LUCkTkub2,delaylearn,survey,lmdlab-evan-quiz,212,1227645,0.0-47.0-3.0,,[2],sleep2,63ea497523794756c703094c,11:57:49,03/04/2024
4127.0,,"{""Q0"":""Good""}",jb1rVboOmNhiqMnta28LUCkTkub2,jb1rVboOmNhiqMnta28LUCkTkub2,delaylearn,survey,lmdlab-evan-quiz,213,1232527,0.0-47.0-4.0,,[1],sleep3,63ea497523794756c703094c,11:57:49,03/04/2024
