rt,stimulus,response,subjectID,databaseID,exp_name,exp_stage,trial_type,trial_index,time_elapsed,internal_node_id,rest_warning,choice_idxs,q_name,prolificID,start_time,date
2873.0,How <b>happy</b> are you right now?,0.7037037037037037,m9uKhHM6GAV8KmghucjDf6wNkBN2,m9uKhHM6GAV8KmghucjDf6wNkBN2,delaylearn,survey,lmdlab-html-vas-response,45,354126,0.0-45.0-0.0,,,,5da41f84a39c100018614e31,12:09:39,03/04/2024
1682.2999999970198,"<p style='font-size: 4rem; line-height: 1.3'>Great!<br><br>Next, there are a few questions about the task.<br><br></p><p style='font-size: 3.4rem; line-height: 1.3; color: blue;'><br><br>*Press the space bar to begin*</p>", ,m9uKhHM6GAV8KmghucjDf6wNkBN2,m9uKhHM6GAV8KmghucjDf6wNkBN2,delaylearn,survey,html-keyboard-response,46,355809,0.0-45.0-1.0,,,,5da41f84a39c100018614e31,12:09:39,03/04/2024
2680.5,"<p style='font-size: 4rem; line-height: 1.3'>The following questions are very important for our scientific<br>research, but they will not affect your compensation in any way.<br><br>We would appreciate it if you respond honestly!<br><br><br><br></p>",,m9uKhHM6GAV8KmghucjDf6wNkBN2,m9uKhHM6GAV8KmghucjDf6wNkBN2,delaylearn,survey,lmdlab-rest-trial-limit,47,358991,0.0-45.0-2.0,0.0,,,5da41f84a39c100018614e31,12:09:39,03/04/2024
4464.0,,"{""Q0"":""Average""}",m9uKhHM6GAV8KmghucjDf6wNkBN2,m9uKhHM6GAV8KmghucjDf6wNkBN2,delaylearn,survey,lmdlab-evan-quiz,48,364711,0.0-45.0-3.0,,[2],memory,5da41f84a39c100018614e31,12:09:39,03/04/2024
2376.0,"<p style=""line-height: 1.3;"">How engaged and focused were you during this task?</p>",0.8703824266975309,m9uKhHM6GAV8KmghucjDf6wNkBN2,m9uKhHM6GAV8KmghucjDf6wNkBN2,delaylearn,survey,lmdlab-html-vas-response,49,368092,0.0-45.0-4.0,,,engagement1,5da41f84a39c100018614e31,12:09:39,03/04/2024
4363.0,,"{""Q0"":""Yes""}",m9uKhHM6GAV8KmghucjDf6wNkBN2,m9uKhHM6GAV8KmghucjDf6wNkBN2,delaylearn,survey,lmdlab-evan-quiz,50,373708,0.0-45.0-5.0,,[0],engagement2,5da41f84a39c100018614e31,12:09:39,03/04/2024
17750.5,,{'Q0': 'No distractions.'},m9uKhHM6GAV8KmghucjDf6wNkBN2,m9uKhHM6GAV8KmghucjDf6wNkBN2,delaylearn,survey,lmdlab-survey-text,51,392213,0.0-45.0-6.0,,,engagement3,5da41f84a39c100018614e31,12:09:39,03/04/2024
5512.0,,"{""Q0"":""Same room + Same computer""}",m9uKhHM6GAV8KmghucjDf6wNkBN2,m9uKhHM6GAV8KmghucjDf6wNkBN2,delaylearn,survey,lmdlab-evan-quiz,52,398981,0.0-45.0-7.0,,[0],environment1,5da41f84a39c100018614e31,12:09:39,03/04/2024
18145.5,,"{'Q0': 'Everything was clear, a good and sometimes challenging task!'}",m9uKhHM6GAV8KmghucjDf6wNkBN2,m9uKhHM6GAV8KmghucjDf6wNkBN2,delaylearn,survey,lmdlab-survey-text,53,417879,0.0-45.0-8.0,,,comment1,5da41f84a39c100018614e31,12:09:39,03/04/2024
2392.3999999910593,"<p style='font-size: 4rem; line-height: 1.3'>Great!<br><br>Finally, there are a four short questions about stress, sleep, and the overall experiment.<br><br></p><p style='font-size: 3.4rem; line-height: 1.3; color: blue;'><br><br>*Press the space bar to begin*</p>", ,m9uKhHM6GAV8KmghucjDf6wNkBN2,m9uKhHM6GAV8KmghucjDf6wNkBN2,delaylearn,survey,html-keyboard-response,209,880168,0.0-47.0-0.0,,,,5da41f84a39c100018614e31,12:09:39,03/04/2024
3966.0,"<p style='font-size: 3.4rem; line-height: 1.4'>How would you rate your current stress level?<br><br>Use the scale below, with 1 being the least<br>stressed and 10 being the most stressed:</p><br><br>",0.23148148148148148,m9uKhHM6GAV8KmghucjDf6wNkBN2,m9uKhHM6GAV8KmghucjDf6wNkBN2,delaylearn,survey,lmdlab-html-vas-response,210,885642,0.0-47.0-1.0,,,state_stress,5da41f84a39c100018614e31,12:09:39,03/04/2024
2962.0,,"{""Q0"":""Good""}",m9uKhHM6GAV8KmghucjDf6wNkBN2,m9uKhHM6GAV8KmghucjDf6wNkBN2,delaylearn,survey,lmdlab-evan-quiz,211,889858,0.0-47.0-2.0,,[1],sleep1,5da41f84a39c100018614e31,12:09:39,03/04/2024
2546.0,,"{""Q0"":""Average""}",m9uKhHM6GAV8KmghucjDf6wNkBN2,m9uKhHM6GAV8KmghucjDf6wNkBN2,delaylearn,survey,lmdlab-evan-quiz,212,893158,0.0-47.0-3.0,,[2],sleep2,5da41f84a39c100018614e31,12:09:39,03/04/2024
2446.0,,"{""Q0"":""Average""}",m9uKhHM6GAV8KmghucjDf6wNkBN2,m9uKhHM6GAV8KmghucjDf6wNkBN2,delaylearn,survey,lmdlab-evan-quiz,213,896358,0.0-47.0-4.0,,[2],sleep3,5da41f84a39c100018614e31,12:09:39,03/04/2024
