rt,stimulus,response,subjectID,databaseID,exp_name,exp_stage,trial_type,trial_index,time_elapsed,internal_node_id,rest_warning,choice_idxs,q_name,prolificID,start_time,date
3221.0,How <b>happy</b> are you right now?,0.5066666158040365,5HhdVCS5QXda6f6aPWNUEySrTgZ2,5HhdVCS5QXda6f6aPWNUEySrTgZ2,delaylearn,survey,lmdlab-html-vas-response,45,449486,0.0-45.0-0.0,,,,63468c2501e33edb7ecf1907,12:27:52,03/04/2024
895.3000000119209,"<p style='font-size: 4rem; line-height: 1.3'>Great!<br><br>Next, there are a few questions about the task.<br><br></p><p style='font-size: 3.4rem; line-height: 1.3; color: blue;'><br><br>*Press the space bar to begin*</p>", ,5HhdVCS5QXda6f6aPWNUEySrTgZ2,5HhdVCS5QXda6f6aPWNUEySrTgZ2,delaylearn,survey,html-keyboard-response,46,450383,0.0-45.0-1.0,,,,63468c2501e33edb7ecf1907,12:27:52,03/04/2024
4200.0,"<p style='font-size: 4rem; line-height: 1.3'>The following questions are very important for our scientific<br>research, but they will not affect your compensation in any way.<br><br>We would appreciate it if you respond honestly!<br><br><br><br></p>",,5HhdVCS5QXda6f6aPWNUEySrTgZ2,5HhdVCS5QXda6f6aPWNUEySrTgZ2,delaylearn,survey,lmdlab-rest-trial-limit,47,455090,0.0-45.0-2.0,0.0,,,63468c2501e33edb7ecf1907,12:27:52,03/04/2024
7253.0,,"{""Q0"":""Easy""}",5HhdVCS5QXda6f6aPWNUEySrTgZ2,5HhdVCS5QXda6f6aPWNUEySrTgZ2,delaylearn,survey,lmdlab-evan-quiz,48,463606,0.0-45.0-3.0,,[1],memory,63468c2501e33edb7ecf1907,12:27:52,03/04/2024
3222.0,"<p style=""line-height: 1.3;"">How engaged and focused were you during this task?</p>",0.7166666158040365,5HhdVCS5QXda6f6aPWNUEySrTgZ2,5HhdVCS5QXda6f6aPWNUEySrTgZ2,delaylearn,survey,lmdlab-html-vas-response,49,467834,0.0-45.0-4.0,,,engagement1,63468c2501e33edb7ecf1907,12:27:52,03/04/2024
4327.0,,"{""Q0"":""Yes""}",5HhdVCS5QXda6f6aPWNUEySrTgZ2,5HhdVCS5QXda6f6aPWNUEySrTgZ2,delaylearn,survey,lmdlab-evan-quiz,50,473421,0.0-45.0-5.0,,[0],engagement2,63468c2501e33edb7ecf1907,12:27:52,03/04/2024
24630.099999964237,,{'Q0': 'i was not distracted during the experiment'},5HhdVCS5QXda6f6aPWNUEySrTgZ2,5HhdVCS5QXda6f6aPWNUEySrTgZ2,delaylearn,survey,lmdlab-survey-text,51,498806,0.0-45.0-6.0,,,engagement3,63468c2501e33edb7ecf1907,12:27:52,03/04/2024
8970.0,,"{""Q0"":""Same room + Same computer""}",5HhdVCS5QXda6f6aPWNUEySrTgZ2,5HhdVCS5QXda6f6aPWNUEySrTgZ2,delaylearn,survey,lmdlab-evan-quiz,52,509037,0.0-45.0-7.0,,[0],environment1,63468c2501e33edb7ecf1907,12:27:52,03/04/2024
10065.600000023842,,{'Q0': 'no comments'},5HhdVCS5QXda6f6aPWNUEySrTgZ2,5HhdVCS5QXda6f6aPWNUEySrTgZ2,delaylearn,survey,lmdlab-survey-text,53,519857,0.0-45.0-8.0,,,comment1,63468c2501e33edb7ecf1907,12:27:52,03/04/2024
2462.5,"<p style='font-size: 4rem; line-height: 1.3'>Great!<br><br>Finally, there are a four short questions about stress, sleep, and the overall experiment.<br><br></p><p style='font-size: 3.4rem; line-height: 1.3; color: blue;'><br><br>*Press the space bar to begin*</p>", ,5HhdVCS5QXda6f6aPWNUEySrTgZ2,5HhdVCS5QXda6f6aPWNUEySrTgZ2,delaylearn,survey,html-keyboard-response,209,914315,0.0-47.0-0.0,,,,63468c2501e33edb7ecf1907,12:27:52,03/04/2024
3360.0,"<p style='font-size: 3.4rem; line-height: 1.4'>How would you rate your current stress level?<br><br>Use the scale below, with 1 being the least<br>stressed and 10 being the most stressed:</p><br><br>",0.02166661580403646,5HhdVCS5QXda6f6aPWNUEySrTgZ2,5HhdVCS5QXda6f6aPWNUEySrTgZ2,delaylearn,survey,lmdlab-html-vas-response,210,919185,0.0-47.0-1.0,,,state_stress,63468c2501e33edb7ecf1907,12:27:52,03/04/2024
4419.0,,"{""Q0"":""Average""}",5HhdVCS5QXda6f6aPWNUEySrTgZ2,5HhdVCS5QXda6f6aPWNUEySrTgZ2,delaylearn,survey,lmdlab-evan-quiz,211,924863,0.0-47.0-2.0,,[2],sleep1,63468c2501e33edb7ecf1907,12:27:52,03/04/2024
4326.0,,"{""Q0"":""Average""}",5HhdVCS5QXda6f6aPWNUEySrTgZ2,5HhdVCS5QXda6f6aPWNUEySrTgZ2,delaylearn,survey,lmdlab-evan-quiz,212,929943,0.0-47.0-3.0,,[2],sleep2,63468c2501e33edb7ecf1907,12:27:52,03/04/2024
3694.0,,"{""Q0"":""Poor""}",5HhdVCS5QXda6f6aPWNUEySrTgZ2,5HhdVCS5QXda6f6aPWNUEySrTgZ2,delaylearn,survey,lmdlab-evan-quiz,213,934391,0.0-47.0-4.0,,[3],sleep3,63468c2501e33edb7ecf1907,12:27:52,03/04/2024
