rt,stimulus,response,subjectID,databaseID,exp_name,exp_stage,trial_type,trial_index,time_elapsed,internal_node_id,rest_warning,choice_idxs,q_name,prolificID,start_time,date
2840,How <b>happy</b> are you right now?,0.49382716049382713,4fmsWGjJCMZRwx0RIoPdFcupPcw1,4fmsWGjJCMZRwx0RIoPdFcupPcw1,delaylearn,survey,lmdlab-html-vas-response,45,382557,0.0-45.0-0.0,,,,65ff408b32980a820b6742c7,14:35:26,03/04/2024
1617,"<p style='font-size: 4rem; line-height: 1.3'>Great!<br><br>Next, there are a few questions about the task.<br><br></p><p style='font-size: 3.4rem; line-height: 1.3; color: blue;'><br><br>*Press the space bar to begin*</p>", ,4fmsWGjJCMZRwx0RIoPdFcupPcw1,4fmsWGjJCMZRwx0RIoPdFcupPcw1,delaylearn,survey,html-keyboard-response,46,384176,0.0-45.0-1.0,,,,65ff408b32980a820b6742c7,14:35:26,03/04/2024
4785,"<p style='font-size: 4rem; line-height: 1.3'>The following questions are very important for our scientific<br>research, but they will not affect your compensation in any way.<br><br>We would appreciate it if you respond honestly!<br><br><br><br></p>",,4fmsWGjJCMZRwx0RIoPdFcupPcw1,4fmsWGjJCMZRwx0RIoPdFcupPcw1,delaylearn,survey,lmdlab-rest-trial-limit,47,389468,0.0-45.0-2.0,0.0,,,65ff408b32980a820b6742c7,14:35:26,03/04/2024
5658,,"{""Q0"":""Average""}",4fmsWGjJCMZRwx0RIoPdFcupPcw1,4fmsWGjJCMZRwx0RIoPdFcupPcw1,delaylearn,survey,lmdlab-evan-quiz,48,396397,0.0-45.0-3.0,,[2],memory,65ff408b32980a820b6742c7,14:35:26,03/04/2024
3199,"<p style=""line-height: 1.3;"">How engaged and focused were you during this task?</p>",0.404320987654321,4fmsWGjJCMZRwx0RIoPdFcupPcw1,4fmsWGjJCMZRwx0RIoPdFcupPcw1,delaylearn,survey,lmdlab-html-vas-response,49,400613,0.0-45.0-4.0,,,engagement1,65ff408b32980a820b6742c7,14:35:26,03/04/2024
11940,,"{""Q0"":""Yes""}",4fmsWGjJCMZRwx0RIoPdFcupPcw1,4fmsWGjJCMZRwx0RIoPdFcupPcw1,delaylearn,survey,lmdlab-evan-quiz,50,413816,0.0-45.0-5.0,,[0],engagement2,65ff408b32980a820b6742c7,14:35:26,03/04/2024
37145,,"{'Q0': 'I\'m autistic, I can ""blank out"" on occasion so I\'ll potentially be inattentive for short intervals.'}",4fmsWGjJCMZRwx0RIoPdFcupPcw1,4fmsWGjJCMZRwx0RIoPdFcupPcw1,delaylearn,survey,lmdlab-survey-text,51,451719,0.0-45.0-6.0,,,engagement3,65ff408b32980a820b6742c7,14:35:26,03/04/2024
14328,,"{""Q0"":""Same room + Same computer""}",4fmsWGjJCMZRwx0RIoPdFcupPcw1,4fmsWGjJCMZRwx0RIoPdFcupPcw1,delaylearn,survey,lmdlab-evan-quiz,52,467321,0.0-45.0-7.0,,[0],environment1,65ff408b32980a820b6742c7,14:35:26,03/04/2024
11464,,{'Q0': 'I am indifferent'},4fmsWGjJCMZRwx0RIoPdFcupPcw1,4fmsWGjJCMZRwx0RIoPdFcupPcw1,delaylearn,survey,lmdlab-survey-text,53,479540,0.0-45.0-8.0,,,comment1,65ff408b32980a820b6742c7,14:35:26,03/04/2024
1919,"<p style='font-size: 4rem; line-height: 1.3'>Great!<br><br>Finally, there are a four short questions about stress, sleep, and the overall experiment.<br><br></p><p style='font-size: 3.4rem; line-height: 1.3; color: blue;'><br><br>*Press the space bar to begin*</p>", ,4fmsWGjJCMZRwx0RIoPdFcupPcw1,4fmsWGjJCMZRwx0RIoPdFcupPcw1,delaylearn,survey,html-keyboard-response,209,922484,0.0-47.0-0.0,,,,65ff408b32980a820b6742c7,14:35:26,03/04/2024
7884,"<p style='font-size: 3.4rem; line-height: 1.4'>How would you rate your current stress level?<br><br>Use the scale below, with 1 being the least<br>stressed and 10 being the most stressed:</p><br><br>",0.6666923805519387,4fmsWGjJCMZRwx0RIoPdFcupPcw1,4fmsWGjJCMZRwx0RIoPdFcupPcw1,delaylearn,survey,lmdlab-html-vas-response,210,931880,0.0-47.0-1.0,,,state_stress,65ff408b32980a820b6742c7,14:35:26,03/04/2024
5789,,"{""Q0"":""Average""}",4fmsWGjJCMZRwx0RIoPdFcupPcw1,4fmsWGjJCMZRwx0RIoPdFcupPcw1,delaylearn,survey,lmdlab-evan-quiz,211,938934,0.0-47.0-2.0,,[2],sleep1,65ff408b32980a820b6742c7,14:35:26,03/04/2024
2537,,"{""Q0"":""Average""}",4fmsWGjJCMZRwx0RIoPdFcupPcw1,4fmsWGjJCMZRwx0RIoPdFcupPcw1,delaylearn,survey,lmdlab-evan-quiz,212,942236,0.0-47.0-3.0,,[2],sleep2,65ff408b32980a820b6742c7,14:35:26,03/04/2024
5152,,"{""Q0"":""Average""}",4fmsWGjJCMZRwx0RIoPdFcupPcw1,4fmsWGjJCMZRwx0RIoPdFcupPcw1,delaylearn,survey,lmdlab-evan-quiz,213,948147,0.0-47.0-4.0,,[2],sleep3,65ff408b32980a820b6742c7,14:35:26,03/04/2024
