rt,stimulus,response,subjectID,databaseID,exp_name,exp_stage,trial_type,trial_index,time_elapsed,internal_node_id,rest_warning,choice_idxs,q_name,prolificID,start_time,date
3023.0,How <b>happy</b> are you right now?,0.32638883819632647,IHUx8tdkpteY9HMrLXRB9YRZdz32,IHUx8tdkpteY9HMrLXRB9YRZdz32,delaylearn,survey,lmdlab-html-vas-response,45,490041,0.0-45.0-0.0,,,,63d9cfec2060a424e3495756,16:46:17,03/04/2024
1967.5,"<p style='font-size: 4rem; line-height: 1.3'>Great!<br><br>Next, there are a few questions about the task.<br><br></p><p style='font-size: 3.4rem; line-height: 1.3; color: blue;'><br><br>*Press the space bar to begin*</p>", ,IHUx8tdkpteY9HMrLXRB9YRZdz32,IHUx8tdkpteY9HMrLXRB9YRZdz32,delaylearn,survey,html-keyboard-response,46,492010,0.0-45.0-1.0,,,,63d9cfec2060a424e3495756,16:46:17,03/04/2024
2092.5,"<p style='font-size: 4rem; line-height: 1.3'>The following questions are very important for our scientific<br>research, but they will not affect your compensation in any way.<br><br>We would appreciate it if you respond honestly!<br><br><br><br></p>",,IHUx8tdkpteY9HMrLXRB9YRZdz32,IHUx8tdkpteY9HMrLXRB9YRZdz32,delaylearn,survey,lmdlab-rest-trial-limit,47,494608,0.0-45.0-2.0,0.0,,,63d9cfec2060a424e3495756,16:46:17,03/04/2024
2901.0,,"{""Q0"":""Difficult""}",IHUx8tdkpteY9HMrLXRB9YRZdz32,IHUx8tdkpteY9HMrLXRB9YRZdz32,delaylearn,survey,lmdlab-evan-quiz,48,498776,0.0-45.0-3.0,,[3],memory,63d9cfec2060a424e3495756,16:46:17,03/04/2024
2697.0,"<p style=""line-height: 1.3;"">How engaged and focused were you during this task?</p>",0.7160734498731143,IHUx8tdkpteY9HMrLXRB9YRZdz32,IHUx8tdkpteY9HMrLXRB9YRZdz32,delaylearn,survey,lmdlab-html-vas-response,49,502482,0.0-45.0-4.0,,,engagement1,63d9cfec2060a424e3495756,16:46:17,03/04/2024
2955.0,,"{""Q0"":""Yes""}",IHUx8tdkpteY9HMrLXRB9YRZdz32,IHUx8tdkpteY9HMrLXRB9YRZdz32,delaylearn,survey,lmdlab-evan-quiz,50,506700,0.0-45.0-5.0,,[0],engagement2,63d9cfec2060a424e3495756,16:46:17,03/04/2024
8591.100000023842,,{'Q0': 'I did not.'},IHUx8tdkpteY9HMrLXRB9YRZdz32,IHUx8tdkpteY9HMrLXRB9YRZdz32,delaylearn,survey,lmdlab-survey-text,51,516050,0.0-45.0-6.0,,,engagement3,63d9cfec2060a424e3495756,16:46:17,03/04/2024
3087.0,,"{""Q0"":""Same room + Same computer""}",IHUx8tdkpteY9HMrLXRB9YRZdz32,IHUx8tdkpteY9HMrLXRB9YRZdz32,delaylearn,survey,lmdlab-evan-quiz,52,520402,0.0-45.0-7.0,,[0],environment1,63d9cfec2060a424e3495756,16:46:17,03/04/2024
6013.0,,{'Q0': 'I enjoyed the task.'},IHUx8tdkpteY9HMrLXRB9YRZdz32,IHUx8tdkpteY9HMrLXRB9YRZdz32,delaylearn,survey,lmdlab-survey-text,53,527180,0.0-45.0-8.0,,,comment1,63d9cfec2060a424e3495756,16:46:17,03/04/2024
1482.300000011921,"<p style='font-size: 4rem; line-height: 1.3'>Great!<br><br>Finally, there are a four short questions about stress, sleep, and the overall experiment.<br><br></p><p style='font-size: 3.4rem; line-height: 1.3; color: blue;'><br><br>*Press the space bar to begin*</p>", ,IHUx8tdkpteY9HMrLXRB9YRZdz32,IHUx8tdkpteY9HMrLXRB9YRZdz32,delaylearn,survey,html-keyboard-response,209,980263,0.0-47.0-0.0,,,,63d9cfec2060a424e3495756,16:46:17,03/04/2024
2970.0,"<p style='font-size: 3.4rem; line-height: 1.4'>How would you rate your current stress level?<br><br>Use the scale below, with 1 being the least<br>stressed and 10 being the most stressed:</p><br><br>",0.45949068377974317,IHUx8tdkpteY9HMrLXRB9YRZdz32,IHUx8tdkpteY9HMrLXRB9YRZdz32,delaylearn,survey,lmdlab-html-vas-response,210,984765,0.0-47.0-1.0,,,state_stress,63d9cfec2060a424e3495756,16:46:17,03/04/2024
2317.0,,"{""Q0"":""Very poor""}",IHUx8tdkpteY9HMrLXRB9YRZdz32,IHUx8tdkpteY9HMrLXRB9YRZdz32,delaylearn,survey,lmdlab-evan-quiz,211,988355,0.0-47.0-2.0,,[4],sleep1,63d9cfec2060a424e3495756,16:46:17,03/04/2024
2360.0,,"{""Q0"":""Less""}",IHUx8tdkpteY9HMrLXRB9YRZdz32,IHUx8tdkpteY9HMrLXRB9YRZdz32,delaylearn,survey,lmdlab-evan-quiz,212,991470,0.0-47.0-3.0,,[3],sleep2,63d9cfec2060a424e3495756,16:46:17,03/04/2024
1984.0,,"{""Q0"":""Poor""}",IHUx8tdkpteY9HMrLXRB9YRZdz32,IHUx8tdkpteY9HMrLXRB9YRZdz32,delaylearn,survey,lmdlab-evan-quiz,213,994207,0.0-47.0-4.0,,[3],sleep3,63d9cfec2060a424e3495756,16:46:17,03/04/2024
