rt,stimulus,response,subjectID,databaseID,exp_name,exp_stage,trial_type,trial_index,time_elapsed,internal_node_id,rest_warning,choice_idxs,q_name,prolificID,start_time,date
4161,How <b>happy</b> are you right now?,0.35514018691588783,SY98FtUWTZd6fhuqLt69ChMe9OE2,SY98FtUWTZd6fhuqLt69ChMe9OE2,delaylearn,survey,lmdlab-html-vas-response,45,372161,0.0-45.0-0.0,,,,63d3f99c57f6b09e77ce7c82,17:02:31,03/04/2024
1589,"<p style='font-size: 4rem; line-height: 1.3'>Great!<br><br>Next, there are a few questions about the task.<br><br></p><p style='font-size: 3.4rem; line-height: 1.3; color: blue;'><br><br>*Press the space bar to begin*</p>", ,SY98FtUWTZd6fhuqLt69ChMe9OE2,SY98FtUWTZd6fhuqLt69ChMe9OE2,delaylearn,survey,html-keyboard-response,46,373756,0.0-45.0-1.0,,,,63d3f99c57f6b09e77ce7c82,17:02:31,03/04/2024
2725,"<p style='font-size: 4rem; line-height: 1.3'>The following questions are very important for our scientific<br>research, but they will not affect your compensation in any way.<br><br>We would appreciate it if you respond honestly!<br><br><br><br></p>",,SY98FtUWTZd6fhuqLt69ChMe9OE2,SY98FtUWTZd6fhuqLt69ChMe9OE2,delaylearn,survey,lmdlab-rest-trial-limit,47,376990,0.0-45.0-2.0,0.0,,,63d3f99c57f6b09e77ce7c82,17:02:31,03/04/2024
6104,,"{""Q0"":""Difficult""}",SY98FtUWTZd6fhuqLt69ChMe9OE2,SY98FtUWTZd6fhuqLt69ChMe9OE2,delaylearn,survey,lmdlab-evan-quiz,48,384354,0.0-45.0-3.0,,[3],memory,63d3f99c57f6b09e77ce7c82,17:02:31,03/04/2024
3137,"<p style=""line-height: 1.3;"">How engaged and focused were you during this task?</p>",0.8193146417445483,SY98FtUWTZd6fhuqLt69ChMe9OE2,SY98FtUWTZd6fhuqLt69ChMe9OE2,delaylearn,survey,lmdlab-html-vas-response,49,388499,0.0-45.0-4.0,,,engagement1,63d3f99c57f6b09e77ce7c82,17:02:31,03/04/2024
4317,,"{""Q0"":""Yes""}",SY98FtUWTZd6fhuqLt69ChMe9OE2,SY98FtUWTZd6fhuqLt69ChMe9OE2,delaylearn,survey,lmdlab-evan-quiz,50,394075,0.0-45.0-5.0,,[0],engagement2,63d3f99c57f6b09e77ce7c82,17:02:31,03/04/2024
4971,,{'Q0': 'None'},SY98FtUWTZd6fhuqLt69ChMe9OE2,SY98FtUWTZd6fhuqLt69ChMe9OE2,delaylearn,survey,lmdlab-survey-text,51,399807,0.0-45.0-6.0,,,engagement3,63d3f99c57f6b09e77ce7c82,17:02:31,03/04/2024
4362,,"{""Q0"":""Same room + Same computer""}",SY98FtUWTZd6fhuqLt69ChMe9OE2,SY98FtUWTZd6fhuqLt69ChMe9OE2,delaylearn,survey,lmdlab-evan-quiz,52,405434,0.0-45.0-7.0,,[0],environment1,63d3f99c57f6b09e77ce7c82,17:02:31,03/04/2024
36857,,"{'Q0': 'Everything was fine, but some kind of response to clicking F or J would help, as sometimes I was unsure if it had registered. Maybe circle the one chosen or something.'}",SY98FtUWTZd6fhuqLt69ChMe9OE2,SY98FtUWTZd6fhuqLt69ChMe9OE2,delaylearn,survey,lmdlab-survey-text,53,443047,0.0-45.0-8.0,,,comment1,63d3f99c57f6b09e77ce7c82,17:02:31,03/04/2024
2608,"<p style='font-size: 4rem; line-height: 1.3'>Great!<br><br>Finally, there are a four short questions about stress, sleep, and the overall experiment.<br><br></p><p style='font-size: 3.4rem; line-height: 1.3; color: blue;'><br><br>*Press the space bar to begin*</p>", ,SY98FtUWTZd6fhuqLt69ChMe9OE2,SY98FtUWTZd6fhuqLt69ChMe9OE2,delaylearn,survey,html-keyboard-response,209,856081,0.0-47.0-0.0,,,,63d3f99c57f6b09e77ce7c82,17:02:31,03/04/2024
2979,"<p style='font-size: 3.4rem; line-height: 1.4'>How would you rate your current stress level?<br><br>Use the scale below, with 1 being the least<br>stressed and 10 being the most stressed:</p><br><br>",0.3318016551365362,SY98FtUWTZd6fhuqLt69ChMe9OE2,SY98FtUWTZd6fhuqLt69ChMe9OE2,delaylearn,survey,lmdlab-html-vas-response,210,860575,0.0-47.0-1.0,,,state_stress,63d3f99c57f6b09e77ce7c82,17:02:31,03/04/2024
3282,,"{""Q0"":""Average""}",SY98FtUWTZd6fhuqLt69ChMe9OE2,SY98FtUWTZd6fhuqLt69ChMe9OE2,delaylearn,survey,lmdlab-evan-quiz,211,865125,0.0-47.0-2.0,,[2],sleep1,63d3f99c57f6b09e77ce7c82,17:02:31,03/04/2024
4074,,"{""Q0"":""Average""}",SY98FtUWTZd6fhuqLt69ChMe9OE2,SY98FtUWTZd6fhuqLt69ChMe9OE2,delaylearn,survey,lmdlab-evan-quiz,212,869964,0.0-47.0-3.0,,[2],sleep2,63d3f99c57f6b09e77ce7c82,17:02:31,03/04/2024
4896,,"{""Q0"":""Very poor""}",SY98FtUWTZd6fhuqLt69ChMe9OE2,SY98FtUWTZd6fhuqLt69ChMe9OE2,delaylearn,survey,lmdlab-evan-quiz,213,875623,0.0-47.0-4.0,,[4],sleep3,63d3f99c57f6b09e77ce7c82,17:02:31,03/04/2024
