rt,stimulus,response,subjectID,databaseID,exp_name,exp_stage,trial_type,trial_index,time_elapsed,internal_node_id,rest_warning,choice_idxs,q_name,prolificID,start_time,date
4287.0,How <b>happy</b> are you right now?,0.7160493827160493,hVfdsaCXpEU0HKlbgWY9zUQJRYk2,hVfdsaCXpEU0HKlbgWY9zUQJRYk2,delaylearn,survey,lmdlab-html-vas-response,45,477477,0.0-45.0-0.0,,,,5fe247ccdfcbb9dda902109d,19:05:44,03/04/2024
2044.7000000476837,"<p style='font-size: 4rem; line-height: 1.3'>Great!<br><br>Next, there are a few questions about the task.<br><br></p><p style='font-size: 3.4rem; line-height: 1.3; color: blue;'><br><br>*Press the space bar to begin*</p>", ,hVfdsaCXpEU0HKlbgWY9zUQJRYk2,hVfdsaCXpEU0HKlbgWY9zUQJRYk2,delaylearn,survey,html-keyboard-response,46,479525,0.0-45.0-1.0,,,,5fe247ccdfcbb9dda902109d,19:05:44,03/04/2024
4905.899999856949,"<p style='font-size: 4rem; line-height: 1.3'>The following questions are very important for our scientific<br>research, but they will not affect your compensation in any way.<br><br>We would appreciate it if you respond honestly!<br><br><br><br></p>",,hVfdsaCXpEU0HKlbgWY9zUQJRYk2,hVfdsaCXpEU0HKlbgWY9zUQJRYk2,delaylearn,survey,lmdlab-rest-trial-limit,47,484947,0.0-45.0-2.0,0.0,,,5fe247ccdfcbb9dda902109d,19:05:44,03/04/2024
5658.0,,"{""Q0"":""Average""}",hVfdsaCXpEU0HKlbgWY9zUQJRYk2,hVfdsaCXpEU0HKlbgWY9zUQJRYk2,delaylearn,survey,lmdlab-evan-quiz,48,491879,0.0-45.0-3.0,,[2],memory,5fe247ccdfcbb9dda902109d,19:05:44,03/04/2024
3775.0,"<p style=""line-height: 1.3;"">How engaged and focused were you during this task?</p>",0.9783950617283951,hVfdsaCXpEU0HKlbgWY9zUQJRYk2,hVfdsaCXpEU0HKlbgWY9zUQJRYk2,delaylearn,survey,lmdlab-html-vas-response,49,496676,0.0-45.0-4.0,,,engagement1,5fe247ccdfcbb9dda902109d,19:05:44,03/04/2024
4991.0,,"{""Q0"":""Yes""}",hVfdsaCXpEU0HKlbgWY9zUQJRYk2,hVfdsaCXpEU0HKlbgWY9zUQJRYk2,delaylearn,survey,lmdlab-evan-quiz,50,502938,0.0-45.0-5.0,,[0],engagement2,5fe247ccdfcbb9dda902109d,19:05:44,03/04/2024
10061.599999904633,,{'Q0': 'nope'},hVfdsaCXpEU0HKlbgWY9zUQJRYk2,hVfdsaCXpEU0HKlbgWY9zUQJRYk2,delaylearn,survey,lmdlab-survey-text,51,513765,0.0-45.0-6.0,,,engagement3,5fe247ccdfcbb9dda902109d,19:05:44,03/04/2024
6827.0,,"{""Q0"":""Same room + Same computer""}",hVfdsaCXpEU0HKlbgWY9zUQJRYk2,hVfdsaCXpEU0HKlbgWY9zUQJRYk2,delaylearn,survey,lmdlab-evan-quiz,52,521852,0.0-45.0-7.0,,[0],environment1,5fe247ccdfcbb9dda902109d,19:05:44,03/04/2024
17198.5,,{'Q0': 'I enjoyed it.'},hVfdsaCXpEU0HKlbgWY9zUQJRYk2,hVfdsaCXpEU0HKlbgWY9zUQJRYk2,delaylearn,survey,lmdlab-survey-text,53,539819,0.0-45.0-8.0,,,comment1,5fe247ccdfcbb9dda902109d,19:05:44,03/04/2024
2616.0999999046326,"<p style='font-size: 4rem; line-height: 1.3'>Great!<br><br>Finally, there are a four short questions about stress, sleep, and the overall experiment.<br><br></p><p style='font-size: 3.4rem; line-height: 1.3; color: blue;'><br><br>*Press the space bar to begin*</p>", ,hVfdsaCXpEU0HKlbgWY9zUQJRYk2,hVfdsaCXpEU0HKlbgWY9zUQJRYk2,delaylearn,survey,html-keyboard-response,209,1199297,0.0-47.0-0.0,,,,5fe247ccdfcbb9dda902109d,19:05:44,03/04/2024
5352.0,"<p style='font-size: 3.4rem; line-height: 1.4'>How would you rate your current stress level?<br><br>Use the scale below, with 1 being the least<br>stressed and 10 being the most stressed:</p><br><br>",0.3441599151234568,hVfdsaCXpEU0HKlbgWY9zUQJRYk2,hVfdsaCXpEU0HKlbgWY9zUQJRYk2,delaylearn,survey,lmdlab-html-vas-response,210,1206191,0.0-47.0-1.0,,,state_stress,5fe247ccdfcbb9dda902109d,19:05:44,03/04/2024
4080.0,,"{""Q0"":""Good""}",hVfdsaCXpEU0HKlbgWY9zUQJRYk2,hVfdsaCXpEU0HKlbgWY9zUQJRYk2,delaylearn,survey,lmdlab-evan-quiz,211,1211543,0.0-47.0-2.0,,[1],sleep1,5fe247ccdfcbb9dda902109d,19:05:44,03/04/2024
3735.0,,"{""Q0"":""Average""}",hVfdsaCXpEU0HKlbgWY9zUQJRYk2,hVfdsaCXpEU0HKlbgWY9zUQJRYk2,delaylearn,survey,lmdlab-evan-quiz,212,1216040,0.0-47.0-3.0,,[2],sleep2,5fe247ccdfcbb9dda902109d,19:05:44,03/04/2024
3874.0,,"{""Q0"":""Average""}",hVfdsaCXpEU0HKlbgWY9zUQJRYk2,hVfdsaCXpEU0HKlbgWY9zUQJRYk2,delaylearn,survey,lmdlab-evan-quiz,213,1220680,0.0-47.0-4.0,,[2],sleep3,5fe247ccdfcbb9dda902109d,19:05:44,03/04/2024
