rt,stimulus,response,subjectID,databaseID,exp_name,exp_stage,trial_type,trial_index,time_elapsed,internal_node_id,rest_warning,choice_idxs,q_name,prolificID,start_time,date
4905.0,How <b>happy</b> are you right now?,0.435185178120931,Tvc14wSGOJWiE66kfAv48nj82aP2,Tvc14wSGOJWiE66kfAv48nj82aP2,delaylearn,survey,lmdlab-html-vas-response,45,655463,0.0-45.0-0.0,,,,57732cfcda75d30001487571,21:27:56,03/04/2024
1452.1000000238419,"<p style='font-size: 4rem; line-height: 1.3'>Great!<br><br>Next, there are a few questions about the task.<br><br></p><p style='font-size: 3.4rem; line-height: 1.3; color: blue;'><br><br>*Press the space bar to begin*</p>", ,Tvc14wSGOJWiE66kfAv48nj82aP2,Tvc14wSGOJWiE66kfAv48nj82aP2,delaylearn,survey,html-keyboard-response,46,656918,0.0-45.0-1.0,,,,57732cfcda75d30001487571,21:27:56,03/04/2024
2538.8000000715256,"<p style='font-size: 4rem; line-height: 1.3'>The following questions are very important for our scientific<br>research, but they will not affect your compensation in any way.<br><br>We would appreciate it if you respond honestly!<br><br><br><br></p>",,Tvc14wSGOJWiE66kfAv48nj82aP2,Tvc14wSGOJWiE66kfAv48nj82aP2,delaylearn,survey,lmdlab-rest-trial-limit,47,659967,0.0-45.0-2.0,0.0,,,57732cfcda75d30001487571,21:27:56,03/04/2024
10648.0,,"{""Q0"":""Average""}",Tvc14wSGOJWiE66kfAv48nj82aP2,Tvc14wSGOJWiE66kfAv48nj82aP2,delaylearn,survey,lmdlab-evan-quiz,48,671887,0.0-45.0-3.0,,[2],memory,57732cfcda75d30001487571,21:27:56,03/04/2024
5146.0,"<p style=""line-height: 1.3;"">How engaged and focused were you during this task?</p>",0.9935185114542643,Tvc14wSGOJWiE66kfAv48nj82aP2,Tvc14wSGOJWiE66kfAv48nj82aP2,delaylearn,survey,lmdlab-html-vas-response,49,678048,0.0-45.0-4.0,,,engagement1,57732cfcda75d30001487571,21:27:56,03/04/2024
4382.0,,"{""Q0"":""Yes""}",Tvc14wSGOJWiE66kfAv48nj82aP2,Tvc14wSGOJWiE66kfAv48nj82aP2,delaylearn,survey,lmdlab-evan-quiz,50,683700,0.0-45.0-5.0,,[0],engagement2,57732cfcda75d30001487571,21:27:56,03/04/2024
15704.200000047684,,{'Q0': 'There were no distractions'},Tvc14wSGOJWiE66kfAv48nj82aP2,Tvc14wSGOJWiE66kfAv48nj82aP2,delaylearn,survey,lmdlab-survey-text,51,700163,0.0-45.0-6.0,,,engagement3,57732cfcda75d30001487571,21:27:56,03/04/2024
9691.0,,"{""Q0"":""Same room + Same computer""}",Tvc14wSGOJWiE66kfAv48nj82aP2,Tvc14wSGOJWiE66kfAv48nj82aP2,delaylearn,survey,lmdlab-evan-quiz,52,711122,0.0-45.0-7.0,,[0],environment1,57732cfcda75d30001487571,21:27:56,03/04/2024
6677.899999976158,,{'Q0': '    '},Tvc14wSGOJWiE66kfAv48nj82aP2,Tvc14wSGOJWiE66kfAv48nj82aP2,delaylearn,survey,lmdlab-survey-text,53,718567,0.0-45.0-8.0,,,comment1,57732cfcda75d30001487571,21:27:56,03/04/2024
1759.2000000476837,"<p style='font-size: 4rem; line-height: 1.3'>Great!<br><br>Finally, there are a four short questions about stress, sleep, and the overall experiment.<br><br></p><p style='font-size: 3.4rem; line-height: 1.3; color: blue;'><br><br>*Press the space bar to begin*</p>", ,Tvc14wSGOJWiE66kfAv48nj82aP2,Tvc14wSGOJWiE66kfAv48nj82aP2,delaylearn,survey,html-keyboard-response,209,1243722,0.0-47.0-0.0,,,,57732cfcda75d30001487571,21:27:56,03/04/2024
3273.0,"<p style='font-size: 3.4rem; line-height: 1.4'>How would you rate your current stress level?<br><br>Use the scale below, with 1 being the least<br>stressed and 10 being the most stressed:</p><br><br>",0.497685178120931,Tvc14wSGOJWiE66kfAv48nj82aP2,Tvc14wSGOJWiE66kfAv48nj82aP2,delaylearn,survey,lmdlab-html-vas-response,210,1248523,0.0-47.0-1.0,,,state_stress,57732cfcda75d30001487571,21:27:56,03/04/2024
2524.0,,"{""Q0"":""Average""}",Tvc14wSGOJWiE66kfAv48nj82aP2,Tvc14wSGOJWiE66kfAv48nj82aP2,delaylearn,survey,lmdlab-evan-quiz,211,1252321,0.0-47.0-2.0,,[2],sleep1,57732cfcda75d30001487571,21:27:56,03/04/2024
4062.0,,"{""Q0"":""Average""}",Tvc14wSGOJWiE66kfAv48nj82aP2,Tvc14wSGOJWiE66kfAv48nj82aP2,delaylearn,survey,lmdlab-evan-quiz,212,1257151,0.0-47.0-3.0,,[2],sleep2,57732cfcda75d30001487571,21:27:56,03/04/2024
3247.0,,"{""Q0"":""Poor""}",Tvc14wSGOJWiE66kfAv48nj82aP2,Tvc14wSGOJWiE66kfAv48nj82aP2,delaylearn,survey,lmdlab-evan-quiz,213,1261159,0.0-47.0-4.0,,[3],sleep3,57732cfcda75d30001487571,21:27:56,03/04/2024
